,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.04598629774644438,-0.05708916540388799,-0.018163346554716867,0.06778715300400866,-0.17381097780235003,-0.11004233684843599,0.014091285544342158,-0.026029904338832326,-0.026029904338832326,-0.026029904338832326,-0.026029904338832326
mu_1,0.04598629774644438,1.0,-0.0844136181005088,-0.053509438507822006,0.06313049148328816,0.10019393159591594,-0.008050879875293354,-0.05115433782948267,0.11875980901145647,0.11875980901145647,0.11875980901145647,0.11875980901145647
mu_2,-0.05708916540388799,-0.0844136181005088,1.0,-0.029059940912270522,0.14709684234998224,0.006299327078112836,-0.07566706213596443,0.11165921165428179,-0.09074337389884528,-0.09074337389884528,-0.09074337389884528,-0.09074337389884528
mu_3,-0.018163346554716867,-0.053509438507822006,-0.029059940912270522,1.0,0.04134079734468684,0.04529665158188093,0.051208029838668616,-0.1912373256824286,0.016925266599335555,0.016925266599335555,0.016925266599335555,0.016925266599335555
c_0,0.06778715300400866,0.06313049148328816,0.14709684234998224,0.04134079734468684,1.0,0.16013864570493358,0.049751954126469516,0.02071265742172942,0.2941331006180881,0.2941331006180881,0.2941331006180881,0.2941331006180881
c_1,-0.17381097780235003,0.10019393159591594,0.006299327078112836,0.04529665158188093,0.16013864570493358,1.0,0.2731293220266314,-0.025197787077514012,0.3932831852351984,0.3932831852351984,0.3932831852351984,0.3932831852351984
c_2,-0.11004233684843599,-0.008050879875293354,-0.07566706213596443,0.051208029838668616,0.049751954126469516,0.2731293220266314,1.0,0.10700459120987416,0.3977853610982562,0.3977853610982562,0.3977853610982562,0.3977853610982562
c_3,0.014091285544342158,-0.05115433782948267,0.11165921165428179,-0.1912373256824286,0.02071265742172942,-0.025197787077514012,0.10700459120987416,1.0,0.18999045421577898,0.18999045421577898,0.18999045421577898,0.18999045421577898
nu_0,-0.026029904338832326,0.11875980901145647,-0.09074337389884528,0.016925266599335555,0.2941331006180881,0.3932831852351984,0.3977853610982562,0.18999045421577898,1.0,1.0,1.0,1.0
nu_1,-0.026029904338832326,0.11875980901145647,-0.09074337389884528,0.016925266599335555,0.2941331006180881,0.3932831852351984,0.3977853610982562,0.18999045421577898,1.0,1.0,1.0,1.0
nu_2,-0.026029904338832326,0.11875980901145647,-0.09074337389884528,0.016925266599335555,0.2941331006180881,0.3932831852351984,0.3977853610982562,0.18999045421577898,1.0,1.0,1.0,1.0
nu_3,-0.026029904338832326,0.11875980901145647,-0.09074337389884528,0.016925266599335555,0.2941331006180881,0.3932831852351984,0.3977853610982562,0.18999045421577898,1.0,1.0,1.0,1.0
