,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.010886391981272541,-0.016165116865977866,0.06897567227047519,0.17220452505249453,-0.17456462945468385,0.015715714162687616,-0.034185347383148344,0.03283939333862214,0.03283939333862214,0.03283939333862214,0.03283939333862214
mu_1,0.010886391981272541,1.0,0.1256361812252455,0.1394316737199847,0.029762462573950627,0.00402298410167629,0.12543350374501688,0.033125825904176606,-0.02777767975464756,-0.02777767975464756,-0.02777767975464756,-0.02777767975464756
mu_2,-0.016165116865977866,0.1256361812252455,1.0,-0.062377192187138206,-0.004664728042607239,0.009623095702456229,0.08926448549986535,0.17592995382537546,-0.046300271052894866,-0.046300271052894866,-0.046300271052894866,-0.046300271052894866
mu_3,0.06897567227047519,0.1394316737199847,-0.062377192187138206,1.0,-0.015528750566555139,0.04179369291931131,-0.00041472354842384153,-0.1624639742345968,-0.011966065980647875,-0.011966065980647875,-0.011966065980647875,-0.011966065980647875
c_0,0.17220452505249453,0.029762462573950627,-0.004664728042607239,-0.015528750566555139,1.0,0.06149445687032781,0.0801646510007043,-0.05981889637125423,0.3608156179711171,0.3608156179711171,0.3608156179711171,0.3608156179711171
c_1,-0.17456462945468385,0.00402298410167629,0.009623095702456229,0.04179369291931131,0.06149445687032781,1.0,0.16172777661466428,-0.1679420086376827,0.26901261145178346,0.26901261145178346,0.26901261145178346,0.26901261145178346
c_2,0.015715714162687616,0.12543350374501688,0.08926448549986535,-0.00041472354842384153,0.0801646510007043,0.16172777661466428,1.0,0.06438659399362956,0.35497033949359214,0.35497033949359214,0.35497033949359214,0.35497033949359214
c_3,-0.034185347383148344,0.033125825904176606,0.17592995382537546,-0.1624639742345968,-0.05981889637125423,-0.1679420086376827,0.06438659399362956,1.0,0.2316283898785328,0.2316283898785328,0.2316283898785328,0.2316283898785328
nu_0,0.03283939333862214,-0.02777767975464756,-0.046300271052894866,-0.011966065980647875,0.3608156179711171,0.26901261145178346,0.35497033949359214,0.2316283898785328,1.0,1.0,1.0,1.0
nu_1,0.03283939333862214,-0.02777767975464756,-0.046300271052894866,-0.011966065980647875,0.3608156179711171,0.26901261145178346,0.35497033949359214,0.2316283898785328,1.0,1.0,1.0,1.0
nu_2,0.03283939333862214,-0.02777767975464756,-0.046300271052894866,-0.011966065980647875,0.3608156179711171,0.26901261145178346,0.35497033949359214,0.2316283898785328,1.0,1.0,1.0,1.0
nu_3,0.03283939333862214,-0.02777767975464756,-0.046300271052894866,-0.011966065980647875,0.3608156179711171,0.26901261145178346,0.35497033949359214,0.2316283898785328,1.0,1.0,1.0,1.0
