parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.00010627133042744307,0.00023783404232940889,-0.00036395392720850624,0.0001071653702558385,0.0005981899700320157
mu,1,hmm_prob_state_1,0.0004402895362760638,0.0004020993932307088,-0.00035554244064337886,0.000431574751852391,0.0012199313241809937
mu,2,hmm_prob_state_2,0.00015632821309114386,0.000330544177070627,-0.0005136340712341113,0.00016412228732612627,0.0007851382419081563
mu,3,hmm_prob_state_3,0.001918561157804291,0.000759270131942758,0.0004041849037503796,0.0019208606427633158,0.003423121631799194
c,0,hmm_prob_state_0,0.8038420110444228,0.026996022723085725,0.7501282721757889,0.8031807541847229,0.8580909237265585
c,1,hmm_prob_state_1,0.8809240387876829,0.028549805262738866,0.8257857352495194,0.8802038729190826,0.9360880315303802
c,2,hmm_prob_state_2,0.9002614039182663,0.026779511292607056,0.8491234824061393,0.9001705050468445,0.9528793022036552
c,3,hmm_prob_state_3,0.9840232189993063,0.03408600966496735,0.9198006644845009,0.9837096929550171,1.0522214502096174
nu,0,hmm_prob_state_0,9.704445674816768,1.185270135475777,7.613630414009094,9.612062931060791,12.18843936920166
nu,1,hmm_prob_state_1,9.704445674816768,1.185270135475777,7.613630414009094,9.612062931060791,12.18843936920166
nu,2,hmm_prob_state_2,9.704445674816768,1.185270135475777,7.613630414009094,9.612062931060791,12.18843936920166
nu,3,hmm_prob_state_3,9.704445674816768,1.185270135475777,7.613630414009094,9.612062931060791,12.18843936920166
