parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.0019867000647993257,0.0003543999838608733,0.001290678408323023,0.0019830613239206494,0.0027087219454474416
mu,1,hmm_prob_state_1,-8.503565731553848e-05,0.00023658771190046958,-0.0005965694836047217,-7.823140202695265e-05,0.00036311300612566267
mu,2,hmm_prob_state_2,-0.0015118480249483046,0.000456931498986122,-0.0024142317541785245,-0.001506931925132879,-0.0006573002487478003
mu,3,hmm_prob_state_3,0.0012781580158705964,0.0006420495599139985,-3.8169459650180636e-05,0.0012791597957870964,0.0025828454486525845
c,0,hmm_prob_state_0,0.8826758253077666,0.028068675348783156,0.8259379267692566,0.8822130560874939,0.939127992093563
c,1,hmm_prob_state_1,0.8018629724780718,0.025371398707289723,0.7535804599523545,0.8012938499450684,0.8503498405218124
c,2,hmm_prob_state_2,0.9012490552167097,0.031741523856987086,0.8408036291599273,0.9007684886455536,0.9639432653784752
c,3,hmm_prob_state_3,0.9594538987676302,0.03113381891264666,0.9006830990314484,0.959146648645401,1.0215257793664931
nu,0,hmm_prob_state_0,9.61800013979276,1.1536876875794468,7.564453494548798,9.50704288482666,12.050030565261837
nu,1,hmm_prob_state_1,9.61800013979276,1.1536876875794468,7.564453494548798,9.50704288482666,12.050030565261837
nu,2,hmm_prob_state_2,9.61800013979276,1.1536876875794468,7.564453494548798,9.50704288482666,12.050030565261837
nu,3,hmm_prob_state_3,9.61800013979276,1.1536876875794468,7.564453494548798,9.50704288482666,12.050030565261837
