parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.0001549563854470877,0.00020627086801829403,-0.00026927629210519636,0.00015826913158819867,0.0005601499156186196
mu,1,hmm_prob_state_1,0.0006880006722454291,0.00033507701021114636,3.0106509755273392e-05,0.000680107372345274,0.0013570409279848466
mu,2,hmm_prob_state_2,0.0004219541402024594,0.00026444436293292776,-9.613093320720318e-05,0.0004243339861960887,0.0009175057532265527
mu,3,hmm_prob_state_3,0.0010003322766688068,0.0005858913453203938,-0.00014686485171117944,0.000999024108108964,0.002178783323707232
c,0,hmm_prob_state_0,0.7722007705271244,0.022269707214617036,0.7281613364815712,0.7721847891807556,0.816077734529972
c,1,hmm_prob_state_1,0.8470540929834048,0.02544990664731259,0.7949561819434166,0.8471961617469788,0.8957847833633422
c,2,hmm_prob_state_2,0.8504188662270705,0.025188617968199933,0.8011104792356492,0.8504486978054047,0.9006517693400383
c,3,hmm_prob_state_3,0.9623941459755103,0.027217863460708574,0.9099606484174728,0.9619820713996887,1.0160867899656296
nu,0,hmm_prob_state_0,7.770343611637752,0.7413005700038607,6.479386484622955,7.71279764175415,9.353674626350402
nu,1,hmm_prob_state_1,7.770343611637752,0.7413005700038607,6.479386484622955,7.71279764175415,9.353674626350402
nu,2,hmm_prob_state_2,7.770343611637752,0.7413005700038607,6.479386484622955,7.71279764175415,9.353674626350402
nu,3,hmm_prob_state_3,7.770343611637752,0.7413005700038607,6.479386484622955,7.71279764175415,9.353674626350402
