,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,-0.17803850020978848,-0.028220004061510665,0.015402313254068305,-0.01479404401124272,0.06329974210752684,0.09957302701708445,-0.12481390797295419,0.06266091687836665,0.06266091687836665,0.06266091687836665,0.06266091687836665
mu_1,-0.17803850020978848,1.0,-0.08939160624385539,0.38656444099993953,0.012553547223297743,0.03599318062049709,0.1519877092884714,-0.011852810662651554,-0.04173371755204891,-0.04173371755204891,-0.04173371755204891,-0.04173371755204891
mu_2,-0.028220004061510665,-0.08939160624385539,1.0,-0.20098076088732136,-0.14682392982011627,-0.18364120696651068,0.08924432032276793,0.11627951454574202,-0.08247771193008077,-0.08247771193008077,-0.08247771193008077,-0.08247771193008077
mu_3,0.015402313254068305,0.38656444099993953,-0.20098076088732136,1.0,0.12129140934127294,0.002256931550467708,0.040838576328470544,0.032112225321004675,-0.0025975078371102715,-0.0025975078371102715,-0.0025975078371102715,-0.0025975078371102715
c_0,-0.01479404401124272,0.012553547223297743,-0.14682392982011627,0.12129140934127294,1.0,0.04280935535445673,0.06611789022859646,0.01864172719939673,0.35112370852944963,0.35112370852944963,0.35112370852944963,0.35112370852944963
c_1,0.06329974210752684,0.03599318062049709,-0.18364120696651068,0.002256931550467708,0.04280935535445673,1.0,0.23341380740900713,-0.1284509730758356,0.3783838473197312,0.3783838473197312,0.3783838473197312,0.3783838473197312
c_2,0.09957302701708445,0.1519877092884714,0.08924432032276793,0.040838576328470544,0.06611789022859646,0.23341380740900713,1.0,0.09162042136344521,0.30947673655008495,0.30947673655008495,0.30947673655008495,0.30947673655008495
c_3,-0.12481390797295419,-0.011852810662651554,0.11627951454574202,0.032112225321004675,0.01864172719939673,-0.1284509730758356,0.09162042136344521,1.0,0.27770936260680285,0.27770936260680285,0.27770936260680285,0.27770936260680285
nu_0,0.06266091687836665,-0.04173371755204891,-0.08247771193008077,-0.0025975078371102715,0.35112370852944963,0.3783838473197312,0.30947673655008495,0.27770936260680285,1.0,1.0,1.0,1.0
nu_1,0.06266091687836665,-0.04173371755204891,-0.08247771193008077,-0.0025975078371102715,0.35112370852944963,0.3783838473197312,0.30947673655008495,0.27770936260680285,1.0,1.0,1.0,1.0
nu_2,0.06266091687836665,-0.04173371755204891,-0.08247771193008077,-0.0025975078371102715,0.35112370852944963,0.3783838473197312,0.30947673655008495,0.27770936260680285,1.0,1.0,1.0,1.0
nu_3,0.06266091687836665,-0.04173371755204891,-0.08247771193008077,-0.0025975078371102715,0.35112370852944963,0.3783838473197312,0.30947673655008495,0.27770936260680285,1.0,1.0,1.0,1.0
