horizon,expected_return,median_return,q01,q05,q25,q50,q75,q95,q99,prob_positive,prob_negative,prob_drawdown_gt_5pct,prob_drawdown_gt_10pct,prob_drawdown_gt_15pct,prob_drawdown_gt_20pct,var_95,cvar_95,max_drawdown_mean,ess,ess_fraction,tempering_power,student_t_nu,dominant_terminal_state,proposal_class_probabilities
20,0.014693645291150524,0.005384947307604639,-0.49253333001000277,-0.22836099628458087,-0.025713674828575964,0.005384947307604639,0.03619505330725964,0.2892935562527328,0.6872938112182756,0.5530591878456363,0.44694081215436354,0.40869012000680605,0.21399441219353127,0.16929704203894452,0.1402363357427286,0.22836099628458087,0.3769742788753929,-0.0882952208588933,629.058322220772,0.5242152685173099,1.0,6.663768543908927,3,0.16000000;0.16250000;0.60083333;0.07666667
40,0.03186163113690353,0.01934345229600807,-1.2884118855066773,-0.5387180943019068,-0.04768888151434867,0.01934345229600807,0.08177413441834286,0.6689136347057193,1.483613738748039,0.592293176704794,0.40770682329520613,0.6446619977591818,0.4331977990055765,0.3456763291216382,0.29091656409758265,0.5387180943019068,0.9258040656525917,-0.18205168616854409,892.8066673310284,0.7440055561091903,1.0,6.663768543908927,3,0.21083333;0.21833333;0.42333333;0.14750000
60,0.004711628832818962,0.02269119388507008,-2.1975749855251823,-0.948819825617223,-0.0849246526662672,0.02269119388507008,0.12031502627863794,0.9388650181622117,2.0046942840324644,0.5741130974910627,0.42588690250893746,0.7745250633278136,0.5794930692435517,0.45930059880236185,0.39721365542018017,0.948819825617223,1.6687756902217206,-0.259495527462018,850.1946654578413,0.7084955545482011,1.0,6.663768543908927,3,0.25833333;0.25833333;0.34833333;0.13500000
