step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54
1,1774.6776871863747,1779.3451810293045,1785.9309211374573,1793.9173689632896,1801.0929749121767,1808.3916947657597,1815.9512803148514,1822.1952720734482,1829.178724940866
2,1763.0872498865597,1771.6142198778973,1779.4321960353004,1791.1204931821942,1802.1791811125777,1812.1073769302911,1823.657733761727,1832.0731098831927,1839.2281480499694
3,1757.2661610572359,1764.3416240387605,1775.2716811063322,1789.5456233334608,1802.7059543099829,1815.6005994248383,1829.8689422097,1843.0602422063291,1854.6352189700506
4,1747.1120579233968,1758.0842052291034,1770.0843236098701,1787.726701251257,1803.4574451632268,1819.5468308932489,1832.4829701575447,1846.8379892375335,1862.71208139894
5,1740.4330238008624,1751.0575809687875,1765.8691118102693,1785.391427527308,1804.688681985577,1822.6370054929578,1840.2834889076178,1857.1985293401574,1875.0073705579096
6,1729.9760487295687,1747.4116585546283,1760.9665347500743,1785.1116903902605,1806.707221275555,1826.008372106211,1846.9202589049014,1867.548232671864,1884.3555434416646
7,1723.6987576494723,1739.819512300432,1758.7217644369548,1784.682158434908,1806.8511967359584,1828.2953889383577,1850.244610136708,1872.4388135840109,1892.4668835726523
8,1714.4289204376244,1733.4734494749243,1754.497375861488,1784.130174439247,1809.0909454067134,1832.0562326524519,1857.3142791831451,1887.9335181317535,1914.9029373115475
9,1710.961707442006,1731.5472467711702,1754.2964906546365,1783.469594057168,1808.9191629470133,1836.2979209001733,1861.3395888753273,1888.8011475749586,1922.284614754109
10,1705.7869211253003,1728.788048689282,1748.88138370265,1783.951832704012,1810.2272922071093,1838.6809144468507,1870.9456066294258,1904.1248066706373,1933.1320753694097
11,1703.1707437282275,1723.0788657208682,1746.1488982284484,1783.0739284390334,1810.6516892130508,1840.8896288706278,1880.637838855389,1912.2391221051175,1955.7597142310499
12,1687.2480620034833,1723.826348310902,1749.5722020050932,1780.3235337299354,1808.8530130638662,1842.2183169023176,1883.9766604959511,1921.3356239428783,1953.779446836478
13,1679.2072035632616,1706.7699259575215,1740.0933761549074,1782.2603601901296,1811.1475901473912,1844.7539390102284,1889.0844918714774,1918.2876939232633,1965.4864867102312
14,1655.0832740121518,1707.511796721942,1743.16590715581,1780.2012471346222,1813.1587282185553,1848.2889412809377,1897.3188382199203,1934.630674791356,1980.315819402931
15,1647.4905752599095,1704.1332215554964,1737.660342944997,1779.7720005213907,1812.4984944470457,1851.9131907350531,1902.176262473356,1954.1632563358362,2024.402473533706
16,1653.1515150082516,1708.739179905888,1735.8882912373354,1778.6687899850672,1814.6979591690351,1855.2786285541843,1905.1842667117294,1964.7097664629016,2035.6199971179024
17,1642.9183945891846,1698.2303886227305,1733.2479308307832,1778.4027214429254,1815.0989110495073,1857.4180630916135,1913.3654476855154,1985.9015043548204,2052.9355400789236
18,1634.5770921596836,1684.6473764829213,1726.2214267926495,1778.5845640061139,1819.5623167965887,1859.575347293142,1914.1004718039972,1982.8024526644635,2084.922312809319
19,1628.77103584244,1671.821868597894,1719.5060711445813,1777.9052350786167,1820.326918152086,1863.877231624425,1926.4325270280942,1989.0831047919655,2098.1371133687185
20,1566.6984011836978,1662.8152305278127,1717.380443677764,1775.3445045277765,1821.6283628055596,1867.5498307492712,1937.2653090574393,2031.1699940813842,2175.4636993917265
