step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54,1800.54
1,1772.3879296238588,1779.9118501700757,1786.1030426906148,1793.717623806289,1801.1767979429214,1808.7979202310255,1816.933945413751,1822.0019310339196,1825.5519197533706
2,1764.3857128741333,1771.1625889387929,1779.8914263335223,1791.41767364,1802.1464799077132,1813.0574862851354,1824.4566141567561,1832.3546062678154,1839.808984107543
3,1756.9552823035574,1768.7803771426563,1778.7505754826766,1789.8493052109843,1802.5187267669696,1815.5001903577725,1830.3587597064634,1839.4944530523298,1848.7005684880744
4,1751.330895959204,1762.588387546541,1772.0472698237318,1789.374929887378,1803.758192939444,1819.5120534825357,1833.6528645400044,1844.511164821166,1856.0682266138583
5,1741.9398974449598,1753.528281376086,1766.053540880933,1786.3985569648141,1803.8095047463264,1821.4410157471793,1839.712675417106,1849.8092181848072,1859.2195663485659
6,1736.8126465969415,1752.4193952126811,1763.344292645986,1785.522604131696,1803.981439558303,1825.3555303836229,1846.4152661655203,1860.3687147696505,1874.300133346712
7,1717.0030701049377,1746.3097897703287,1763.2133492675723,1785.5973711224035,1806.0635894292825,1829.5986612781583,1853.7064027903489,1866.9984749031462,1884.1594000655746
8,1719.9600919471716,1745.408871445916,1760.2482110229437,1784.6577014218592,1807.2144456749002,1832.6204531162548,1855.9908374596348,1873.558518342892,1890.3838162288237
9,1707.5389283820643,1735.9089200770768,1756.8404414112777,1782.8308622914265,1808.595434478391,1836.2089643043535,1863.168754568447,1884.7441809506263,1913.0525914192842
10,1702.4911839331924,1725.9757914688769,1752.9269168339495,1781.1011154847197,1809.127219275514,1839.285532276111,1869.9988483247366,1900.4329301414523,1930.1247506338946
11,1678.6222262169615,1714.6021524403952,1747.9902286607205,1780.6879348569516,1810.835104394528,1840.8972415387348,1878.8892801512984,1908.3087686346475,1953.6061321674804
12,1674.1337369263144,1708.0481153627443,1742.1560330915495,1779.0870991326342,1811.1566387786313,1845.058460154234,1879.8198595742135,1913.930566450858,1968.1259094474892
13,1657.8501136806694,1697.657924358909,1742.8569780166563,1779.1919057627024,1811.744695985152,1845.3275840159,1886.7003078487126,1928.5574094989204,1973.8947586381828
14,1663.031126407281,1697.3952471363004,1737.3784836668542,1775.997777613475,1812.8754691836953,1849.9606821121945,1898.1087018598148,1942.4482849934818,2007.2510311306428
15,1635.1807895065722,1678.474676686316,1728.9744491638135,1776.9823267166498,1814.5583911082576,1852.7836119609867,1899.8074147737484,1955.5148004658342,2007.4182973516251
16,1595.5436926134394,1687.2430731186225,1723.023984818831,1775.9735236033116,1818.0406837913338,1860.2981767612205,1911.1022435175992,1956.2400508439562,2029.2971373491923
17,1572.0095147816812,1669.5391287478672,1718.0963190933792,1775.3214285563768,1817.0562620451615,1863.628691968781,1913.8633922840052,1964.618956364414,2147.9292387011824
18,1570.9277580020855,1648.633223359412,1719.036259366866,1773.3588336477524,1819.2694257539652,1859.8788502076743,1917.943396094116,1983.3090180744302,2063.464860778672
19,1470.6951125874614,1637.0594745820206,1708.169095316127,1772.232277165985,1820.7105855423633,1866.6639748589164,1926.5133978690974,1998.8435587006954,2289.731879654529
20,1526.8928999919506,1638.7349678532535,1708.6203422197275,1771.8533894765767,1822.2088830154796,1870.2557168564865,1936.892470407788,2035.1380661310575,2398.7234448040094
21,1492.4391036178406,1624.8402228352352,1707.3269527867126,1774.406260488696,1824.4455463606232,1877.407070441231,1946.6846531076699,2080.8275625369415,2371.361220368709
22,1526.7587399733773,1602.1877448313926,1708.6055568411034,1773.143328238416,1825.901221525449,1880.2208556014582,1961.3028659690094,2093.901557664649,2495.474922790437
23,1485.4703155116824,1596.7600181829405,1701.007970362976,1777.3735622856782,1826.7373467715565,1887.7789321462171,1989.5568244467215,2222.4933544104256,2641.3116397647254
24,1465.1097149351467,1593.243265206418,1697.0193486380435,1773.8382417266052,1827.5896547849723,1887.3110123457595,1992.415938243366,2196.127993287105,2464.920346446745
25,1475.470157678733,1575.9251193624216,1698.8815744917126,1776.3190246355616,1831.1741688477132,1889.6873427952426,2015.8289775625485,2269.3532873612603,2758.914570013212
26,1397.229253798489,1527.6352630283611,1678.5836307495663,1767.8704491235635,1829.2971019368742,1889.7157676797092,2024.3569805274628,2325.2027244001088,2842.2563356002306
27,1270.4257948137938,1513.7500168026768,1655.1812842184333,1767.0320033902603,1827.667217960242,1890.1464800479569,2030.6388491921489,2291.2169070072946,2745.94088857127
28,1010.3400647529331,1488.0515871783068,1665.901322388427,1767.9624492944065,1831.736688109922,1896.3090646450962,2030.6920438020672,2362.7898364965745,2688.218480212826
29,1158.6503038081044,1474.5885351536208,1653.101010767857,1763.1275729282988,1827.2856856888914,1892.5499584131833,2039.4053945908142,2353.37516149552,2767.2589137963664
30,930.8257222217353,1389.8683750516475,1629.4458630315523,1758.9169923333386,1831.6711508387573,1897.3661633833663,2059.155270475822,2420.548789004911,3025.434251059671
31,1000.2172476092402,1331.8568633740003,1603.7570894585988,1753.204313028171,1829.901765545256,1899.5843357795811,2113.9694951673428,2492.952651176565,3071.809886397244
32,1047.8493460277493,1285.2569651499734,1577.5539782698995,1754.3701313451706,1827.4668270089858,1894.7811081987425,2111.104816914355,2522.262933199817,3458.8124307860126
33,1008.1900313116123,1267.134743752924,1568.2616013459651,1750.2681962412994,1830.9276250472703,1906.7744466428132,2148.660526827697,2637.610334329838,3525.8714640873345
34,904.7256743614353,1214.595337367452,1556.4670223142045,1746.5328688344337,1831.8851555183699,1912.3230448512772,2165.4023997665386,2696.5605469079674,3831.087817470021
35,889.1322429946719,1212.6802906286157,1533.1927316692204,1749.2641545956878,1837.6709444067353,1925.8689248338665,2151.2874383355784,2851.443513814784,3700.7411235490385
36,756.3668782872714,1227.1032211861755,1556.8138730439744,1747.4320455703812,1838.4644196080653,1933.2690690444365,2220.954602735777,2907.768674965527,3789.1431538805296
37,820.7384892443737,1192.4150326131507,1482.8617987236973,1743.5914581783725,1835.876841903433,1931.3111353539623,2204.2574863982895,3255.672637575682,4506.551489094872
38,801.5147889085953,1084.7916356953613,1504.0247095134882,1739.1606881543826,1837.7817018733929,1942.118796799229,2386.6426078380982,3282.8089480027993,4231.78139113963
39,822.580572682344,1119.028633555796,1446.8308430733373,1733.0760715140686,1831.0087981460576,1938.8120317692667,2260.6059118882395,3137.780815527794,4836.272282932745
40,797.6818779232151,1094.2053027692739,1416.9857697456007,1730.7058080457164,1834.4959913053226,1944.3212980345147,2274.543273071598,3341.808307607893,4562.949841913035
