,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.015506938244249853,-0.007004416594259345,0.043047725721664924,0.15786020240507886,-0.15811830631091753,0.021675007859391242,-0.025916353456113515,0.042450048947737275,0.042450048947737275,0.042450048947737275,0.042450048947737275
mu_1,0.015506938244249853,1.0,0.13385077663120418,0.17963136126610282,0.04169759256028191,-0.0004271072631641391,0.09390399416096328,0.05341918432948125,-0.007981781855012854,-0.007981781855012854,-0.007981781855012854,-0.007981781855012854
mu_2,-0.007004416594259345,0.13385077663120418,1.0,-0.05897916564737608,0.017782694885828672,0.029177414338613376,0.10238106658352963,0.1873834182007737,-0.01990157219328775,-0.01990157219328775,-0.01990157219328775,-0.01990157219328775
mu_3,0.043047725721664924,0.17963136126610282,-0.05897916564737608,1.0,-0.003875856766905938,0.07512058335495664,0.016049247402258514,-0.1681191016417591,3.8674255768693005e-05,3.8674255768693005e-05,3.8674255768693005e-05,3.8674255768693005e-05
c_0,0.15786020240507886,0.04169759256028191,0.017782694885828672,-0.003875856766905938,1.0,0.0747626103642885,0.08854254395146925,-0.03893772759620239,0.3618053240155031,0.3618053240155031,0.3618053240155031,0.3618053240155031
c_1,-0.15811830631091753,-0.0004271072631641391,0.029177414338613376,0.07512058335495664,0.0747626103642885,1.0,0.17518509804824295,-0.15163566716013765,0.28023438648224624,0.28023438648224624,0.28023438648224624,0.28023438648224624
c_2,0.021675007859391242,0.09390399416096328,0.10238106658352963,0.016049247402258514,0.08854254395146925,0.17518509804824295,1.0,0.07456251099545509,0.3545457712759965,0.3545457712759965,0.3545457712759965,0.3545457712759965
c_3,-0.025916353456113515,0.05341918432948125,0.1873834182007737,-0.1681191016417591,-0.03893772759620239,-0.15163566716013765,0.07456251099545509,1.0,0.24076900884552527,0.24076900884552527,0.24076900884552527,0.24076900884552527
nu_0,0.042450048947737275,-0.007981781855012854,-0.01990157219328775,3.8674255768693005e-05,0.3618053240155031,0.28023438648224624,0.3545457712759965,0.24076900884552527,1.0,1.0,1.0,1.0
nu_1,0.042450048947737275,-0.007981781855012854,-0.01990157219328775,3.8674255768693005e-05,0.3618053240155031,0.28023438648224624,0.3545457712759965,0.24076900884552527,1.0,1.0,1.0,1.0
nu_2,0.042450048947737275,-0.007981781855012854,-0.01990157219328775,3.8674255768693005e-05,0.3618053240155031,0.28023438648224624,0.3545457712759965,0.24076900884552527,1.0,1.0,1.0,1.0
nu_3,0.042450048947737275,-0.007981781855012854,-0.01990157219328775,3.8674255768693005e-05,0.3618053240155031,0.28023438648224624,0.3545457712759965,0.24076900884552527,1.0,1.0,1.0,1.0
