parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,-0.00027386869879154164,0.00025736727748678853,-0.0007822785343001938,-0.0002750822699926879,0.0002557444321887181
mu,1,hmm_prob_state_1,0.0006790067598243152,0.000434870798155423,-0.0002157300447089903,0.0006779693511156762,0.0015567437545438146
mu,2,hmm_prob_state_2,-2.0606831660528e-05,0.00035645577572145787,-0.0007519340784550218,-1.625837374428057e-05,0.0006549684130705031
mu,3,hmm_prob_state_3,0.0010373917164677355,0.000690539684867658,-0.0003361020716738527,0.00104264692923264,0.0024630005802028397
c,0,hmm_prob_state_0,0.8009850234289964,0.030856827836806502,0.7399283394217491,0.8002521097660065,0.8630214765667915
c,1,hmm_prob_state_1,0.8741810405751069,0.029874265335877986,0.8172890037298203,0.8735272586345673,0.9318415954709053
c,2,hmm_prob_state_2,0.8997564743459224,0.028845141803204376,0.8448535829782486,0.8997133672237396,0.9558159306645393
c,3,hmm_prob_state_3,0.9811115190883477,0.03357891525981133,0.9173872172832489,0.9807751178741455,1.0475410610437392
nu,0,hmm_prob_state_0,9.959989140828451,1.3263203580980458,7.622394096851349,9.840729236602783,12.656824111938475
nu,1,hmm_prob_state_1,9.959989140828451,1.3263203580980458,7.622394096851349,9.840729236602783,12.656824111938475
nu,2,hmm_prob_state_2,9.959989140828451,1.3263203580980458,7.622394096851349,9.840729236602783,12.656824111938475
nu,3,hmm_prob_state_3,9.959989140828451,1.3263203580980458,7.622394096851349,9.840729236602783,12.656824111938475
