horizon,feature,importance
20,ret_1,0.02901579204391205
20,log_ret_1,0.027007205598636744
20,ret_5,0.047789597895407605
20,vol_5,0.0616325132278305
20,price_to_sma_5,0.047188702462708676
20,ret_10,0.06788673262484092
20,vol_10,0.10370791159954476
20,price_to_sma_10,0.045933422941170865
20,ret_20,0.06610549347747091
20,vol_20,0.20305059363082636
20,price_to_sma_20,0.04709466391423501
20,ret_40,0.13734691406056504
20,vol_40,0.17147940096455103
20,price_to_sma_40,0.06612585648207923
20,ret_60,0.07584944149708084
20,vol_60,0.14751041852414948
20,price_to_sma_60,0.10171491163946696
20,ret_120,0.07578257151617636
20,vol_120,0.22164095145946539
20,price_to_sma_120,0.15092817799445105
20,ema_spread,0.07185569635778298
20,macd,0.10160426106551117
20,macd_signal,0.10266973094088339
20,macd_hist,0.12897537221726463
20,macd_hist_slope,0.06424358360369334
20,rsi,0.0508545466023022
20,adx,0.134242321081073
20,atr_normalized,0.08881394614600764
20,trend_strength,0.06749270579131023
20,up_day_ratio_20,0.040687519277375704
20,up_day_ratio_60,0.0869118485010561
20,distance_to_52w_high,0.1664096902573031
20,distance_to_52w_low,0.13244156243871955
20,return_sign_persistence,0.0673209473540394
20,trend_consistency,0.06537116642918506
20,downside_vol_20,0.15135909182616294
20,downside_vol_60,0.093819078237726
20,upside_semivariance,0.17622565148599653
20,downside_semivariance,0.17621391367610412
20,rolling_skewness,0.1294871577955754
20,rolling_kurtosis,0.18614938058558544
20,parkinson_volatility,0.1276747946792149
20,range_volatility,0.10678580444685734
20,volatility_of_volatility,0.14208244700539527
20,rolling_max_drawdown_20,0.20722028603539352
20,rolling_max_drawdown_60,0.19233153156589333
20,rolling_max_drawdown_120,0.14941912817208466
20,drawdown_duration,0.3678120189978817
20,recovery_ratio,0.07102386870727942
20,volume_zscore,0.06578265992809249
20,volume_ratio_5,0.057905702384181384
20,volume_ratio_20,0.04770843403226136
20,volume_trend,0.07978831819331635
20,price_volume_divergence,0.07286141425099267
20,signed_volume_proxy,0.08300996254367601
20,high_volume_up_day_ratio,0.22928558136986865
20,high_volume_down_day_ratio,0.0720438230804745
20,volume_volatility,0.23956709205603435
20,volume_confirmation_score,0.0470506172582927
20,hmm_prob_state_0,0.1125178000817501
20,hmm_prob_state_1,0.16810291042303965
20,hmm_prob_state_2,0.08048250459011426
20,hmm_prob_state_3,0.047745767524207026
20,hmm_entropy,0.04128114619685224
20,hmm_confidence,0.045481785521851725
20,hmm_state_duration,0.2618490686285952
20,hmm_transition_probability,0.03290127455998819
20,hmm_switch_probability,0.03292903421259216
40,ret_1,0.016816367522250086
40,log_ret_1,0.019087541419984044
40,ret_5,0.06271494894740022
40,vol_5,0.07656587002936503
40,price_to_sma_5,0.06126855753473432
40,ret_10,0.042823198217434875
40,vol_10,0.10782427121442134
40,price_to_sma_10,0.0638371891240294
40,ret_20,0.05792813135616098
40,vol_20,0.21933542507891315
40,price_to_sma_20,0.04298619382951248
40,ret_40,0.11767323560888432
40,vol_40,0.28878486007301846
40,price_to_sma_40,0.13088474456224233
40,ret_60,0.1207230532889801
40,vol_60,0.09416045837297245
40,price_to_sma_60,0.12810527514248538
40,ret_120,0.2150878365998061
40,vol_120,0.4532410519987666
40,price_to_sma_120,0.24349416368583648
40,ema_spread,0.10877815461714542
40,macd,0.11060621522100252
40,macd_signal,0.1101030514321339
40,macd_hist,0.09613079384465949
40,macd_hist_slope,0.07435181390037082
40,rsi,0.05582575878245082
40,adx,0.1267309123346748
40,atr_normalized,0.11121901781090332
40,trend_strength,0.043835834427524145
40,up_day_ratio_20,0.05788774143047197
40,up_day_ratio_60,0.17231594143105983
40,distance_to_52w_high,0.25212392619029605
40,distance_to_52w_low,0.22756581851823504
40,return_sign_persistence,0.03456562113153234
40,trend_consistency,0.06565600021088631
40,downside_vol_20,0.17904919234263728
40,downside_vol_60,0.1705153001661938
40,upside_semivariance,0.1977801376466592
40,downside_semivariance,0.17840852918394906
40,rolling_skewness,0.22835764832011038
40,rolling_kurtosis,0.1566522336901482
40,parkinson_volatility,0.16213206689033352
40,range_volatility,0.1548782369289667
40,volatility_of_volatility,0.18821066905899878
40,rolling_max_drawdown_20,0.13860721774126603
40,rolling_max_drawdown_60,0.25431125954808737
40,rolling_max_drawdown_120,0.28935352643857254
40,drawdown_duration,0.6093717556341053
40,recovery_ratio,0.0800840294070332
40,volume_zscore,0.0964361402610637
40,volume_ratio_5,0.0614347094909342
40,volume_ratio_20,0.058104933765018
40,volume_trend,0.05799697956323943
40,price_volume_divergence,0.05681120226857889
40,signed_volume_proxy,0.05850644120795365
40,high_volume_up_day_ratio,0.28276896653301137
40,high_volume_down_day_ratio,0.2009530576900771
40,volume_volatility,0.3343890443712612
40,volume_confirmation_score,0.03484724459458135
40,hmm_prob_state_0,0.0892476333185929
40,hmm_prob_state_1,0.1310711001177023
40,hmm_prob_state_2,0.1646441549390476
40,hmm_prob_state_3,0.07533967128988488
40,hmm_entropy,0.0624681440778995
40,hmm_confidence,0.06393130787961857
40,hmm_state_duration,0.32358139910230993
40,hmm_transition_probability,0.04222200604895825
40,hmm_switch_probability,0.0444643838409333
60,ret_1,0.03349770509286369
60,log_ret_1,0.02514531364894195
60,ret_5,0.04685962184937011
60,vol_5,0.08762517705918875
60,price_to_sma_5,0.07891085985746313
60,ret_10,0.043007539677679923
60,vol_10,0.15207138120792008
60,price_to_sma_10,0.07141329374027411
60,ret_20,0.05061770726489568
60,vol_20,0.27913484767814284
60,price_to_sma_20,0.08375675357261426
60,ret_40,0.12116153622486676
60,vol_40,0.191744747398491
60,price_to_sma_40,0.11572301161574508
60,ret_60,0.08491068485875103
60,vol_60,0.10417363907542983
60,price_to_sma_60,0.1342656413425584
60,ret_120,0.23843301615132523
60,vol_120,0.5772896060003938
60,price_to_sma_120,0.20691977949142426
60,ema_spread,0.10528586567681253
60,macd,0.11651863411143679
60,macd_signal,0.17362039520420733
60,macd_hist,0.07165257529827077
60,macd_hist_slope,0.11399981789777043
60,rsi,0.0694146168770884
60,adx,0.10021777683805513
60,atr_normalized,0.05952255448696182
60,trend_strength,0.0756364559729409
60,up_day_ratio_20,0.043744885775334995
60,up_day_ratio_60,0.1840965238928319
60,distance_to_52w_high,0.2204498742734419
60,distance_to_52w_low,0.22539372111016373
60,return_sign_persistence,0.05981682769630675
60,trend_consistency,0.09292282686970572
60,downside_vol_20,0.19385805055896702
60,downside_vol_60,0.12303232235848068
60,upside_semivariance,0.20249771168875458
60,downside_semivariance,0.14908936100651318
60,rolling_skewness,0.3132095109348543
60,rolling_kurtosis,0.2427725490567
60,parkinson_volatility,0.23681202880177538
60,range_volatility,0.2185028914012807
60,volatility_of_volatility,0.1694753423173563
60,rolling_max_drawdown_20,0.17670062549480528
60,rolling_max_drawdown_60,0.30025760956304376
60,rolling_max_drawdown_120,0.3723361406154002
60,drawdown_duration,0.8300079366486534
60,recovery_ratio,0.0908942572493207
60,volume_zscore,0.08262192856743945
60,volume_ratio_5,0.046288982073753614
60,volume_ratio_20,0.042573709240754334
60,volume_trend,0.07907843915571452
60,price_volume_divergence,0.037659483625681514
60,signed_volume_proxy,0.06638449932271265
60,high_volume_up_day_ratio,0.28455499162357
60,high_volume_down_day_ratio,0.15179044823148796
60,volume_volatility,0.257194782387217
60,volume_confirmation_score,0.061234148189821314
60,hmm_prob_state_0,0.24451577020446927
60,hmm_prob_state_1,0.19688725630913903
60,hmm_prob_state_2,0.15710139815184904
60,hmm_prob_state_3,0.08635082550155505
60,hmm_entropy,0.04657510220201332
60,hmm_confidence,0.0420833222920377
60,hmm_state_duration,0.3736174414424801
60,hmm_transition_probability,0.037104069541693055
60,hmm_switch_probability,0.035822043797995064
