horizon,balanced_accuracy_mean,balanced_accuracy_q025,balanced_accuracy_q975,macro_f1_mean,macro_f1_q025,macro_f1_q975,scope
20,0.2721447722826632,0.2465863037458951,0.3010399750512831,0.21213941341088804,0.16307120813701462,0.2579246665121369,fixed-prediction moving-block evaluation bootstrap; no refit
40,0.2537183893409017,0.21466536917842644,0.29625913711133,0.209084716489457,0.1640348720371611,0.2664272700988367,fixed-prediction moving-block evaluation bootstrap; no refit
60,0.23681956348004032,0.21129527639304707,0.2541950868369748,0.15630709729446465,0.11581858757007744,0.19669429886998613,fixed-prediction moving-block evaluation bootstrap; no refit
