model,aic,bic,qlike_in_sample_proxy,log_likelihood,converged,vol_1,vol_20,vol_40,vol_60,horizon_context
EGARCH-t,12722.978928943598,12761.030250760694,-7.656723008440055,-6355.489464471799,1.0,0.00481189774925884,0.033008414752015214,0.058389929147854035,0.08292639645701737,20
GJR-GARCH-t,12748.822079752172,12786.873401569268,-7.633902458056251,-6368.411039876086,1.0,0.005070369327791841,0.03247766828001145,0.054035931241857266,0.0741875014317857,20
GARCH-t,12752.005263474128,12783.714698321708,-7.639737565479008,-6371.002631737064,1.0,0.005113562890807874,0.032511670193592995,0.05379132344823122,0.07368152505585686,20
EGARCH-t,12646.652435254702,12684.654941296423,-7.650879547392536,-6317.326217627351,1.0,0.007354703286122799,0.04468725607461764,0.0725596104413381,0.09719863713578562,40
GJR-GARCH-t,12673.193398918738,12711.19590496046,-7.627559617216628,-6330.596699459369,1.0,0.007618156782436111,0.04210385766858252,0.06539031644523684,0.08599786615030337,40
GARCH-t,12676.374148940784,12708.042903975553,-7.633355599170572,-6333.187074470392,1.0,0.00788317815556726,0.04312650559916185,0.06640447599135786,0.08683803463327004,40
EGARCH-t,12547.877934289232,12585.8312241322,-7.659343174005813,-6267.938967144616,1.0,0.01728313173665546,0.08329580862870797,0.115643460522859,0.13905423736292158,60
GJR-GARCH-t,12574.073428086725,12612.026717929693,-7.636772009262625,-6281.036714043363,1.0,0.016189432708038496,0.07920439941256197,0.11261277150676353,0.13777669454456146,60
GARCH-t,12576.577069746554,12608.204811282361,-7.641757203129781,-6283.288534873277,1.0,0.015696929077160967,0.07711045582934156,0.10976172020115593,0.13440930368993279,60
