horizon_context,selected_model,egarch_vol_1,egarch_vol_20,egarch_vol_40,egarch_vol_60
20,EGARCH-t,0.00481189774925884,0.033008414752015214,0.058389929147854035,0.08292639645701737
40,EGARCH-t,0.007354703286122799,0.04468725607461764,0.0725596104413381,0.09719863713578562
60,EGARCH-t,0.01728313173665546,0.08329580862870797,0.115643460522859,0.13905423736292158
