horizon,replicate,balanced_accuracy,macro_f1
20,0,0.2570761027444385,0.20054100696255484
20,1,0.26531396273072505,0.194192344800253
20,2,0.26314154683817215,0.20681501674920286
20,3,0.2577323096191021,0.18399550962306294
20,4,0.2789978887855149,0.214970373482897
20,5,0.2754218635363169,0.1980930827876607
20,6,0.2780503978779841,0.21398889514481284
20,7,0.2620418784601936,0.21499608173545148
20,8,0.25893270566445437,0.20256561952809418
20,9,0.2608396271831175,0.19995732430633917
20,10,0.28029584531603746,0.24119893401299333
20,11,0.2823548947475986,0.24357665592947944
20,12,0.27074418007531664,0.18308017928286852
20,13,0.28468329714353047,0.2357668114854783
20,14,0.2591651861721815,0.18620573197216095
20,15,0.2742752603433718,0.21474252839628324
20,16,0.28840369189633897,0.24024432607688745
20,17,0.29572562358276644,0.25790469087131407
20,18,0.27414522044718626,0.2266560324825986
20,19,0.26253687315634217,0.19804305590680696
20,20,0.28292876588021776,0.2454871627975697
20,21,0.2861997284914305,0.227576596317226
20,22,0.27341024275588527,0.20486199010099776
20,23,0.27131613641056596,0.21066248028457332
20,24,0.2865868086364981,0.22357403294078204
20,25,0.2522303897777111,0.15577836369542644
20,26,0.27382333714659257,0.22320948205851004
20,27,0.2780259130200412,0.2217306472854983
20,28,0.27308156298394065,0.21857510951359707
20,29,0.24660394939026384,0.18601643835616438
20,30,0.25087249883666823,0.16362143792050332
20,31,0.2529865604778497,0.17885625341603098
20,32,0.2746012759170654,0.2328312072518553
20,33,0.2785884053176393,0.2344122285982751
20,34,0.2672302394717579,0.19962070796698128
20,35,0.26892520956438093,0.2091564177338236
20,36,0.29124200759578867,0.2370289671633155
20,37,0.2488030342361051,0.1641134215500945
20,38,0.26411498708010334,0.20891213808835604
20,39,0.25958110516934046,0.18796875
20,40,0.2718142662044333,0.2040266912103083
20,41,0.2646528269380027,0.20830802903029902
20,42,0.27320483749055174,0.2060862640230975
20,43,0.2769160999453519,0.21501289678332247
20,44,0.2830168648386314,0.20353355460212094
20,45,0.26192731827587024,0.20609756097560974
20,46,0.27849041727316837,0.2446302756686504
20,47,0.25630963373345644,0.18354106757335525
20,48,0.2882640067911715,0.21321696017752956
20,49,0.26779222290085214,0.22087441619097042
20,50,0.27571017897437483,0.2046982957162598
20,51,0.30054013601015195,0.258703716504228
20,52,0.2575543295620029,0.21564781950127734
20,53,0.2716282165039929,0.2426060324825986
20,54,0.24823570924488356,0.16307651941303333
20,55,0.26438253012048196,0.20525694100706476
20,56,0.2771212121212121,0.2009563924677899
