horizon,expected_return,median_return,probability_return_positive,probability_return_below_minus_5pct,probability_max_drawdown_below_minus_8pct,expected_max_drawdown,return_q01,return_q05,return_q10,return_q25,return_q50,return_q75,return_q90,return_q95,return_q99,price_q05,price_q10,price_q25,price_q50,price_q75,price_q90,price_q95,mode,coverage_50,coverage_80,coverage_90,coverage_95
20,-0.01609749437562924,-0.01837981588454285,0.421,0.35,0.327,-0.06101073162820711,-0.20781382782318994,-0.1477493518694576,-0.11827114451949415,-0.07241079102151046,-0.01837981588454285,0.038761297888736,0.0884098851853583,0.12033842861406022,0.19451100274121189,1589.76279150327,1644.750555147671,1730.297082752205,1831.0848428434501,1937.6741622427114,2030.2871475282118,2089.8456945838097,structural,,,,
40,-0.020782240941268775,-0.023827896358254774,0.399,0.416,0.487,-0.08774860737749941,-0.26214628381767097,-0.19391515404982437,-0.16030147602333722,-0.1005922400302478,-0.023827896358254774,0.04862635559758066,0.12720628224131034,0.18142753416597315,0.27899029569518735,1503.6464890900788,1566.3484356703473,1677.7282532147765,1820.9221569702022,1956.0761449410588,2102.656782704473,2203.7994794071815,structural,,,,
60,-0.02244115990926828,-0.03322645765148896,0.414,0.448,0.571,-0.10724050563461882,-0.2983768428791976,-0.2345031695251581,-0.1942726665769083,-0.11827676411270865,-0.03322645765148896,0.06493706629121243,0.15193794963068666,0.21515068428389944,0.4134481057887201,1427.9348226628558,1502.9795959474325,1644.7400725270766,1803.390362690642,1986.501655347639,2148.7904931025937,2266.7056319426574,structural,,,,
