horizon,model,multiclass_brier,log_loss,expected_calibration_error,maximum_calibration_error
20,Full RAEMF-MC,0.6843833468224088,1.2611634641316996,0.04950552277521418,0.05235774385414432
20,MACD rule,1.1751327433628316,2.190272285254823,0.5657079646017698,0.5657079646017698
40,Full RAEMF-MC,0.6731056470088054,1.217563388451665,0.06827342934308972,0.12492555429320767
40,MACD rule,1.2073584905660375,2.2473362958787644,0.5858490566037733,0.5858490566037733
60,Full RAEMF-MC,0.6820126656122456,1.2756001083919988,0.027510134748179618,0.06883296465912403
60,MACD rule,1.1952561247216031,2.225905930625576,0.5782850779510018,0.5782850779510018
