horizon,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,false_risk_on_rate,false_risk_off_rate,precision_bull,recall_bull,f1_bull,precision_sideway,recall_sideway,f1_sideway,precision_bear,recall_bear,f1_bear,precision_stress,recall_stress,f1_stress
20,Full RAEMF-MC,0.4413716814159292,0.27173260332038146,0.21099345998131422,0.3315792623413274,0.23008849557522124,0.0,0.43337484433374845,0.9157894736842105,0.588334742180896,0.504950495049505,0.17114093959731544,0.2556390977443609,0.0,0.0,0.0,0.0,0.0,0.0
20,MACD rule,0.2842920353982301,0.23840491301863664,0.20467041957779641,0.2694456733870018,0.10619469026548672,0.16261061946902655,0.4304932735426009,0.5052631578947369,0.4648910411622276,0.3055555555555556,0.11073825503355705,0.1625615763546798,0.11904761904761904,0.3225806451612903,0.17391304347826086,0.02040816326530612,0.015037593984962405,0.017316017316017316
40,Full RAEMF-MC,0.3973362930077691,0.2502732240437158,0.2043797240062058,0.32039066813619604,0.1897891231964484,0.0,0.39858156028368796,0.76775956284153,0.5247432306255836,0.39285714285714285,0.23333333333333334,0.29277566539923955,0.0,0.0,0.0,0.0,0.0,0.0
40,MACD rule,0.2641509433962264,0.22937144486244057,0.1835420291384439,0.2497959442523464,0.11431742508324085,0.13873473917869034,0.4337899543378995,0.5191256830601093,0.472636815920398,0.25925925925925924,0.08484848484848485,0.1278538812785388,0.06746031746031746,0.29310344827586204,0.10967741935483871,0.02912621359223301,0.02040816326530612,0.024
60,Full RAEMF-MC,0.3897550111358575,0.2390866679064352,0.15656565656565657,0.2540887719061439,0.18151447661469933,0.01002227171492205,0.41291108404384896,0.9237057220708447,0.5707070707070707,0.1864406779661017,0.032640949554896145,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
60,MACD rule,0.2717149220489978,0.23404318221562664,0.1851044479940298,0.2638313695173248,0.10022271714922049,0.13140311804008908,0.4714285714285714,0.5395095367847411,0.5031766200762389,0.28440366972477066,0.09198813056379822,0.13901345291479822,0.053231939163498096,0.2978723404255319,0.09032258064516129,0.009433962264150943,0.006802721088435374,0.007905138339920948
