horizon,model,probability_type,multiclass_brier,log_loss,expected_calibration_error,maximum_calibration_error
20,Full RAEMF-MC,calibrated,0.6843833468224088,1.2611634641316996,0.04950552277521418,0.05235774385414432
40,Full RAEMF-MC,calibrated,0.6731056470088054,1.217563388451665,0.06827342934308972,0.12492555429320767
60,Full RAEMF-MC,calibrated,0.6820126656122456,1.2756001083919988,0.027510134748179618,0.06883296465912403
