feature,train_mean,test_mean,standardized_mean_shift,train_min,train_max,test_out_of_range_rate,horizon
ret_1,0.00046298324272167184,0.0005641651072503335,0.007231636449001864,-0.05871743129096196,0.04856832185574489,0.004439511653718091,40
log_ret_1,0.000365022998659936,0.0004875006920060647,0.008751531052458277,-0.0605118989165474,0.04742573075884948,0.004439511653718091,40
ret_5,0.0025377807785344868,0.0027430202251996563,0.005444633787373339,-0.16146870161468696,0.17612570356472812,0.0011098779134295228,40
vol_5,0.170417248623372,0.15980944119215384,0.08692609507660586,0.002058689292725525,0.7870924994761737,0.003329633740288568,40
price_to_sma_5,0.0007797003099404697,0.0009878870212577191,0.011808281347539619,-0.08199957695833038,0.07905155348997317,0.0022197558268590455,40
ret_10,0.005467030761344972,0.005338285867535872,0.0021986991368048046,-0.2493734335839599,0.32691192143213677,0.0,40
vol_10,0.18161234638133486,0.1692391647363863,0.10992044332296805,0.01890088461859346,0.6271057319233428,0.005549389567147614,40
price_to_sma_10,0.0018714320998471218,0.0021801252016916514,0.010438799885739774,-0.14972444456619083,0.13977941398002725,0.0,40
ret_20,0.01144919907426459,0.009718979041251678,0.01902164534850665,-0.31252609603340287,0.4165736531184494,0.0,40
vol_20,0.18973389525781825,0.17583413791179878,0.13211088077983046,0.023510884677660087,0.5370755798188822,0.0,40
price_to_sma_20,0.004118939617131792,0.004381035443667837,0.00554195841238544,-0.21212207145254058,0.21582154561039157,0.0,40
ret_40,0.02442674082326551,0.018018123150561786,0.043036373647106066,-0.40442269870964653,0.6833818244052714,0.0,40
vol_40,0.19633571217764534,0.18023886725613975,0.16658218354334,0.03981401548302391,0.5088364513299507,0.0,40
price_to_sma_40,0.008662053648807408,0.00812187629993958,0.00712520447036061,-0.2885114454331801,0.3413333507815721,0.0,40
ret_60,0.03786969584947261,0.028909733600015284,0.044459580285724755,-0.4662367671556774,1.0522218618229,0.0,40
vol_60,0.19979302294168563,0.18180607438585525,0.1965840094120052,0.04573896295775306,0.47418560341660737,0.0,40
price_to_sma_60,0.013067563611210566,0.012292611938251671,0.007723590538530596,-0.3464087840357257,0.46882910752533524,0.0,40
ret_120,0.07645077641174812,0.05261591551052012,0.07662063514063173,-0.6591401734104047,1.558904452226113,0.0,40
vol_120,0.2079855442611603,0.18760458919114495,0.23377260127138813,0.06009040104877904,0.5767428128865887,0.0,40
price_to_sma_120,0.025674238256782337,0.02495493557768264,0.004620259382545196,-0.4458869485578576,0.709811509176594,0.0,40
ema_spread,0.0019934600689944146,0.002523881487073711,0.0217908015004678,-0.09639451199262983,0.09396246711754519,0.0,40
macd,1.2169094256229078,4.0500639398650495,0.20325948893876472,-60.80509072621783,81.61212444555883,0.0,40
macd_signal,1.2058984720979227,3.8997381512797498,0.2008920460164887,-55.45375860231802,71.83662994311754,0.0,40
macd_hist,0.011010953524984983,0.15032578858530055,0.04071428287895006,-17.10248620078138,16.727294286994365,0.014428412874583796,40
macd_hist_slope,0.000518153750859692,0.016797828243170693,0.027021214243201877,-3.3418917009658458,3.458593943251013,0.011098779134295227,40
rsi,52.17986252570341,55.763147735930986,0.17003067214513778,0.0,99.78386167146974,0.0,40
adx,38.626779749917915,37.523369011790756,0.06615797978505943,8.17625340047386,99.36950389912063,0.003329633740288568,40
atr_normalized,0.014482659664097368,0.014900709745909603,0.05217109402768273,0.0018747656542932266,0.04552134755247388,0.0,40
trend_strength,0.36188361128534496,0.5350903574393427,0.10452986389130216,-3.721447413045164,7.802576166299845,0.0,40
up_day_ratio_20,0.508769822200865,0.5609322974472808,0.3370603888203001,0.0,0.9,0.0,40
up_day_ratio_60,0.5074523466282236,0.5616537180910101,0.5239989004719598,0.16666666666666666,0.7666666666666667,0.0,40
distance_to_52w_high,-0.174039068325441,-0.0937966575358469,0.44857028385178216,-0.7114076688357045,0.0,0.0,40
distance_to_52w_low,0.3960164297811535,0.2627214151284789,0.31135465399855516,0.0,2.3921121251629724,0.0,40
return_sign_persistence,0.028351753964440167,0.12186459489456161,0.30871527804061893,-1.0,0.8,0.0,40
trend_consistency,0.03304422022092919,0.0998302226284317,0.16619601344375684,-7.863016870468832,1.2316971362408484,0.0,40
downside_vol_20,0.10837024440510822,0.10973251614457535,0.020646073651677522,0.011458192062299895,0.32618521625363717,0.021087680355160933,40
downside_vol_60,0.11728079361259926,0.1193690001033707,0.037171961782015206,0.025921327420237457,0.28096140753554116,0.0,40
upside_semivariance,0.0001000757913968208,6.410934526384055e-05,0.3561067182682647,1.2525762837189115e-06,0.0005925398547088279,0.0,40
downside_semivariance,9.758704739617417e-05,8.428756278413702e-05,0.13047458818979454,3.6870382222420955e-06,0.0006134057963077718,0.0,40
rolling_skewness,-0.06272629838186217,-0.6618886511465708,0.9549393123555034,-2.4902533817032086,2.6800704221473266,0.018867924528301886,40
rolling_kurtosis,1.1885516477930298,2.9327450223865443,0.8422106729134108,-1.496235096400596,17.059650110862734,0.003329633740288568,40
parkinson_volatility,0.11538512450923183,0.14691192211590504,0.4959518348299662,0.0,0.29617664084963047,0.022197558268590455,40
range_volatility,0.010694188035999056,0.013903837185929626,0.5227353430014698,0.0,0.02732647421526475,0.02774694783573807,40
volatility_of_volatility,0.05143312754337279,0.053199465230316635,0.06111333614487935,0.00590365111922638,0.17068498751567235,0.05438401775804662,40
rolling_max_drawdown_20,-0.07693211905782499,-0.06311057021216643,0.23314602613792887,-0.3212698634280263,-0.0023633512544801727,0.0011098779134295228,40
rolling_max_drawdown_60,-0.15437493679389164,-0.11710103832482127,0.3541391543612513,-0.5274956217162872,-0.013840878679750257,0.0,40
rolling_max_drawdown_120,-0.2369463100615976,-0.16559213181160354,0.4442536686183076,-0.68353765323993,-0.03247507964940588,0.0,40
drawdown_duration,1061.619654012494,420.11431742508324,0.7996560583191638,0.0,2744.0,0.0,40
recovery_ratio,0.8797698196332112,0.7663662621040944,0.04787696323488531,-1.0466300203400414,28.282628513701255,0.0,40
volume_zscore,0.08154307092099715,0.07406161274690273,0.006426595975878192,-2.539604866181771,6.541933350313336,0.0,40
volume_ratio_5,1.0051724281684375,1.0024470649928492,0.007378883763483811,0.001520250788957737,4.001445455318425,0.0,40
volume_ratio_20,1.0245760667398247,1.0094166461875864,0.029751762831685936,0.0013964832698896538,6.768041740489111,0.0,40
volume_trend,0.0153597890980569,0.004912679167582625,0.041321385684945665,-0.8073578359290603,1.7347174059896422,0.0,40
price_volume_divergence,-0.5455095839794067,-0.07726730081592531,0.03955511635382426,-755.5340005076326,1.129676313721478,0.0,40
signed_volume_proxy,0.6615443833243113,2.549267365918543,0.11421163903746237,-19.713865728472967,19.91569612216481,0.9433962264150944,40
high_volume_up_day_ratio,0.16763575204228737,0.16165371809101,0.05054855371070422,0.0,0.55,0.0,40
high_volume_down_day_ratio,0.13113086657055903,0.1496300406955235,0.2803889781602576,0.0,0.3333333333333333,0.0,40
volume_volatility,0.4531626599482111,0.2627701720848507,0.4871570698752466,0.08552091774194397,2.364571257143628,0.0,40
volume_confirmation_score,0.052248978881386555,0.05063931144917782,0.006501890772792899,-1.7347174059896422,1.1541167801442667,0.0,40
