,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,-0.010722296100350208,0.054569253757883164,0.045450257271945314,0.10340476627708496,-0.14493227869338174,-0.03889129335416335,-0.002297542034349542,0.005506430523509207,0.005506430523509207,0.005506430523509207,0.005506430523509207
mu_1,-0.010722296100350208,1.0,0.10171905291154766,0.03927398862467576,0.03791899859684485,0.023149165623795195,0.11895005430460266,0.0508654621153786,0.0265348879003293,0.0265348879003293,0.0265348879003293,0.0265348879003293
mu_2,0.054569253757883164,0.10171905291154766,1.0,-0.11367574019028216,0.09234584394174718,-0.07982708892125256,0.09788289060217464,0.18281456726190654,-0.015721668023043325,-0.015721668023043325,-0.015721668023043325,-0.015721668023043325
mu_3,0.045450257271945314,0.03927398862467576,-0.11367574019028216,1.0,0.025452579477821074,0.09484609200005985,0.08697113103382395,-0.16466774882878693,0.008984875001361256,0.008984875001361256,0.008984875001361256,0.008984875001361256
c_0,0.10340476627708496,0.03791899859684485,0.09234584394174718,0.025452579477821074,1.0,0.06371320589942489,0.025105282037681125,-0.06236599931388853,0.24429780199271453,0.24429780199271453,0.24429780199271453,0.24429780199271453
c_1,-0.14493227869338174,0.023149165623795195,-0.07982708892125256,0.09484609200005985,0.06371320589942489,1.0,0.2354399614446664,-0.13989914455755134,0.4178823579404945,0.4178823579404945,0.4178823579404945,0.4178823579404945
c_2,-0.03889129335416335,0.11895005430460266,0.09788289060217464,0.08697113103382395,0.025105282037681125,0.2354399614446664,1.0,0.10731812947205946,0.39743607111339896,0.39743607111339896,0.39743607111339896,0.39743607111339896
c_3,-0.002297542034349542,0.0508654621153786,0.18281456726190654,-0.16466774882878693,-0.06236599931388853,-0.13989914455755134,0.10731812947205946,1.0,0.2008363613933117,0.2008363613933117,0.2008363613933117,0.2008363613933117
nu_0,0.005506430523509207,0.0265348879003293,-0.015721668023043325,0.008984875001361256,0.24429780199271453,0.4178823579404945,0.39743607111339896,0.2008363613933117,1.0,1.0,1.0,1.0
nu_1,0.005506430523509207,0.0265348879003293,-0.015721668023043325,0.008984875001361256,0.24429780199271453,0.4178823579404945,0.39743607111339896,0.2008363613933117,1.0,1.0,1.0,1.0
nu_2,0.005506430523509207,0.0265348879003293,-0.015721668023043325,0.008984875001361256,0.24429780199271453,0.4178823579404945,0.39743607111339896,0.2008363613933117,1.0,1.0,1.0,1.0
nu_3,0.005506430523509207,0.0265348879003293,-0.015721668023043325,0.008984875001361256,0.24429780199271453,0.4178823579404945,0.39743607111339896,0.2008363613933117,1.0,1.0,1.0,1.0
