seed,iteration,loss
11,0,4576.166015625
11,1,4558.32177734375
11,2,4563.60595703125
11,3,4557.07080078125
11,4,4578.087890625
11,5,4556.89501953125
11,6,4567.26806640625
11,7,4591.92578125
11,8,4540.87109375
11,9,4601.4521484375
11,10,4601.134765625
11,11,4587.87451171875
11,12,4536.8388671875
11,13,4563.84130859375
11,14,4603.669921875
11,15,4581.0439453125
11,16,4588.30810546875
11,17,4526.0888671875
11,18,4579.39111328125
11,19,4568.775390625
11,20,4591.11572265625
11,21,4548.556640625
11,22,4589.61376953125
11,23,4504.466796875
11,24,4552.75439453125
11,25,4570.44970703125
11,26,4544.5029296875
11,27,4528.6259765625
11,28,4553.42431640625
11,29,4563.1923828125
11,30,4596.48193359375
11,31,4539.193359375
11,32,4547.1318359375
11,33,4539.33251953125
11,34,4564.68994140625
11,35,4538.71337890625
11,36,4532.94677734375
11,37,4561.47119140625
11,38,4496.9296875
11,39,4553.640625
11,40,4523.34130859375
11,41,4506.0283203125
11,42,4513.11083984375
11,43,4548.41845703125
11,44,4484.673828125
11,45,4490.49755859375
11,46,4490.02880859375
11,47,4527.06884765625
11,48,4488.69091796875
11,49,4515.96728515625
11,50,4512.14404296875
11,51,4505.15234375
11,52,4474.54833984375
11,53,4553.99755859375
11,54,4496.568359375
11,55,4511.34765625
11,56,4477.8779296875
11,57,4520.2705078125
11,58,4510.0908203125
11,59,4473.99462890625
11,60,4504.71435546875
11,61,4469.2421875
11,62,4478.9970703125
11,63,4434.9609375
11,64,4490.43115234375
11,65,4491.052734375
11,66,4449.30810546875
11,67,4431.3330078125
11,68,4494.95556640625
11,69,4446.52734375
11,70,4411.35546875
11,71,4438.5908203125
11,72,4453.89453125
11,73,4424.66650390625
11,74,4430.1982421875
11,75,4441.31640625
11,76,4454.92822265625
11,77,4484.79248046875
11,78,4445.59716796875
11,79,4441.23095703125
11,80,4449.25146484375
11,81,4444.60302734375
11,82,4420.13330078125
11,83,4412.3740234375
11,84,4414.9599609375
11,85,4420.31494140625
11,86,4448.587890625
11,87,4403.50537109375
11,88,4439.85009765625
11,89,4422.5869140625
11,90,4450.8623046875
11,91,4403.09912109375
11,92,4420.48486328125
11,93,4368.97509765625
11,94,4383.20263671875
11,95,4389.7802734375
11,96,4392.1279296875
11,97,4398.69970703125
11,98,4381.681640625
11,99,4379.48779296875
11,100,4381.46484375
11,101,4411.49462890625
11,102,4377.9599609375
11,103,4355.14111328125
11,104,4414.095703125
11,105,4346.412109375
11,106,4352.07177734375
11,107,4348.484375
11,108,4381.1787109375
11,109,4360.8984375
11,110,4365.0517578125
11,111,4328.97265625
11,112,4345.16015625
11,113,4366.8603515625
11,114,4396.9111328125
11,115,4372.61767578125
11,116,4356.712890625
11,117,4378.5830078125
11,118,4350.263671875
11,119,4329.810546875
11,120,4354.11865234375
11,121,4323.5498046875
11,122,4344.43798828125
11,123,4331.05224609375
11,124,4327.2646484375
11,125,4328.9873046875
11,126,4363.42529296875
11,127,4315.525390625
11,128,4317.00439453125
11,129,4329.484375
11,130,4333.81298828125
11,131,4344.5126953125
11,132,4355.8759765625
11,133,4313.10595703125
11,134,4338.44384765625
11,135,4331.75634765625
11,136,4330.6025390625
11,137,4323.072265625
11,138,4316.125
11,139,4313.4541015625
11,140,4323.6123046875
11,141,4303.86572265625
11,142,4303.2509765625
11,143,4305.95849609375
11,144,4299.09033203125
11,145,4328.064453125
11,146,4340.6982421875
11,147,4296.859375
11,148,4310.58642578125
11,149,4312.8955078125
11,150,4287.876953125
11,151,4305.74853515625
11,152,4308.0302734375
11,153,4306.83154296875
11,154,4327.62158203125
11,155,4311.091796875
11,156,4320.87890625
11,157,4290.91064453125
11,158,4311.115234375
11,159,4300.9140625
11,160,4295.421875
11,161,4302.861328125
11,162,4283.8994140625
11,163,4312.48876953125
11,164,4286.42578125
11,165,4298.0322265625
11,166,4297.8056640625
11,167,4289.55615234375
11,168,4276.146484375
11,169,4295.40673828125
11,170,4293.2841796875
11,171,4301.0712890625
11,172,4285.185546875
11,173,4291.673828125
11,174,4265.47705078125
11,175,4307.14404296875
11,176,4304.98974609375
11,177,4268.623046875
11,178,4278.1884765625
11,179,4305.95556640625
11,180,4292.0615234375
11,181,4281.21923828125
11,182,4278.06494140625
11,183,4259.47705078125
11,184,4274.3251953125
11,185,4281.751953125
11,186,4278.0283203125
11,187,4288.44384765625
11,188,4270.6103515625
11,189,4270.88916015625
11,190,4272.6533203125
11,191,4272.56640625
11,192,4284.41943359375
11,193,4264.09521484375
11,194,4270.37841796875
11,195,4266.23291015625
11,196,4288.8017578125
11,197,4267.28271484375
11,198,4273.2119140625
11,199,4272.34521484375
11,200,4267.18505859375
11,201,4273.55126953125
11,202,4283.09228515625
11,203,4261.5634765625
11,204,4259.9853515625
11,205,4269.5224609375
11,206,4264.6240234375
11,207,4252.22802734375
11,208,4284.7001953125
11,209,4261.3291015625
11,210,4264.76708984375
11,211,4273.400390625
11,212,4282.07470703125
11,213,4297.71435546875
11,214,4257.001953125
11,215,4259.0625
11,216,4267.68115234375
11,217,4268.03369140625
11,218,4267.384765625
11,219,4263.44091796875
11,220,4274.27392578125
11,221,4260.61767578125
11,222,4255.39599609375
11,223,4260.904296875
11,224,4259.02099609375
11,225,4270.35888671875
11,226,4278.576171875
11,227,4252.76953125
11,228,4259.30126953125
11,229,4256.60791015625
11,230,4269.06298828125
11,231,4271.78857421875
11,232,4257.5517578125
11,233,4254.86572265625
11,234,4252.5009765625
11,235,4277.9716796875
11,236,4253.92919921875
11,237,4262.23291015625
11,238,4243.86083984375
11,239,4249.09521484375
11,240,4240.236328125
11,241,4243.0810546875
11,242,4265.689453125
11,243,4260.2802734375
11,244,4253.67236328125
11,245,4250.4169921875
11,246,4261.50146484375
11,247,4248.0419921875
11,248,4264.64599609375
11,249,4274.74853515625
11,250,4255.3857421875
11,251,4276.05126953125
11,252,4257.45947265625
11,253,4242.59619140625
11,254,4241.17236328125
11,255,4244.1416015625
11,256,4242.17822265625
11,257,4241.6875
11,258,4258.11572265625
11,259,4257.6337890625
11,260,4241.23974609375
11,261,4250.02978515625
11,262,4254.9736328125
11,263,4234.3896484375
11,264,4261.78466796875
11,265,4239.22607421875
11,266,4240.51025390625
11,267,4248.009765625
11,268,4262.09521484375
11,269,4253.31494140625
11,270,4245.62548828125
11,271,4240.52978515625
11,272,4242.765625
11,273,4252.23583984375
11,274,4240.78125
11,275,4237.74365234375
11,276,4245.9326171875
11,277,4232.076171875
11,278,4247.56103515625
11,279,4245.08154296875
11,280,4241.3125
11,281,4234.2861328125
11,282,4237.3916015625
11,283,4236.9384765625
11,284,4239.60791015625
11,285,4240.455078125
11,286,4235.96435546875
11,287,4241.7978515625
11,288,4244.2021484375
11,289,4235.2978515625
11,290,4242.44384765625
11,291,4249.9130859375
11,292,4229.7421875
11,293,4239.02783203125
11,294,4232.62841796875
11,295,4244.44580078125
11,296,4237.5595703125
11,297,4236.89697265625
11,298,4231.84326171875
11,299,4239.80908203125
11,300,4228.41552734375
11,301,4243.6591796875
11,302,4232.7998046875
11,303,4231.1494140625
11,304,4237.00537109375
11,305,4229.82763671875
11,306,4224.3623046875
11,307,4233.58056640625
11,308,4230.00830078125
11,309,4239.26171875
11,310,4240.84619140625
11,311,4236.828125
11,312,4242.24462890625
11,313,4237.32470703125
11,314,4228.92724609375
11,315,4237.54541015625
11,316,4229.1875
11,317,4225.90625
11,318,4228.67724609375
11,319,4227.0703125
11,320,4229.9453125
11,321,4218.892578125
11,322,4226.20263671875
11,323,4233.10693359375
11,324,4230.41845703125
11,325,4226.0146484375
11,326,4226.302734375
11,327,4229.45703125
11,328,4223.12109375
