trial,fold,horizon,objective,learning_rate,max_rounds,interactions,max_bins,min_samples_leaf,outer_bags,macro_f1,balanced_accuracy,brier,log_loss,ece,recall_bear,recall_stress,is_best_trial
0,0,20,0.6572631591890254,0.04,80,0,96,5,2,0.25557133660988895,0.28787093888031506,0.797225383870161,1.4851736033648997,0.14924077302326175,0.08695652173913043,0.46875,False
0,1,20,0.7988626430499007,0.04,80,0,96,5,2,0.07527523791752193,0.10319198873415741,0.8810656601821828,1.6324189607652215,0.28595408049137944,0.0,0.0,False
0,2,20,0.6904057545933502,0.04,80,0,96,5,2,0.16036304145606878,0.2809389505846407,0.8592664675861152,1.5968707330158385,0.23268071716238103,0.0,0.8064516129032258,False
1,0,20,0.6825561450280129,0.025,50,0,64,10,2,0.19809350336090029,0.21230243201532648,0.7808455539336253,1.4473376891847427,0.13894877905213876,0.10869565217391304,0.25,False
1,1,20,0.7544785211387464,0.025,50,0,64,10,2,0.09428917575301833,0.13849081952530226,0.8119940922972596,1.501391479366094,0.2166737942983363,0.0,0.034482758620689655,False
1,2,20,0.7091891714948868,0.025,50,0,64,10,2,0.14377346567042118,0.16698591769982568,0.7778227709972352,1.4329484203308742,0.17619335909164283,0.0,0.22580645161290322,False
2,0,20,0.687501468140759,0.04,50,0,64,2,2,0.2033492822966507,0.21811638550369858,0.7925608183458438,1.4741639604968961,0.1513813124366122,0.10869565217391304,0.25,False
2,1,20,0.7516148885104339,0.04,50,0,64,2,2,0.10284997561145565,0.16534971053043343,0.8190704887656356,1.5138729356583105,0.17930345909037915,0.0,0.0,False
2,2,20,0.7183922160170774,0.04,50,0,64,2,2,0.12966309053265576,0.15719979630608927,0.7875056297489907,1.4496602945123571,0.21819676958609904,0.0,0.25806451612903225,False
3,0,20,0.6685989641693969,0.04,30,0,64,10,2,0.22019132079079284,0.24308054720344846,0.7845674858012269,1.4540983735097888,0.11395285210453784,0.08695652173913043,0.34375,False
3,1,20,0.7357554446640809,0.04,30,0,64,10,2,0.10943367011187241,0.15466860725481413,0.8008822492390935,1.4773251032991452,0.163313154673842,0.0,0.08620689655172414,False
3,2,20,0.6971344280573872,0.04,30,0,64,10,2,0.16752397188253665,0.17043794190806352,0.7621396394828394,1.4010760575199215,0.12379787873669319,0.0,0.16129032258064516,False
4,0,20,0.6767412148969413,0.025,50,0,64,5,2,0.20271108202142685,0.216828784391464,0.7795047700172414,1.4425718570477757,0.1428544575498922,0.13043478260869565,0.28125,False
4,1,20,0.7404642332277556,0.025,50,0,64,5,2,0.11317784498115084,0.1655284370801612,0.8051397057836235,1.4858059208072807,0.185330096866642,0.0,0.05172413793103448,False
