date,hmm_prob_state_0,hmm_prob_state_1,hmm_prob_state_2,hmm_prob_state_3,hmm_entropy,hmm_expected_return,hmm_expected_volatility,hmm_state_duration,hmm_state_label
2000-07-28,3.489091393904511e-15,1.0857016896453228e-18,0.9999999999999163,8.01450957623163e-14,2.3946388064301027e-12,2.118378269085882e-06,0.00657922516278625,1,Contraction
2000-07-31,0.00018567775101209423,8.881789690625944e-08,0.997744525156293,0.0020697082747978654,0.016641138055856583,-4.130024919241979e-06,0.006620131545830707,2,Contraction
2000-08-02,0.0008052263159092423,2.45526055373155e-07,0.9835431183022993,0.015651409855735987,0.08712715064733392,-4.902895444717507e-05,0.006880788073141742,3,Contraction
2000-08-04,0.0005638783119668946,1.6551064717935345e-07,0.9617013431099192,0.037734613067466685,0.1654395146562917,-0.00013015575943131188,0.007288391451793758,4,Contraction
2000-08-07,0.0003534544465010207,1.1838209917267379e-07,0.9464607513304573,0.053185675840942706,0.210935769073496,-0.0001871884979948061,0.007573041842688995,5,Contraction
2000-08-09,0.00031959950536811536,1.109098380217862e-07,0.9323487293803722,0.0673315602044218,0.2495526016672101,-0.0002383705699611613,0.007835708887026747,6,Contraction
2000-08-11,0.0004101705443453715,1.2941987270473333e-07,0.8947205445858789,0.10486915544990304,0.3392174389974549,-0.00037301397154620834,0.00853506575388863,7,Contraction
2000-08-14,0.00030767841812910976,9.887163399932639e-08,0.8895224171943179,0.11016980551591908,0.349631630515839,-0.00039277679386436304,0.008632324610457064,8,Contraction
2000-08-16,0.00028367918170902365,9.40929273652274e-08,0.8919790904337489,0.10773713629161465,0.34432786284328554,-0.0003841690052699136,0.008586766574177453,9,Contraction
2000-08-18,0.0002617380748504544,8.96225977403175e-08,0.9012657371513412,0.09847243515121071,0.32410850851200784,-0.0003509348121111039,0.008414162785276187,10,Contraction
2000-08-21,8.696211037902966e-05,3.502000120160748e-07,0.9805691144252905,0.019343573264318514,0.09637721398321336,-6.70028125739081e-05,0.006940136773927135,11,Contraction
2000-08-23,8.335850385019535e-05,3.5191154808667877e-07,0.9947412995351402,0.005174990049461456,0.033273734195418556,-1.598264635983057e-05,0.006676561242218406,12,Contraction
2000-08-25,9.485587957977488e-07,5.286490149107829e-06,0.9999852930136208,8.471937434277943e-06,0.0001910361851319722,2.0951532817614107e-06,0.006579419866267929,13,Contraction
2000-08-28,7.588843154489197e-05,0.01504887916194012,0.9847364708171392,0.00013876158937575355,0.08025082112007015,5.315436371717297e-06,0.006653433355807793,14,Contraction
2000-08-30,0.0008021698796844421,0.5109890722758845,0.4870475631193042,0.0011611947251269291,0.7070262551425569,0.00011192180289603311,0.00900991071071212,1,Range
2000-09-01,0.00018504266153171776,0.9972186202692584,0.00228390649191577,0.00031243057729405115,0.020780020653101368,0.00021446305377607647,0.01126856157039981,2,Range
2000-09-06,8.951770959597743e-05,0.999677771359557,0.0001267303995085083,0.00010598053133842706,0.0032637475070580813,0.0002151088413270687,0.01127502532766063,3,Range
2000-09-08,7.902708503606916e-05,0.9995648608899781,0.0002836665254252153,7.244549956062038e-05,0.00418901787120174,0.00021513737568009035,0.011273735385034327,4,Range
2000-09-11,0.0001745742253534909,0.9996277334137427,7.999419514564695e-05,0.00011769816575835683,0.00370230671409039,0.00021560929488429088,0.011276112554453453,5,Range
2000-09-13,0.00021087126278577945,0.9995855325903884,6.318760815169256e-05,0.0001404085386741205,0.0040557954084091095,0.00021575461912237226,0.011276808052550527,6,Range
2000-09-15,0.10464981136171904,0.8940939887706403,5.089655314282393e-09,0.001256194777985265,0.3446886736987959,0.0008686870693194989,0.012158151799473525,7,Range
2000-09-18,0.28579824369025253,0.713731902203697,2.3980545835047816e-07,0.0004696143005920843,0.6022606437267292,0.002011554621831614,0.013648470363380433,8,Range
2000-09-20,0.3290162901042074,0.6706312216604976,2.0951622785183986e-06,0.00035039307301653575,0.6365068295641254,0.002283956265007128,0.014004970944629234,9,Range
2000-09-22,0.28232334552587174,0.7173519920540722,9.465627456049739e-06,0.0003151967926000467,0.598001861803886,0.001990276226613291,0.013617481807739487,10,Range
2000-09-25,0.12749507909120195,0.8722023318128143,6.48877606799512e-05,0.00023770133530378134,0.38446753077276313,0.0010163118463982009,0.012333013593751673,11,Range
2000-09-27,0.04236412274284937,0.9572849431464049,0.00018806347711337456,0.00016287063363244143,0.17875568996206356,0.00048088932783570256,0.011625876879945232,12,Range
2000-09-29,0.012421168036052864,0.9870330553930253,0.00040920751949852593,0.00013656905142320924,0.07179861013980464,0.0002925282291578562,0.011376322523679464,13,Range
