feature,train_mean,test_mean,mean_shift,ks_stat,outside_train_range_rate
up_ratio_60,0.5050343906079017,0.5583333333333333,0.053298942725431675,0.3124049054350757,0.0
up_ratio_40,0.5058122425853637,0.5573116987179486,0.051499456132584887,0.24841147939858504,0.0
drawdown_from_high_60,-0.09802207537148878,-0.05242605455819,0.045596020813298783,0.21784840722622395,0.0
up_ratio_20,0.5068909797201635,0.555048076923077,0.0481570972029135,0.18365167944224028,0.0
sma_slope_200,0.0021425961814055287,0.0018282959484048206,-0.00031430023300070813,0.17806597717088454,0.0
sma_slope_50,0.0025247779705335053,0.0014689459083229992,-0.001055832062210506,0.17714432225260968,0.0
sma_distance_100,0.029103845333499537,0.015020046693381878,-0.014083798640117658,0.17518826316397673,0.0
log_return_60,0.02514121053459393,0.016969750513275966,-0.008171460021317963,0.1729894521269083,0.0
rolling_return_60,0.028830993916855563,0.016969750513276028,-0.011861243403579535,0.1729894521269083,0.0
ema_slope_100,0.00246896183840321,0.0015158830644979606,-0.0009530787739052496,0.1707870299038301,0.0
drawdown_from_high_40,-0.07447271759301799,-0.04345198543099476,0.03102073216202323,0.1664251184469011,0.0
sma_slope_100,0.002375630168485631,0.0015348153346548686,-0.0008408148338307623,0.16607683961840197,0.0
ema_distance_100,0.02321909077220739,0.014623024725033042,-0.008596066047174347,0.16517765430196577,0.0
distance_from_low_60,0.12938930648994162,0.08733876675903654,-0.042050539730905084,0.15983751267927532,0.0
ema_slope_50,0.0025771012691086807,0.0013936201209891268,-0.0011834811481195538,0.15716162384602544,0.0
distance_from_low_40,0.0965836679029048,0.06681802259439003,-0.029765645308514777,0.14906775226942978,0.0
rolling_return_40,0.019394240982629363,0.010933604857159628,-0.008460636125469736,0.14839647291449995,0.0
log_return_40,0.017993435722303604,0.01093360485715956,-0.0070598308651440445,0.14839647291449995,0.0
sma_distance_200,0.04963846327647247,0.034952803885857316,-0.014685659390615155,0.14658847245226814,0.0
up_ratio_10,0.5072786759504336,0.5548878205128205,0.04760914456238685,0.14010077616424638,0.0
ema_distance_50,0.011640133545101601,0.0065236606538523305,-0.005116472891249271,0.1395839753219573,0.0
sma_distance_50,0.014596428743052899,0.0070022965736677035,-0.007594132169385195,0.13753282166840003,0.0
distance_from_low_20,0.05743215061513648,0.041514247523391425,-0.015917903091745053,0.12032913151778951,0.0
sma_slope_20,0.0027638077427447794,0.001285538291640919,-0.0014782694511038604,0.12015298588909004,0.0
ema_slope_20,0.0027618555973179092,0.0013212773172037644,-0.0014405782801141449,0.1183722699433766,0.0
ema_distance_20,0.004537975101873342,0.0022731944492950045,-0.0022647806525783374,0.11576900607321239,0.0
ema_distance_200,0.044779492274447115,0.03248534792939355,-0.012294144345053562,0.11551341435229767,0.0
rolling_return_20,0.00981205307389163,0.00471173777060307,-0.00510031530328856,0.11517075292425819,0.0
distance_from_low_10,0.03305679093578187,0.02481924941784818,-0.00823754151793369,0.11231430479051911,0.0
log_return_20,0.009328430623227095,0.004711737770603031,-0.004616692852624065,0.11191587060077296,0.0
drawdown_from_high_20,-0.045700820627730225,-0.030016344985638568,0.015684475642091657,0.10931019927326888,0.0
ema_slope_10,0.0029241672610738085,0.0013464962018868878,-0.0015776710591869207,0.10911238652851071,0.0
sma_slope_10,0.00296758981941824,0.0013596399428608867,-0.0016079498765573532,0.10630689624179859,0.0
sma_distance_20,0.005437453742007849,0.0024721160575543375,-0.002965337684453512,0.10440259748597255,0.0
rolling_return_10,0.004940656722679306,0.002375933372850867,-0.002564723349828439,0.1037032311287444,0.0
ema_slope_5,0.0030853742984430377,0.0014256505106740936,-0.0016597237877689441,0.10350381341242633,0.0
up_ratio_5,0.5073401769320648,0.5548076923076923,0.047467515375627545,0.10306525493368257,0.0
log_return_10,0.004768785981694611,0.0023759333728509266,-0.0023928526088436847,0.10245135331201931,0.0
ema_distance_10,0.002123046751084148,0.0010201379065409054,-0.0011029088445432425,0.10004710591528318,0.0
drawdown_from_high_10,-0.02722667630747986,-0.019163350270324172,0.008063326037155687,0.09885140210315473,0.0
distance_from_low_5,0.017786292753629026,0.013563979073935188,-0.004222313679693838,0.09884137103090533,0.0
sma_slope_5,0.003169526480398842,0.0014760208833085957,-0.0016935055970902463,0.09549179538538577,0.0
ema_distance_5,0.000915091177246947,0.00042935682496155815,-0.00048573435228538883,0.09438958116662173,0.0
sma_distance_10,0.00249513264735878,0.0011530400595541784,-0.0013420925878046017,0.0937885193174377,0.0
ma_cross_100,0.5317976965448172,0.43990384615384615,-0.09189385039097109,0.09189385039097107,0.0
drawdown_from_high_5,-0.015376697478236423,-0.011333581738511343,0.00404311573972508,0.08969463811101268,0.0
rolling_return_5,0.0024745109552720026,0.001166490058949541,-0.0013080208963224616,0.08847806966860547,0.0
log_return_5,0.0024367414203584708,0.0011664900589495248,-0.001270251361408946,0.08797731854191544,0.0
up_ratio_2,0.5073860791186781,0.5544871794871795,0.04710110036850146,0.08645941668913627,0.0
sma_distance_5,0.0010668160358785958,0.0004885486934910055,-0.0005782673423875903,0.08417273345916311,0.0
