model,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,turnover,total_transaction_cost,hit_rate,average_exposure,time_in_market,state_changes
RAEMF-MC,0.1758561119885318,0.0325024801244567,0.0826382537188339,0.3933103455337076,0.4566797028294358,0.1707929736943412,-0.1903033797082582,21.577513928362997,0.0215775139283629,0.554140127388535,0.430554955710301,0.9992038216560508,1255
XGBoost (full features),0.1652033298011863,0.0306765064962906,0.0867732112933791,0.3535250803681076,0.4027539471700271,0.1555998374054242,-0.1971499906928645,11.934235421447411,0.0119342354214474,0.5549363057324841,0.4323017763351738,0.9992038216560508,1255
Random Forest (full features),0.1653354470335017,0.0306992545388105,0.0843067435233353,0.364137591559485,0.4161803961393926,0.1611858562688646,-0.1904587365755151,10.06902575015361,0.0100690257501536,0.5549363057324841,0.4322882799191293,0.9992038216560508,1255
MACD probabilistic,0.2099300339830268,0.03823388436715,0.1167825405317276,0.3273938398074382,0.3751804814169487,0.1380337577519746,-0.2769893755689131,7.871437544160366,0.0078714375441603,0.5557324840764332,0.6020668101183779,0.9992038216560508,207
Buy-and-Hold,0.4153356485181509,0.0696945947616406,0.1968893481502281,0.3539784930795907,0.4071586946389204,0.1727553905894578,-0.403429348999392,1.0,0.001,0.5565286624203821,0.9992038216560508,0.9992038216560508,1
Cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
