feature,class,contribution,latest_value,train_median
parkinson_volatility,Bull,2.0610058584030755e-05,0.007896242295123326,0.007319268499548965
parkinson_volatility,Sideway,0.0002833625113221605,0.007896242295123326,0.007319268499548965
parkinson_volatility,Bear,-0.00015828259334393913,0.007896242295123326,0.007319268499548965
parkinson_volatility,Stress,-0.0001456899765623354,0.007896242295123326,0.007319268499548965
ma_cross_200,Bull,0.01760505963137829,0.0,1.0
ma_cross_200,Sideway,-0.0054506544869271645,0.0,1.0
ma_cross_200,Bear,-0.021759655995873928,0.0,1.0
ma_cross_200,Stress,0.009605250851422859,0.0,1.0
log_volume,Bull,0.006393136602425853,19.761308645055102,18.19106063233013
log_volume,Sideway,0.008751433069018544,19.761308645055102,18.19106063233013
log_volume,Bear,-0.013901864317516777,19.761308645055102,18.19106063233013
log_volume,Stress,-0.0012427053539275923,19.761308645055102,18.19106063233013
egarch_volatility_percentile,Bull,-0.00802874674566137,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Sideway,-0.003900518301028111,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Bear,0.010364099800280968,0.15476190476190477,0.49206349206349204
egarch_volatility_percentile,Stress,0.0015651652464085675,0.15476190476190477,0.49206349206349204
sma_slope_200,Bull,2.3159668809391576e-05,0.0029803461859863045,0.001628838022683432
sma_slope_200,Sideway,0.002251842752908073,0.0029803461859863045,0.001628838022683432
sma_slope_200,Bear,-0.0004063305265387118,0.0029803461859863045,0.001628838022683432
sma_slope_200,Stress,-0.0018686718951787529,0.0029803461859863045,0.001628838022683432
ma_cross_100,Bull,0.0,1.0,1.0
ma_cross_100,Sideway,0.0,1.0,1.0
ma_cross_100,Bear,0.0,1.0,1.0
ma_cross_100,Stress,0.0,1.0,1.0
hl_range,Bull,-0.0029255972749261394,0.006433040093922383,0.009586935415226197
hl_range,Sideway,-0.006603461958156198,0.006433040093922383,0.009586935415226197
hl_range,Bear,0.005017736475218082,0.006433040093922383,0.009586935415226197
hl_range,Stress,0.004511322757864256,0.006433040093922383,0.009586935415226197
volatility_40,Bull,0.00822822551720473,0.008183518902487688,0.011157680245004017
volatility_40,Sideway,-0.008342242431663038,0.008183518902487688,0.011157680245004017
volatility_40,Bear,-0.00367624318855031,0.008183518902487688,0.011157680245004017
volatility_40,Stress,0.003790260103008536,0.008183518902487688,0.011157680245004017
upside_vol_20,Bull,0.004077462163899981,0.004737130908816406,0.005883742674124309
upside_vol_20,Sideway,-0.006614985525043526,0.004737130908816406,0.005883742674124309
upside_vol_20,Bear,0.0007475422408807497,0.004737130908816406,0.005883742674124309
upside_vol_20,Stress,0.0017899811202628513,0.004737130908816406,0.005883742674124309
lower_shadow,Bull,-0.0009865852401632347,0.0001501042688581743,0.0008833845917555001
lower_shadow,Sideway,-0.002716229597702513,0.0001501042688581743,0.0008833845917555001
lower_shadow,Bear,0.0030299074142448035,0.0001501042688581743,0.0008833845917555001
lower_shadow,Stress,0.0006729074236209442,0.0001501042688581743,0.0008833845917555001
upside_vol_40,Bull,0.009006414617345415,0.00435463236112085,0.006184267102906777
upside_vol_40,Sideway,-0.00456359403921619,0.00435463236112085,0.006184267102906777
upside_vol_40,Bear,-0.008880479649490791,0.00435463236112085,0.006184267102906777
upside_vol_40,Stress,0.004437659071361705,0.00435463236112085,0.006184267102906777
ma_cross_5,Bull,0.0,0.0,0.0
ma_cross_5,Sideway,0.0,0.0,0.0
ma_cross_5,Bear,0.0,0.0,0.0
ma_cross_5,Stress,0.0,0.0,0.0
distance_from_low_60,Bull,-0.0035491012200460914,0.10765222972976021,0.07760842919586973
distance_from_low_60,Sideway,-0.003922429346956524,0.10765222972976021,0.07760842919586973
distance_from_low_60,Bear,0.006949621840797282,0.10765222972976021,0.07760842919586973
distance_from_low_60,Stress,0.0005219087262054445,0.10765222972976021,0.07760842919586973
drawdown_from_high_60,Bull,0.001403592522907976,-0.032992650532441284,-0.04411444573118266
drawdown_from_high_60,Sideway,0.0009256778191902848,-0.032992650532441284,-0.04411444573118266
drawdown_from_high_60,Bear,-0.001445937225033167,-0.032992650532441284,-0.04411444573118266
drawdown_from_high_60,Stress,-0.0008833331170651215,-0.032992650532441284,-0.04411444573118266
distance_from_low_40,Bull,0.0006473807343600757,0.040947759427387785,0.05757176763736431
distance_from_low_40,Sideway,-0.0009929012974057572,0.040947759427387785,0.05757176763736431
distance_from_low_40,Bear,-0.0002632398085637422,0.040947759427387785,0.05757176763736431
distance_from_low_40,Stress,0.0006087603716094792,0.040947759427387785,0.05757176763736431
upside_vol_10,Bull,-0.001935229411810041,0.006029624283867529,0.005398416773006542
upside_vol_10,Sideway,0.002662886631872974,0.006029624283867529,0.005398416773006542
upside_vol_10,Bear,0.0004528071400378697,0.006029624283867529,0.005398416773006542
upside_vol_10,Stress,-0.0011804643601008025,0.006029624283867529,0.005398416773006542
month,Bull,0.0,7.0,7.0
month,Sideway,0.0,7.0,7.0
month,Bear,0.0,7.0,7.0
month,Stress,0.0,7.0,7.0
drawdown_from_high_40,Bull,0.0,-0.032992650532441284,-0.032689677868786765
drawdown_from_high_40,Sideway,0.0,-0.032992650532441284,-0.032689677868786765
drawdown_from_high_40,Bear,0.0,-0.032992650532441284,-0.032689677868786765
drawdown_from_high_40,Stress,0.0,-0.032992650532441284,-0.032689677868786765
downside_vol_40,Bull,0.003453091323403268,0.0053038363233134525,0.006611883773980437
downside_vol_40,Sideway,-0.00488999944644003,0.0053038363233134525,0.006611883773980437
downside_vol_40,Bear,4.6804629560137645e-05,0.0053038363233134525,0.006611883773980437
downside_vol_40,Stress,0.0013901034934766243,0.0053038363233134525,0.006611883773980437
vol_of_vol_60,Bull,-0.005222125119685422,0.002444501140637645,0.0014085180168858851
vol_of_vol_60,Sideway,0.004576945382949726,0.002444501140637645,0.0014085180168858851
vol_of_vol_60,Bear,0.0004862681591187301,0.002444501140637645,0.0014085180168858851
vol_of_vol_60,Stress,0.0001589115776169936,0.002444501140637645,0.0014085180168858851
