feature,importance
sma_slope_200,0.04083811786101179
downside_vol_60,0.02638146470994336
vol_of_vol_40,0.026109103239313265
sma_distance_200,0.025856173817792653
ema_distance_200,0.025818984459074868
volatility_60,0.024417253640862162
sma_slope_100,0.02422262692404198
distance_from_low_60,0.02329556924101128
volatility_40,0.02257446775659679
vol_of_vol_60,0.02233639574419739
drawdown_from_high_60,0.02209289933837344
downside_vol_40,0.02190033797018675
upside_vol_60,0.02129438817163441
hmm_state_duration,0.021007480625550336
parkinson_volatility,0.019835285697863463
sma_slope_50,0.018555932805815373
ewma_volatility,0.017851844101386277
month,0.017367622602114014
log_volume,0.01712852482967909
atr_14,0.01631995706048623
upside_vol_40,0.01603300867220731
hmm_expected_return,0.01595854637067028
sma_slope_20,0.015596958106983784
log_return_20,0.01537322966941203
up_ratio_60,0.014693167839262843
volatility_20,0.01462809033585464
up_ratio_10,0.014592465461700592
drawdown_from_high_40,0.014535098030302828
sma_distance_100,0.014408439278711282
distance_from_low_40,0.014188452614634401
