date,egarch_sigma,egarch_log_variance,egarch_standardized_residual,egarch_negative_shock,egarch_volatility_percentile,egarch_volatility_change,egarch_tail_risk_score
2000-07-28,0.015519548767307396,0.8790306941338631,-0.0031814223590825056,-0.0031814223590825056,,,0.015568923006758578
2000-07-31,0.01300448215534586,0.5254179724491379,1.1410864405853551,0.0,,-0.16205797279748446,0.01300448215534586
2000-08-02,0.01388511707099779,0.6564649184036514,1.3321306013091103,0.0,,0.06771779953497958,0.01388511707099779
2000-08-04,0.015389719881354302,0.8622293066991897,1.1182116453386157,0.0,,0.10836082999251162,0.015389719881354302
2000-08-07,0.0162578706654765,0.9719840943349302,0.9829788793851582,0.0,,0.05641108420524432,0.0162578706654765
2000-08-09,0.016667543297748697,1.0217564404953865,0.9436432801412655,0.0,,0.025198418704494463,0.016667543297748697
2000-08-11,0.016933828365352666,1.0534564133386815,0.9678468300317765,0.0,,0.015976263738876062,0.016933828365352666
2000-08-14,0.017281419582413533,1.0940936375352706,0.881398771844449,0.0,,0.020526440304075244,0.017281419582413533
2000-08-16,0.017310193301782982,1.0974208863804822,0.866646438495867,0.0,,0.0016650090134222584,0.017310193301782982
2000-08-18,0.01728499641564386,1.0945075460230114,0.8549978070455938,0.0,,-0.001455609749691611,0.01728499641564386
2000-08-21,0.017219033934807757,1.0868606061699588,0.8456904723427141,0.0,,-0.0038161697723236854,0.017219033934807757
2000-08-23,0.017122510216038125,1.0756177834795437,0.8872672019162093,0.0,,-0.005605640777239684,0.017122510216038125
2000-08-25,0.01717747989572216,1.0820282490879487,-0.10079827966308424,-0.10079827966308424,,0.003210375055436865,0.018908940318158166
2000-08-28,0.014658135105403782,0.7648207712914508,-1.0449382721675817,-1.0449382721675817,,-0.14666556477506276,0.029974981475643387
2000-08-30,0.015523924558415217,0.8795945216528894,-1.0019090673166857,-1.0019090673166857,,0.059065457289464884,0.031077485333831603
2000-09-01,0.016251232165844468,0.9711672769950296,-0.9720943646840977,-0.9720943646840977,,0.0468507563723628,0.03204896337343482
2000-09-06,0.01687285690248267,1.046242274656349,-0.4751740582502327,-0.4751740582502327,,0.03825092954764897,0.02489040079111081
2000-09-08,0.015660981428206194,0.8971745332539436,-0.05993611758230395,-0.05993611758230395,,-0.07182396444659955,0.016599639852541436
2000-09-11,0.013285830722568469,0.5682260302595721,1.1261580462238074,0.0,,-0.15166039986229485,0.013285830722568469
2000-09-13,0.014131033941031648,0.6915765489766095,1.2261846987751024,0.0,,0.0636168890084865,0.014131033941031648
2000-09-15,0.015312206459587096,0.8521304502820096,1.0568928498371448,0.0,,0.0835871262842085,0.015312206459587096
2000-09-18,0.01597423460464815,0.936783988099259,0.10292238142061379,0.0,,0.043235319926512306,0.01597423460464815
2000-09-20,0.013651004168350585,0.6224559827560949,-0.003616894320906859,-0.003616894320906859,,-0.14543610343756674,0.013700378407801769
2000-09-22,0.011491375977438522,0.27802349208579774,0.43632091813369395,0.0,,-0.1582028812150751,0.011491375977438522
2000-09-25,0.010645846566431728,0.12516945866352847,0.15336609759922065,0.0,,-0.07357947496164563,0.010645846566431728
2000-09-27,0.009324904939468926,-0.13979264334991096,0.6236787667755135,0.0,,-0.12408046825773056,0.009324904939468926
2000-09-29,0.009047304355551674,-0.20023648183339343,0.9141000429627963,0.0,,-0.02976980309389221,0.009047304355551674
2000-10-02,0.009333255915603468,-0.13800233255624855,0.17210020729471406,0.0,,0.03160627174837183,0.009333255915603468
2000-10-04,0.008244942253741038,-0.3859702815965458,0.19448513397663095,0.0,,-0.11660600241797414,0.008244942253741038
2000-10-06,0.00734929640504117,-0.6159610231134492,1.2236575371798415,0.0,,-0.10862972973442975,0.00734929640504117
2000-10-09,0.00814377776282753,-0.4106618440251908,2.0862034837527834,0.0,,0.10810305014251353,0.00814377776282753
2000-10-11,0.010754676511334549,0.14551118258834947,1.6267281859217346,0.0,,0.3206004417783266,0.010754676511334549
2000-10-13,0.01278557909820588,0.4914656197017458,1.2838784438630741,0.0,,0.18883902130677055,0.01278557909820588
2000-10-16,0.014070412401860044,0.6829781768496163,1.1476873687846698,0.0,,0.10049081811511051,0.014070412401860044
2000-10-18,0.015002376386002967,0.8112470425873286,1.0591816765463633,0.0,,0.06623572625488361,0.015002376386002967
2000-10-20,0.015669660564955053,0.8982826033627864,1.045406637159773,0.0,,0.0444785653807922,0.015669660564955053
2000-10-23,0.01629504145841088,0.9765515270669496,0.7200223754418843,0.0,,0.03991030251507044,0.01629504145841088
