horizon,scenario_mode,q01,q05,q10,q25,q50,q75,q90,q95,q99
20,point_estimate,-0.2399752936428819,-0.07537531573618143,-0.04867244423571289,-0.01815005938216033,0.008016392712495244,0.031999381074418756,0.06783057247200938,0.09997714092914244,0.3353296495266745
20,posterior_mean_mc,-0.055893435921735096,-0.032605436398635064,-0.022747055095014408,-0.0058525001358946515,0.010038067862702813,0.025832621188986462,0.04307552224323688,0.05524808470867458,0.07936554284717964
20,variational_posterior,-0.06121143461920877,-0.03166975673469048,-0.02201135904740541,-0.00495085682899376,0.009881381225344595,0.02707262734723458,0.04251214673334956,0.05485545383828462,0.07690150283192129
40,point_estimate,-0.8941387099217936,-0.28227287832016335,-0.11799267395058773,-0.025071704623778054,0.017475724022431888,0.062148540626163054,0.1448675158355025,0.2715702427527053,0.958906867984636
40,posterior_mean_mc,-0.08458519732831042,-0.03905948824144235,-0.02148783097345417,0.002410056269331457,0.024146366005258695,0.04625020090500016,0.06834809798656927,0.08401782337380108,0.11428130564553299
40,variational_posterior,-0.08184818313718534,-0.0452627504863025,-0.024984641392265212,-0.0005221787973401718,0.02252047396262779,0.04617425873384587,0.06898142738988806,0.08503724982657215,0.119458364778596
60,point_estimate,-1.9375051860376298,-0.6947256876570658,-0.23617790358459265,-0.039598653157298006,0.025069213059837423,0.08312837903857713,0.22879636798103026,0.5361958929909808,1.3951284377565603
60,posterior_mean_mc,-0.07912667928399358,-0.03510415053026755,-0.0173061658349358,0.00843047673729096,0.03241523224847689,0.0577866293801961,0.08442375346088055,0.09996516927947699,0.14499098797493506
60,variational_posterior,-0.09055925606387523,-0.034364422225978054,-0.019401385708602625,0.007876244473318032,0.03315209901990221,0.06126495082561571,0.0887697614954518,0.10518522460039391,0.15284484038723492
