feature,importance
distance_from_low_20,0.024440037
quarter,0.020708987
downside_vol_40,0.019574305
downside_vol_60,0.018598985
ma_cross_100,0.018581232
hmm_expected_return,0.018196182
sma_slope_200,0.01756928
hmm_prob_state_2,0.017559165
distance_from_low_60,0.017326172
upside_vol_60,0.017312746
ewma_volatility,0.017134728
drawdown_from_high_60,0.016136728
month,0.015990151
sma_slope_100,0.015968433
volatility_60,0.015964082
log_return_60,0.015933573
sma_distance_200,0.015749771
parkinson_volatility,0.015475303
ema_distance_200,0.015329695
drawdown_from_high_40,0.015269738
macd_signal,0.014753336
bollinger_bandwidth,0.014128411
hmm_expected_volatility,0.0141032785
ema_slope_50,0.013854023
upside_vol_40,0.013750703
volatility_40,0.013638413
ma_cross_200,0.013574377
macd,0.013520134
sma_distance_100,0.013442038
distance_from_low_10,0.013363484
