step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37
1,1835.6104463732306,1843.835786491177,1849.124014515076,1859.8093595431228,1868.608081760479,1876.763668325477,1886.291252146743,1890.725456044704,1896.6832225259527
2,1822.140528293999,1833.6340456439164,1843.7780621272398,1857.80928320372,1870.7909386589201,1884.5587597560152,1896.5925981807882,1902.9759531236812,1911.9562505575848
3,1818.5697085640084,1833.369648955332,1843.9433739928445,1857.9690373245285,1873.9070256431821,1890.1980749484603,1907.0891790210533,1917.5789415458376,1928.3697033681497
4,1814.529182638394,1827.1035288662897,1840.0191797886348,1857.8468821468418,1876.1105881826445,1895.2070938719705,1915.421019002344,1930.6289407711035,1949.0470855904687
5,1805.9696293395245,1824.1403214645952,1837.9154708433148,1856.1013892068638,1879.0531958632855,1900.9491629892423,1923.547731921771,1941.901486551201,1961.101473108838
6,1790.1729811441346,1815.5301696201823,1831.4266926194239,1855.6442115707944,1881.8306770808638,1907.2289605015474,1934.244608193361,1953.9109543429636,1973.5036489933389
7,1767.2252051054784,1806.4109069694036,1826.159762368745,1857.147111216451,1881.29519090457,1910.8030900944523,1941.3957483212698,1960.7787220354273,1987.3398290147743
8,1753.226589965766,1794.4671368982301,1826.613884777096,1857.8203253349307,1883.899539893894,1914.4382731979717,1949.2896844347435,1978.605125758547,2013.3532585878393
9,1732.9694666684861,1784.6904164577256,1819.4178641983915,1857.1311200380237,1884.3298835090445,1918.539247034642,1961.5712077577655,1989.4491437582826,2055.3017705306097
10,1696.7949247086465,1760.670855589993,1814.4846733125867,1855.2078684803355,1885.9147663479657,1924.3182841884507,1968.124291703089,2012.2408183614891,2097.4598658682794
11,1672.2079574546585,1755.0245048527142,1808.4989718008203,1854.8734783791301,1887.5965602298406,1930.9949590211945,1976.0733070896451,2037.8038382953812,2112.1468372290005
12,1630.844979101673,1727.5423017808937,1800.6381880701647,1850.435744073894,1889.8572598819794,1933.6688505741831,1987.8535475164333,2051.5872692590974,2129.364135115193
13,1590.325503826436,1720.720941028877,1791.613292334561,1851.2074361772704,1891.4133063875304,1938.3962388456816,1992.704591948925,2046.6943027954048,2178.6033442560715
14,1571.444264909791,1714.3872419599463,1781.2870968132474,1848.9147471553913,1892.777207069349,1948.5660611097412,2009.833822195018,2075.8607299891764,2226.1440902007053
15,1510.1301364563549,1651.4558388220953,1771.8340444384628,1846.2497058631295,1894.1362386979283,1951.6544788061583,2017.3186762525522,2105.5063358627176,2217.4974549528265
16,1374.9224377497806,1579.8824794051045,1749.6076252231692,1846.8757674239723,1894.5079473914363,1953.210994332441,2019.694217461208,2112.4438584867426,2272.8345602660825
17,1355.815697562334,1604.6393647173675,1757.9285196702824,1847.7245140436974,1895.8221335816968,1956.943790336403,2030.8577708297096,2117.243897339914,2242.231941563142
18,1342.482080269727,1524.946937476255,1747.17731032169,1841.9260953531598,1894.732831422813,1961.8576740224032,2050.9516246080198,2166.0712123088715,2320.949548749283
19,1308.7400429424013,1545.0351545314727,1726.6511718828901,1842.054874256348,1895.228381093139,1963.6876672023056,2059.7234866986482,2157.98451480283,2483.251950555373
20,1287.1145008003687,1488.5249836863884,1709.5545916398023,1836.8726075970135,1896.20600158737,1966.9202133631356,2064.901891524993,2235.6661019626167,2802.1822712175904
