step,q025,q050,q100,q250,q500,q750,q900,q950,q975
0,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37,1865.37
1,1834.7276112361508,1844.0100992736072,1850.9322068686888,1859.7753180118605,1868.5428915837024,1877.0804905909429,1886.606251178495,1891.8704235281723,1896.968831124073
2,1823.2154459199944,1836.8949817913526,1845.7393070388866,1858.5542271663298,1871.0849528605263,1883.5837440036366,1897.5324197246662,1907.5009425516125,1916.9229602729865
3,1814.2323181240622,1832.6700953937693,1843.5718885954664,1859.0415085900013,1874.6405796123522,1889.546592554577,1907.341412040979,1919.3177474401623,1930.3219748912215
4,1807.6716916651894,1822.875659622527,1839.331887165239,1858.9404564264996,1877.2202047588264,1895.45663647412,1914.851734110617,1927.8180776718602,1943.395158289849
5,1798.5319946955121,1815.6095855695503,1836.4999863404098,1858.0585518545308,1879.6756322580504,1900.7335154841305,1923.4557007157828,1939.0008856072725,1953.7022530118206
6,1792.3517223276212,1812.2720103550773,1834.2403892574082,1859.2310117278287,1881.1255664314644,1906.0163981462006,1931.966334902516,1950.8466655454629,1971.4871568130156
7,1783.9530396378661,1811.9147662046694,1830.5984464489943,1860.1418519467131,1883.9576306392737,1911.652001541768,1939.733213327527,1965.6615340153987,1991.7173550392042
8,1763.5457492913872,1805.9001339874508,1829.7617068083157,1858.667798163986,1888.6031132123169,1917.4428237178329,1947.2227783932644,1967.503893561737,1990.6809101399697
9,1752.8539016206169,1793.9360087670184,1823.3824710126955,1856.543178123715,1890.6966693180505,1921.6018102411463,1956.1586269471518,1981.2324084619156,2007.21045262497
10,1737.8631490099583,1778.0234474491942,1817.619264401713,1859.9321252526797,1892.8488760607456,1927.8159122769596,1965.7820480423502,1996.8503535420487,2034.2386445971874
11,1705.1121199556242,1773.548803504151,1817.2195857828342,1856.5308138663463,1897.2370114676758,1933.097059234003,1976.5739815060092,2008.880767961276,2043.506706552774
12,1709.4837707951388,1770.2613733058597,1808.5348124783723,1856.7911840153463,1896.5783457548207,1938.2624244574877,1983.9130761865822,2020.3959475048196,2074.3796367311265
13,1700.9365436906496,1767.5221713412147,1808.095995138589,1855.370874767427,1898.773480781962,1941.814295379954,1989.4186874118138,2024.9584840695818,2084.7234483835214
14,1684.4453660033018,1750.5394070461014,1796.037647679487,1856.1865427307205,1900.9448814585778,1949.1890303304,1994.472323604259,2037.023170087282,2101.314419878342
15,1645.84926819336,1741.700110538259,1796.6987228490646,1853.9836912757216,1903.5459319922556,1956.2218319862661,2006.1044758345504,2061.763629018872,2169.14203296679
16,1640.0728510080223,1728.8778758486314,1795.7965453505235,1852.91010437397,1903.40118043495,1957.694739318247,2019.3527918757034,2073.312959163924,2173.1064350947654
17,1648.5324133252202,1730.077920465327,1786.109010572935,1855.1522294326694,1905.3324577867697,1959.6727703843583,2026.4406154076203,2089.4568597454263,2170.2206293864992
18,1641.2590396853493,1715.083530698791,1778.411808875278,1854.2097779733024,1906.2486559082804,1964.8103957687988,2029.7728004799587,2098.4086759817624,2214.616142895206
19,1615.539325331785,1709.1609615734715,1775.5357251144317,1855.3248436790539,1906.768220164145,1971.0361278022685,2045.9531705600048,2112.922724523736,2318.342567934675
20,1579.665910741457,1682.8304624578248,1770.0694483556117,1856.2885113818797,1909.4081329564092,1979.4706004365908,2047.6803762940992,2137.20656814663,2315.8827006401443
21,1545.3392695632347,1653.6710786179483,1758.8111261478628,1855.0261592826032,1912.0847138527756,1986.7587950405052,2070.3287161203875,2182.6766873791535,2377.5937398090286
22,1553.6852757507186,1661.3237191592893,1756.6389833846572,1852.1292120174119,1913.9714412237527,1992.2336589521708,2084.1215945854633,2204.5644176093365,2461.4418607329035
23,1492.2300690006282,1637.6143995929515,1749.9739922650847,1850.6663101656752,1916.016150316692,1996.9944850883962,2087.6384515780915,2237.818722908005,2564.7316414356033
24,1490.8432652051788,1625.2070548170818,1739.3136506515912,1848.9267141111516,1914.267781354829,2000.3328112715153,2097.4604938220727,2270.875600062677,2606.6549992125897
25,1447.1374098902586,1617.21641377287,1739.7472479295648,1848.7739175972706,1917.9001625643787,2010.0777592753584,2108.6573854723174,2267.6141152651408,2692.5904520285585
26,1423.9819205871834,1594.7915793123184,1739.1147263636578,1843.8204661648888,1913.3554597284274,2006.9631360351545,2101.333920809954,2282.3846700317254,2663.052481894183
27,1366.830891509685,1552.1293131783937,1704.6232286943236,1840.5564258283318,1916.4279536882182,2012.0947062041084,2105.0202811278186,2278.9224840518864,2674.0034258410715
28,1262.8073269888926,1512.411595292359,1699.813563807434,1842.7897229423588,1916.097417711637,2011.9230243343077,2118.3836089784177,2330.0042694946014,2673.0848457360735
29,1176.3354598248925,1505.6369057552406,1689.7598027003378,1840.7140789792275,1918.437422681039,2018.3178790216468,2128.0799684785666,2375.469201786335,2773.818673724624
30,1211.6930644686738,1487.7211671797947,1665.5293373843997,1835.793113080874,1916.2764778580356,2024.5635191282336,2144.008727103438,2327.059198436314,2763.6679037877575
31,1152.895073600634,1454.9073714368137,1672.6850758046328,1832.63269375981,1919.6342444437905,2028.442201594474,2170.593508248397,2410.7605447606356,2960.9144902786966
32,1084.86747572869,1483.6519436459537,1664.9850432096698,1836.3129408194677,1924.1328066100796,2044.2895856320717,2183.518352596245,2482.3170282535143,3225.6947869671453
33,1121.1396956708788,1416.3754718998,1645.6442329877361,1836.26481651623,1924.8697557794162,2043.6813151645974,2172.9434104158067,2464.3875473553635,3067.0516238545165
34,1045.3610074674468,1360.5907423344263,1616.6933735665555,1827.4710427293514,1927.1706473870386,2044.9266760007663,2189.9617140494365,2431.833464929248,3064.594678761594
35,1043.639104478166,1291.6371398200915,1589.9735449731427,1825.266189608203,1924.1298914822005,2053.285675930889,2215.520323755141,2544.895625073389,3258.942007440769
36,895.6234498755434,1277.1107123576205,1577.9112677171508,1820.6221770558302,1924.7856600728294,2050.49952005023,2243.659381381367,2560.283919891423,3244.6320127871854
37,970.8590968636441,1222.45087925664,1555.4594499124953,1822.1858065041642,1927.7076494505363,2054.7652568088142,2275.686091291458,2601.8746144978736,3384.5437301212387
38,888.1179082666063,1233.724287694517,1527.3015418882185,1822.8741603045214,1926.0142321397666,2053.087512088386,2279.317604398712,2706.089050660246,3469.4267133191797
39,822.0909353811517,1184.5395073765103,1549.533859531926,1819.1319915421482,1926.5836797361833,2052.279437058209,2238.36661363318,2674.5025854532873,3666.671035361476
40,829.6322882938373,1236.069135172417,1509.3295621636667,1815.679014453181,1926.8368327798626,2061.3765188799484,2271.6201372435903,2669.9227502934114,3298.8186141885976
