feature,value,class,probability
ma_cross_200,0.0,Bull,0.21494169607577757
ma_cross_200,0.0,Sideway,0.3017079713593841
ma_cross_200,0.0,Bear,0.2615826803212616
ma_cross_200,0.0,Stress,0.22176765224357672
ma_cross_200,1.0,Bull,0.2034823198498812
ma_cross_200,1.0,Sideway,0.3187028279938505
ma_cross_200,1.0,Bear,0.2795804854908102
ma_cross_200,1.0,Stress,0.19823436666545813
ma_cross_100,0.0,Bull,0.20971060880310793
ma_cross_100,0.0,Sideway,0.3372357561525006
ma_cross_100,0.0,Bear,0.2665531596162504
ma_cross_100,0.0,Stress,0.186500475428141
ma_cross_100,1.0,Bull,0.2034823198498812
ma_cross_100,1.0,Sideway,0.3187028279938505
ma_cross_100,1.0,Bear,0.2795804854908102
ma_cross_100,1.0,Stress,0.19823436666545813
parkinson_volatility,0.0,Bull,0.19895838084161915
parkinson_volatility,0.0,Sideway,0.3042541250748851
parkinson_volatility,0.0,Bear,0.29557472455898237
parkinson_volatility,0.0,Stress,0.20121276952451342
parkinson_volatility,0.001250091067975163,Bull,0.19989322754743785
parkinson_volatility,0.001250091067975163,Sideway,0.30470740559463205
parkinson_volatility,0.001250091067975163,Bear,0.29402971464327765
parkinson_volatility,0.001250091067975163,Stress,0.20136965221465247
parkinson_volatility,0.0025753883944602406,Bull,0.2017779915373708
parkinson_volatility,0.0025753883944602406,Sideway,0.30592418264242316
parkinson_volatility,0.0025753883944602406,Bear,0.29022669213294705
parkinson_volatility,0.0025753883944602406,Stress,0.20207113368725893
parkinson_volatility,0.0040266569408860765,Bull,0.20231257396211524
parkinson_volatility,0.0040266569408860765,Sideway,0.30688008672143047
parkinson_volatility,0.0040266569408860765,Bear,0.28895976067646156
parkinson_volatility,0.0040266569408860765,Stress,0.2018475786399927
parkinson_volatility,0.004781384879396659,Bull,0.20317323395313855
parkinson_volatility,0.004781384879396659,Sideway,0.3094032691174277
parkinson_volatility,0.004781384879396659,Bear,0.2857565842837263
parkinson_volatility,0.004781384879396659,Stress,0.20166691264570746
parkinson_volatility,0.005277937392072881,Bull,0.20392685200614277
parkinson_volatility,0.005277937392072881,Sideway,0.3121226027293833
parkinson_volatility,0.005277937392072881,Bear,0.2832820790005922
parkinson_volatility,0.005277937392072881,Stress,0.20066846626388174
parkinson_volatility,0.005657823291659407,Bull,0.2045433938416507
parkinson_volatility,0.005657823291659407,Sideway,0.3134630787582089
parkinson_volatility,0.005657823291659407,Bear,0.2818619905843236
parkinson_volatility,0.005657823291659407,Stress,0.20013153681581677
parkinson_volatility,0.00617949107216993,Bull,0.2045433938416507
parkinson_volatility,0.00617949107216993,Sideway,0.3134630787582089
parkinson_volatility,0.00617949107216993,Bear,0.2818619905843236
parkinson_volatility,0.00617949107216993,Stress,0.20013153681581677
parkinson_volatility,0.006520856283402929,Bull,0.20457751698469648
parkinson_volatility,0.006520856283402929,Sideway,0.3142897648598491
parkinson_volatility,0.006520856283402929,Bear,0.2813555884173355
parkinson_volatility,0.006520856283402929,Stress,0.19977712973811895
parkinson_volatility,0.006861546906949591,Bull,0.20436281807062803
parkinson_volatility,0.006861546906949591,Sideway,0.31557703683655464
parkinson_volatility,0.006861546906949591,Bear,0.28074111009462066
parkinson_volatility,0.006861546906949591,Stress,0.19931903499819675
parkinson_volatility,0.0073007342873292426,Bull,0.2034823198498812
parkinson_volatility,0.0073007342873292426,Sideway,0.3187028279938505
parkinson_volatility,0.0073007342873292426,Bear,0.2795804854908102
parkinson_volatility,0.0073007342873292426,Stress,0.19823436666545813
