model,horizon,n_obs,accuracy,balanced_accuracy,macro_f1,mcc,recall_bear,recall_stress
MACD deterministic,20,1256,0.28105095541401276,0.23399607915443368,0.22451607390590564,-0.0015899276942350606,0.2,0.05472636815920398
MACD deterministic,40,1252,0.2507987220447284,0.20137202805938076,0.19167487922001936,-0.04178237625650764,0.14736842105263157,0.03111111111111111
MACD deterministic,60,1248,0.2764423076923077,0.2392274788197535,0.20958887818242972,-0.0020557887045886416,0.2571428571428571,0.012987012987012988
