horizon,expected_return,median_return,q01,q05,q25,q50,q75,q95,q99,prob_negative,prob_drawdown_gt_10pct,var_95,cvar_95,max_drawdown_mean
20,0.009110002771364329,0.01157284599209258,-0.11803535841133993,-0.07104565656831936,-0.02402706202654353,0.01157284599209258,0.041401795458134036,0.0876362885576586,0.12487626050302239,0.4041666666666667,0.034166666666666665,0.07104565656831936,0.09698757736045902,-0.04343364910289372
40,0.022144082928663943,0.021817759195121342,-0.1369829475763537,-0.09432588757447434,-0.023897445209783263,0.021817759195121342,0.06995417964764176,0.13614907312269608,0.18684429131415367,0.37583333333333335,0.11666666666666667,0.09432588757447434,0.1254346439907499,-0.06311307569624586
60,0.029489984246091172,0.028168837422674484,-0.18683638208876202,-0.1118947134872834,-0.031937486227806774,0.028168837422674484,0.09373683744947056,0.17261302874521905,0.22234050221948548,0.37416666666666665,0.245,0.1118947134872834,0.1545389543035933,-0.07892425955357124
