feature,importance
sma_slope_200,0.04479820106685106
sma_distance_200,0.0404742264073974
downside_vol_60,0.03984047518281779
downside_vol_40,0.03563334867059421
ema_distance_200,0.03187377494517815
upside_vol_60,0.03031543895432472
volatility_60,0.029020534908205924
drawdown_from_high_60,0.028277393977851475
parkinson_volatility,0.026305771903350973
volatility_40,0.026019708968925904
month,0.024762394469184285
upside_vol_40,0.0245932479239614
vol_of_vol_60,0.023936508400384526
sma_slope_100,0.022137855642800144
ewma_volatility,0.02104702048367707
macd_signal,0.020075250979869157
drawdown_from_high_40,0.019894270390752977
log_volume,0.019776808341471316
sma_distance_100,0.019570965087424976
vol_of_vol_20,0.017781541098405986
downside_vol_20,0.015134177436317538
atr_14,0.014786824779197875
vol_of_vol_40,0.014569444424198712
distance_from_low_60,0.014159237688576614
hmm_state_duration,0.013974944763718801
ema_slope_50,0.013961376834473066
upside_vol_20,0.013607144219691952
volatility_20,0.01337706992472542
sma_distance_50,0.013254487024424836
macd,0.013160968850082461
