feature,importance
sma_slope_200,0.29814517409930824
downside_vol_60,0.2510083568067719
sma_distance_100,0.16315603402904114
sma_slope_100,0.15926849736291165
macd_signal,0.12989248874585976
up_ratio_60,0.12700915825860778
downside_vol_40,0.12653897595724672
vol_of_vol_60,0.11400551753836366
parkinson_volatility,0.1119109038111314
hmm_state_duration,0.11175944472261236
ma_cross_200,0.09964372114123918
drawdown_from_high_60,0.09390697298699492
volatility_60 & upside_vol_60,0.09080444887102873
vol_of_vol_20,0.08986454759730325
distance_from_low_60,0.08963264002849249
upside_vol_60,0.08724082900111776
ma_cross_200 & volatility_40,0.08649697919768562
log_return_60,0.08588461374237452
macd,0.08513798651998164
sma_distance_200,0.08229968748135458
month,0.07683672990415442
upside_vol_40,0.07189136659278605
vol_of_vol_20 & upside_vol_60,0.0703479215518598
sma_distance_50,0.0677371706441375
hmm_expected_return,0.06732738672860512
bollinger_bandwidth,0.06689516848356349
ma_cross_100,0.06587675155595953
log_volume,0.06520701552696138
sma_slope_100 & vol_of_vol_20,0.0641698202530182
vol_of_vol_40,0.06116345791353677
