parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.00011934262500782895,0.00022431384578111438,-0.0003297855289724035,0.00012019630511045929,0.0005828063733731
mu,1,hmm_prob_state_1,0.0003916438737353294,0.00028135621192521096,-0.0001789747773109404,0.0003928887353888027,0.0009299975927194324
mu,2,hmm_prob_state_2,0.0005750570192711254,0.00040351807073191816,-0.00021390806849699845,0.000575189956020531,0.0013149602470296732
mu,3,hmm_prob_state_3,0.001688724285339998,0.0007082501203136563,0.00027273349220298507,0.0016943279452323007,0.0030858588107034405
c,0,hmm_prob_state_0,0.7795428690314293,0.024338196678475633,0.7307661131024361,0.7790045142173767,0.8287742540240287
c,1,hmm_prob_state_1,0.8651786337296168,0.02506389898806028,0.8169045552611351,0.8647255301475525,0.9135636433959007
c,2,hmm_prob_state_2,0.8663779688378175,0.026827440475418438,0.8150786846876145,0.8663341403007507,0.9190386027097701
c,3,hmm_prob_state_3,0.9447229688862959,0.03228663165500942,0.8837216958403588,0.9441975355148315,1.0082897871732712
nu,0,hmm_prob_state_0,7.633345086574554,0.714949827112268,6.346326339244842,7.584712266921997,9.096243333816524
nu,1,hmm_prob_state_1,7.633345086574554,0.714949827112268,6.346326339244842,7.584712266921997,9.096243333816524
nu,2,hmm_prob_state_2,7.633345086574554,0.714949827112268,6.346326339244842,7.584712266921997,9.096243333816524
nu,3,hmm_prob_state_3,7.633345086574554,0.714949827112268,6.346326339244842,7.584712266921997,9.096243333816524
