,mu_0,mu_1,mu_2,mu_3,c_0,c_1,c_2,c_3,nu_0,nu_1,nu_2,nu_3
mu_0,1.0,0.01737917124413458,0.005992848179829907,0.058872231798818814,0.169558368957809,-0.17967416108977846,-0.0127728643457379,-0.054569946284199346,0.010061739034543021,0.010061739034543021,0.010061739034543021,0.010061739034543021
mu_1,0.01737917124413458,1.0,0.1252646360972383,0.1648933152718739,0.015315675957995455,-0.008804590849631817,0.1312756571736772,-0.003910588435998293,-0.06584111847251195,-0.06584111847251195,-0.06584111847251195,-0.06584111847251195
mu_2,0.005992848179829907,0.1252646360972383,1.0,-0.05482206092126464,-0.05412283722342062,-0.02735903622649002,0.05383518339366352,0.19324024795370884,-0.07298253471943571,-0.07298253471943571,-0.07298253471943571,-0.07298253471943571
mu_3,0.058872231798818814,0.1648933152718739,-0.05482206092126464,1.0,-0.036733650825281315,0.05055742390752609,0.007639738917699196,-0.15371260049736094,-0.007531895874946868,-0.007531895874946868,-0.007531895874946868,-0.007531895874946868
c_0,0.169558368957809,0.015315675957995455,-0.05412283722342062,-0.036733650825281315,1.0,0.01874169932444057,0.0859870166207535,-0.0748273684443747,0.33852769618430084,0.33852769618430084,0.33852769618430084,0.33852769618430084
c_1,-0.17967416108977846,-0.008804590849631817,-0.02735903622649002,0.05055742390752609,0.01874169932444057,1.0,0.15974201084900733,-0.14775583269677864,0.24908386341835753,0.24908386341835753,0.24908386341835753,0.24908386341835753
c_2,-0.0127728643457379,0.1312756571736772,0.05383518339366352,0.007639738917699196,0.0859870166207535,0.15974201084900733,1.0,0.005455596222611017,0.32451154608849964,0.32451154608849964,0.32451154608849964,0.32451154608849964
c_3,-0.054569946284199346,-0.003910588435998293,0.19324024795370884,-0.15371260049736094,-0.0748273684443747,-0.14775583269677864,0.005455596222611017,1.0,0.2214797093446466,0.2214797093446466,0.2214797093446466,0.2214797093446466
nu_0,0.010061739034543021,-0.06584111847251195,-0.07298253471943571,-0.007531895874946868,0.33852769618430084,0.24908386341835753,0.32451154608849964,0.2214797093446466,1.0,1.0,1.0,1.0
nu_1,0.010061739034543021,-0.06584111847251195,-0.07298253471943571,-0.007531895874946868,0.33852769618430084,0.24908386341835753,0.32451154608849964,0.2214797093446466,1.0,1.0,1.0,1.0
nu_2,0.010061739034543021,-0.06584111847251195,-0.07298253471943571,-0.007531895874946868,0.33852769618430084,0.24908386341835753,0.32451154608849964,0.2214797093446466,1.0,1.0,1.0,1.0
nu_3,0.010061739034543021,-0.06584111847251195,-0.07298253471943571,-0.007531895874946868,0.33852769618430084,0.24908386341835753,0.32451154608849964,0.2214797093446466,1.0,1.0,1.0,1.0
