horizon,expected_return,median_return,q01,q05,q25,q50,q75,q95,q99,prob_positive,prob_negative,prob_drawdown_gt_5pct,prob_drawdown_gt_10pct,prob_drawdown_gt_15pct,prob_drawdown_gt_20pct,var_95,cvar_95,var_99,cvar_99,max_drawdown_mean,max_drawdown_q05,max_drawdown_q50,time_under_water_mean,first_passage_below_10pct,ess,ess_fraction,tempering_power,student_t_nu,scenario_mode,dominant_terminal_state,proposal_class_probabilities,prediction_runtime_seconds,experiment_peak_memory_bytes
20,0.028602176414723554,0.021950864556859063,-0.28050664743990056,-0.10028081225678619,-0.008427818915857964,0.021950864556859063,0.05616202773361414,0.13934296276304836,0.6323672774146821,0.7040000000000002,0.29600000000000004,0.28400000000000003,0.134,0.08600000000000001,0.07,0.10028081225678619,0.23883277244085463,0.28050664743990056,0.5591213074362642,-0.058380675086463475,-0.26320309958366095,-0.02897533888765569,13.540000000000003,0.134,500.0,1.0,1.0,6.652834013510145,point_estimate,0,0.47400000;0.17400000;0.22800000;0.12400000,0.04565679997904226,1668389
20,0.013955028668614523,0.015982096626282666,-0.12818057026757088,-0.06788304633986823,-0.012545129998333395,0.015982096626282666,0.043562456834033876,0.0821582719863836,0.10270184321803241,0.6400000000000001,0.3600000000000001,0.2560000000000001,0.04200000000000001,0.002,0.0,0.06788304633986823,0.0999066109251322,0.12818057026757088,0.14992408540575977,-0.03708947312270051,-0.09441320120920405,-0.029618058958358118,14.104000000000003,0.04200000000000001,500.0,1.0,1.0,10.20142986737355,posterior_mean_mc,0,0.48000000;0.17800000;0.23000000;0.11200000,0.056998200016096234,1668389
20,0.01710216749056634,0.015536729280247942,-0.24822603897979642,-0.14816573979070813,-0.04863792614440749,0.015536729280247942,0.08305853382102717,0.17992261096000647,0.2742590065157734,0.5700000000000001,0.43000000000000016,0.3900000000000001,0.14400000000000002,0.07400000000000001,0.04200000000000001,0.14816573979070813,0.21268047834488998,0.24822603897979642,0.30074642609703645,-0.0547924475617574,-0.17783658278513492,-0.03654059101449081,13.240000000000002,0.14400000000000002,500.0,1.0,1.0,10.201429867373554,variational_posterior,0,0.49200000;0.16000000;0.22400000;0.12400000,0.04967079998459667,1668389
40,0.056665122785109205,0.04751977459634684,-0.937425090106386,-0.3554078238107676,-0.003195455986149837,0.04751977459634684,0.10058268092267779,0.47701917783476366,1.0630623009478584,0.7380000000000002,0.262,0.5120000000000002,0.3420000000000001,0.2560000000000001,0.20400000000000007,0.3554078238107676,0.7375575719649926,0.937425090106386,1.3601842329404552,-0.1319999255136735,-0.5734294243304845,-0.05197335202954423,29.052000000000003,0.3420000000000001,500.0,1.0,1.0,6.652834013510145,point_estimate,0,0.33600000;0.28000000;0.21200000;0.17200000,0.06434430001536384,1668389
40,0.04482162185844612,0.045137993752222445,-0.20402148781600188,-0.104247413366765,-0.005351704948415644,0.045137993752222445,0.09897932450988409,0.18362162875444216,0.27066394574453617,0.7240000000000002,0.276,0.548,0.20400000000000007,0.06000000000000001,0.022000000000000006,0.104247413366765,0.15052127986041752,0.20402148781600188,0.233017577890569,-0.0669025220171166,-0.16448301099631712,-0.05474416252814529,29.554000000000002,0.20400000000000007,500.0,1.0,1.0,10.36120546272818,posterior_mean_mc,0,0.34800000;0.26600000;0.21600000;0.17000000,0.07866370002739131,1668389
40,0.0344461104867768,0.0413800114797322,-0.8150464261694199,-0.31414920501781785,-0.07705169618349479,0.0413800114797322,0.17545291652178183,0.3524657215128868,0.5098315348074883,0.5900000000000001,0.41000000000000014,0.6120000000000001,0.40800000000000014,0.2540000000000001,0.17400000000000004,0.31414920501781785,0.6169792702401922,0.8150464261694199,1.1851639129878688,-0.11950439824462739,-0.4109786494188198,-0.07255189733010226,27.684000000000005,0.40800000000000014,500.0,1.0,1.0,10.361205462728183,variational_posterior,0,0.33400000;0.26600000;0.23200000;0.16800000,0.07733850000659004,1668389
60,0.05193094911866017,0.03663551472436821,-2.147980082494729,-0.6359943947350918,-0.05395730734128262,0.03663551472436821,0.14826328381550838,0.8647339742763369,1.819580302374929,0.6420000000000001,0.3580000000000001,0.7360000000000002,0.5360000000000001,0.42600000000000016,0.32800000000000007,0.6359943947350918,1.4146538408828409,2.147980082494729,2.6329676807430817,-0.21441243227664214,-0.7768698398515701,-0.11189981627018997,46.61800000000001,0.5360000000000001,500.0,1.0,1.0,6.652834013510145,point_estimate,0,0.31800000;0.25600000;0.25000000;0.17600000,0.08784439996816218,1668389
60,0.043644373021104785,0.04365458880463396,-0.39034802942417046,-0.16025466007287886,-0.026121472425355997,0.04365458880463396,0.1205425963388374,0.23334563247334894,0.3748157893185083,0.6800000000000002,0.32000000000000006,0.7640000000000002,0.3540000000000001,0.15800000000000003,0.08600000000000001,0.16025466007287886,0.27183476146232705,0.39034802942417046,0.4277800944208884,-0.09870552960473493,-0.2531049081316413,-0.08142656684447258,47.77000000000001,0.3540000000000001,500.0,1.0,1.0,10.351676349518605,posterior_mean_mc,0,0.30600000;0.25600000;0.22200000;0.21600000,0.12197300000116229,1668389
60,0.05044629302448016,0.046256067238787384,-1.2263601662825254,-0.4430708686113134,-0.12002016140428218,0.046256067238787384,0.2355136297107589,0.5427105235220706,1.155840237547961,0.5700000000000001,0.43000000000000016,0.7280000000000002,0.562,0.41600000000000015,0.29800000000000004,0.4430708686113134,0.8503775302749835,1.2263601662825254,1.7642790449711536,-0.16950761875985831,-0.5441545415070617,-0.12611235417739886,44.394000000000005,0.562,500.0,1.0,1.0,10.351676349518609,variational_posterior,0,0.33200000;0.24200000;0.22800000;0.19800000,0.11597729998175055,1668389
