feature,importance
parkinson_volatility,0.02784714711468786
ma_cross_200,0.02759242377908515
log_volume,0.026652820461773
egarch_volatility_percentile,0.024827830553047155
sma_slope_200,0.020730705734614226
ma_cross_100,0.020285097905946646
hl_range,0.01953370628429511
volatility_40,0.01894500241627121
upside_vol_20,0.01882602766456626
lower_shadow,0.01857257470678146
upside_vol_40,0.018464868038533172
ma_cross_5,0.018064718133412084
distance_from_low_60,0.017969425279517667
drawdown_from_high_60,0.01689461795408525
distance_from_low_40,0.01639181513096923
upside_vol_10,0.01598497207590112
month,0.015953071646760495
drawdown_from_high_40,0.015892531086584803
downside_vol_40,0.015793805796279047
vol_of_vol_60,0.015410267319961953
ewma_volatility,0.015144890022825742
volatility_20,0.014972201246340288
sma_distance_200,0.014246008131638151
quarter,0.014043324317274978
hmm_prob_state_0,0.014004231959727512
downside_vol_60,0.013999562011585387
ma_cross_20,0.013771881009313446
vol_of_vol_40,0.013528322224879118
atr_14,0.012672821577849732
sma_slope_20,0.012241190450381582
