horizon,n_obs,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,brier,log_loss,ece,recall_bull,recall_sideway,recall_bear,recall_stress,configuration
20,1256,0.39171974522292996,0.3114611365794475,0.30803658165887204,0.3114611365794475,0.30357508708709047,0.37438366657347605,0.10979814625577985,0.7178958106974371,1.3260348862598006,0.04851245646060446,0.3368869936034115,0.6208425720620843,0.05925925925925926,0.22885572139303484,technical features only
20,1256,0.3861464968152866,0.3068914131345875,0.30617770620835916,0.3068914131345875,0.30074014809386973,0.37225356939807464,0.10623833432773581,0.7191359528735318,1.3285592262506383,0.03651774641375789,0.3368869936034115,0.6075388026607539,0.05925925925925926,0.22388059701492538,technical + HMM
20,1256,0.39012738853503187,0.3061444966068191,0.3020027499930731,0.3061444966068191,0.29881979600426956,0.3738634089152649,0.1054357779520601,0.7181717380204415,1.326122169567848,0.04554356106715572,0.3603411513859275,0.6008869179600886,0.044444444444444446,0.21890547263681592,technical + EGARCH
20,1256,0.3893312101910828,0.3117638762160058,0.31164544173616937,0.3117638762160058,0.3056851828524016,0.37479742507975594,0.10932480024256688,0.7186342529188784,1.3275949178027389,0.036921916587123106,0.3390191897654584,0.6075388026607539,0.06666666666666667,0.23383084577114427,technical + HMM + EGARCH
20,1256,0.3893312101910828,0.3117638762160058,0.31164544173616937,0.3117638762160058,0.3056851828524016,0.37479742507975594,0.10932480024256688,0.7287013572766147,1.3451101375707164,0.08942312200767723,0.3390191897654584,0.6075388026607539,0.06666666666666667,0.23383084577114427,technical + HMM + EGARCH + calibration
20,1256,0.3893312101910828,0.3117638762160058,0.31164544173616937,0.3117638762160058,0.3056851828524016,0.37479742507975594,0.10932480024256688,0.7287013572766147,1.3451101375707164,0.08942312200767723,0.3390191897654584,0.6075388026607539,0.06666666666666667,0.23383084577114427,full RAEMF-MC + Monte Carlo
20,1256,0.37977707006369427,0.3171818292131361,0.3118616166074819,0.3171818292131361,0.3110131970287438,0.37134716934674916,0.09907963635508377,0.7220838275080425,1.3328587103553364,0.039033526367004835,0.373134328358209,0.5055432372505543,0.06666666666666667,0.32338308457711445,XGBoost technical only
20,1256,0.4156050955414013,0.34357431860162113,0.33820563775335044,0.34357431860162113,0.32788935626880006,0.39473277070675383,0.15562237203422616,0.7201633056762674,1.3290865918847323,0.08942253881508379,0.31343283582089554,0.6607538802660754,0.05185185185185185,0.3482587064676617,Random Forest technical only
20,1256,0.3765923566878981,0.254366038039136,0.18047410029340621,0.254366038039136,0.1990495279968964,0.293397948736534,0.013303273981779556,0.7274265578414937,1.3556548740356327,0.06570523285473567,0.7846481876332623,0.2328159645232816,0.0,0.0,MACD probabilistic
40,1252,0.4033546325878594,0.292022376822077,0.28670945791902336,0.292022376822077,0.28548325929231777,0.3884970771509173,0.11415809647476803,0.7271276216106854,1.3428837230613544,0.06609354861886436,0.39278131634819535,0.6225596529284165,0.010526315789473684,0.14222222222222222,technical features only
