horizon,feature,status,reason
60,upper_shadow,selected,
60,lower_shadow,selected,
60,atr_14,selected,
60,parkinson_volatility,selected,
60,log_volume,selected,
60,volume_change,selected,
60,volume_zscore,selected,
60,volume_ratio_20,selected,
60,return_volume_interaction,selected,
60,obv_zscore,selected,
60,month,selected,
60,quarter,selected,
60,day_of_week,selected,
60,is_month_start,selected,
60,is_month_end,selected,
60,hmm_prob_state_0,selected,
60,hmm_prob_state_1,selected,
60,hmm_prob_state_2,selected,
60,hmm_prob_state_3,selected,
60,hmm_entropy,selected,
60,hmm_expected_return,selected,
60,hmm_expected_volatility,selected,
60,hmm_state_duration,selected,
60,egarch_sigma,selected,
60,egarch_log_variance,selected,
60,egarch_standardized_residual,selected,
60,egarch_negative_shock,selected,
60,egarch_volatility_percentile,selected,
60,egarch_volatility_change,selected,
60,egarch_tail_risk_score,selected,
60,rolling_return_2,removed,abs_corr_gt_0.98
60,rolling_return_5,removed,abs_corr_gt_0.98
60,rolling_return_10,removed,abs_corr_gt_0.98
60,rolling_return_20,removed,abs_corr_gt_0.98
60,rolling_return_40,removed,abs_corr_gt_0.98
60,rolling_return_60,removed,abs_corr_gt_0.98
60,ema_slope_5,removed,abs_corr_gt_0.98
60,ema_distance_10,removed,abs_corr_gt_0.98
60,ema_distance_20,removed,abs_corr_gt_0.98
60,ema_distance_50,removed,abs_corr_gt_0.98
60,ema_distance_100,removed,abs_corr_gt_0.98
60,ema_slope_100,removed,abs_corr_gt_0.98
60,ema_slope_200,removed,abs_corr_gt_0.98
