model,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,turnover,total_transaction_cost,hit_rate,average_exposure,time_in_market,state_changes
RAEMF-MC,0.1758561119885318,0.03250248012445679,0.08263825371883399,0.3933103455337076,0.4566797028294358,0.17079297369434127,-0.19030337970825828,21.577513928362993,0.021577513928362994,0.554140127388535,0.43055495571030106,0.9992038216560509,1255
XGBoost (full features),0.16520332980118635,0.030676506496290633,0.0867732112933791,0.35352508036810765,0.40275394717002716,0.15559983740542427,-0.19714999069286454,11.934235421447413,0.011934235421447413,0.5549363057324841,0.4323017763351738,0.9992038216560509,1255
Random Forest (full features),0.16533544703350178,0.030699254538810544,0.08430674352333534,0.36413759155948505,0.41618039613939267,0.16118585626886467,-0.19045873657551515,10.06902575015361,0.010069025750153608,0.5549363057324841,0.4322882799191293,0.9992038216560509,1255
MACD probabilistic,0.2099300339830268,0.03823388436715009,0.1167825405317276,0.32739383980743825,0.37518048141694876,0.13803375775197468,-0.2769893755689131,7.871437544160366,0.007871437544160365,0.5557324840764332,0.6020668101183779,0.9992038216560509,207
MACD deterministic,0.4188883553535361,0.07019759283803478,0.11366243094991264,0.617597144908581,0.6614846216740053,0.3233646621946575,-0.2170849231378832,79.94999999999999,0.07995,0.4928343949044586,0.5674363057324842,0.9044585987261147,207
Buy-and-Hold,0.41533564851815097,0.06969459476164067,0.19688934815022816,0.35397849307959073,0.40715869463892046,0.17275539058945785,-0.403429348999392,1.0,0.001,0.5565286624203821,0.9992038216560509,0.9992038216560509,1
Cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
