horizon,benchmark,metric,metric_diff_mean,ci_low,ci_high,direction,replicates
20,XGBoost (full features),brier,0.001728366475169992,-0.008005321262329937,0.01252106514700069,lower_is_better,120
20,XGBoost (full features),log_loss,0.002979322324558479,-0.016404953601691207,0.023294925582509687,lower_is_better,120
20,XGBoost (full features),macro_f1,-0.03615835804729161,-0.10628110533253399,0.038489683149968285,higher_is_better,120
20,XGBoost (full features),recall_bear,-0.020219313866543593,-0.14177071772105068,0.09470390435269929,higher_is_better,120
20,XGBoost (full features),recall_stress,-0.13287258193201643,-0.3464165512834168,0.07605809926894926,higher_is_better,120
20,Random Forest (full features),brier,0.001320683975367104,-0.006932441883596288,0.007784227261144235,lower_is_better,120
20,Random Forest (full features),log_loss,0.002585936904400247,-0.014273765821515011,0.015164473671026659,lower_is_better,120
20,Random Forest (full features),macro_f1,-0.052566337265714386,-0.11101366341763431,-0.00048015559176491063,higher_is_better,120
20,Random Forest (full features),recall_bear,0.009739504107725472,-0.06944137931034483,0.10337260677466853,higher_is_better,120
20,Random Forest (full features),recall_stress,-0.15362510682769223,-0.33701553978927307,0.016942075337597565,higher_is_better,120
20,MACD probabilistic,brier,-0.003018825722976807,-0.040134572547604205,0.046907065346114205,lower_is_better,120
20,MACD probabilistic,log_loss,-0.018614963617563266,-0.10104050756091829,0.0830463382276249,lower_is_better,120
20,MACD probabilistic,macro_f1,0.10710269426453621,0.05316442628331042,0.16286344331947106,higher_is_better,120
20,MACD probabilistic,recall_bear,0.06633939962534012,0.011607142857142858,0.18133831521739127,higher_is_better,120
20,MACD probabilistic,recall_stress,0.2333267386765356,0.1349658361231546,0.3473022428149341,higher_is_better,120
40,XGBoost (full features),brier,-0.0027507974236354927,-0.021981025130422015,0.01944554306900593,lower_is_better,120
40,XGBoost (full features),log_loss,-0.001207741919639954,-0.038706196800721585,0.03746582428883109,lower_is_better,120
40,XGBoost (full features),macro_f1,0.03124720263054158,-0.0333507768978653,0.09957659860555776,higher_is_better,120
40,XGBoost (full features),recall_bear,0.03269101048610752,-0.027101351351351353,0.11671723300970867,higher_is_better,120
40,XGBoost (full features),recall_stress,-0.16146872668928774,-0.27962052962052963,-0.04093426760093435,higher_is_better,120
40,Random Forest (full features),brier,-0.006997837856542493,-0.018794932217506007,0.005663137945854617,lower_is_better,120
40,Random Forest (full features),log_loss,-0.013688520715937397,-0.04022384444653213,0.012166437163594442,lower_is_better,120
40,Random Forest (full features),macro_f1,0.038617217722400336,-0.00041092358783012046,0.07979810504376819,higher_is_better,120
40,Random Forest (full features),recall_bear,-0.03602762299064786,-0.1560736541457504,0.07480201035638129,higher_is_better,120
40,Random Forest (full features),recall_stress,0.07516889676668521,0.011546365914786968,0.15665821179454661,higher_is_better,120
40,MACD probabilistic,brier,0.006487634821644396,-0.03524609078202948,0.04674311272258011,lower_is_better,120
40,MACD probabilistic,log_loss,0.003734604346346428,-0.09230652344610035,0.09353283066869214,lower_is_better,120
40,MACD probabilistic,macro_f1,0.1630650594216352,0.10566843677430292,0.2214983615853609,higher_is_better,120
40,MACD probabilistic,recall_bear,0.0704387044560528,0.022142857142857145,0.13094749794913846,higher_is_better,120
40,MACD probabilistic,recall_stress,0.14184982548235445,0.044274193548387096,0.2671550324675324,higher_is_better,120
60,XGBoost (full features),brier,-0.013041164500451782,-0.030631114783124365,0.0057520913406885485,lower_is_better,120
60,XGBoost (full features),log_loss,-0.0208211658035912,-0.05283403078022485,0.015967931364671527,lower_is_better,120
60,XGBoost (full features),macro_f1,0.04442462466869011,-0.014015492123559804,0.11233156804104563,higher_is_better,120
60,XGBoost (full features),recall_bear,2.5932171788434964e-05,-0.03848039215686275,0.04168133802816901,higher_is_better,120
60,XGBoost (full features),recall_stress,-0.15997489638713588,-0.32277580772261627,0.027203785075547333,higher_is_better,120
60,Random Forest (full features),brier,-0.012936661203546347,-0.029278070992215258,0.0032679241085195425,lower_is_better,120
60,Random Forest (full features),log_loss,-0.023773930509983932,-0.05592689621730702,0.009592529520528076,lower_is_better,120
60,Random Forest (full features),macro_f1,0.060588345713199265,0.029319250237629553,0.09659873855071856,higher_is_better,120
60,Random Forest (full features),recall_bear,0.014612114722996125,-0.02784090909090909,0.06454796264855686,higher_is_better,120
60,Random Forest (full features),recall_stress,0.03142358161250959,-0.04264598972070063,0.09792553191489357,higher_is_better,120
60,MACD probabilistic,brier,0.018503128754311333,-0.03471093010171246,0.07255379362373124,lower_is_better,120
60,MACD probabilistic,log_loss,0.04994203677820324,-0.04726746237884474,0.1459084374723981,lower_is_better,120
60,MACD probabilistic,macro_f1,0.14636862652102825,0.09642017910011229,0.21667220472647558,higher_is_better,120
60,MACD probabilistic,recall_bear,0.031643390410661866,0.0,0.07841068097014915,higher_is_better,120
60,MACD probabilistic,recall_stress,0.20269265991624685,0.06925337320906941,0.379476709013914,higher_is_better,120
