feature,value,class,probability
ma_cross_100,0.0,Bull,0.18983251749582922
ma_cross_100,0.0,Sideway,0.3672023254627102
ma_cross_100,0.0,Bear,0.24904190298357992
ma_cross_100,0.0,Stress,0.1939232540578807
ma_cross_100,1.0,Bull,0.1783274392378416
ma_cross_100,1.0,Sideway,0.3329797062038708
ma_cross_100,1.0,Bear,0.2865213096811309
ma_cross_100,1.0,Stress,0.20217154487715677
upside_vol_40,0.0027910724933137175,Bull,0.18732262535730534
upside_vol_40,0.0027910724933137175,Sideway,0.31599478599379727
upside_vol_40,0.0027910724933137175,Bear,0.2820229008542972
upside_vol_40,0.0027910724933137175,Stress,0.21465968779460018
upside_vol_40,0.0033518810924954073,Bull,0.18733072124754158
upside_vol_40,0.0033518810924954073,Sideway,0.3169384612581875
upside_vol_40,0.0033518810924954073,Bear,0.2810262416970068
upside_vol_40,0.0033518810924954073,Stress,0.21470457579726404
upside_vol_40,0.003703886532067525,Bull,0.18733072124754158
upside_vol_40,0.003703886532067525,Sideway,0.3169384612581875
upside_vol_40,0.003703886532067525,Bear,0.2810262416970068
upside_vol_40,0.003703886532067525,Stress,0.21470457579726404
upside_vol_40,0.0040874668401892494,Bull,0.1863091146717518
upside_vol_40,0.0040874668401892494,Sideway,0.3186076366579831
upside_vol_40,0.0040874668401892494,Bear,0.28133493561384565
upside_vol_40,0.0040874668401892494,Stress,0.2137483130564195
upside_vol_40,0.004375564442205904,Bull,0.18420344325493734
upside_vol_40,0.004375564442205904,Sideway,0.3207089268930897
upside_vol_40,0.004375564442205904,Bear,0.2834722122875261
upside_vol_40,0.004375564442205904,Stress,0.21161541756444696
upside_vol_40,0.004769762332456522,Bull,0.18265202463721206
upside_vol_40,0.004769762332456522,Sideway,0.32154255888813943
upside_vol_40,0.004769762332456522,Bear,0.28460057547539924
upside_vol_40,0.004769762332456522,Stress,0.2112048409992492
upside_vol_40,0.005027019370660671,Bull,0.18265202463721206
upside_vol_40,0.005027019370660671,Sideway,0.32154255888813943
upside_vol_40,0.005027019370660671,Bear,0.28460057547539924
upside_vol_40,0.005027019370660671,Stress,0.2112048409992492
upside_vol_40,0.005356662506062367,Bull,0.18096659510061677
upside_vol_40,0.005356662506062367,Sideway,0.3239931489204322
upside_vol_40,0.005356662506062367,Bear,0.2853377149791187
upside_vol_40,0.005356662506062367,Stress,0.20970254099983235
upside_vol_40,0.0056434658352791925,Bull,0.17962954124775604
upside_vol_40,0.0056434658352791925,Sideway,0.3270825831568325
upside_vol_40,0.0056434658352791925,Bear,0.2859994004932095
upside_vol_40,0.0056434658352791925,Stress,0.20728847510220208
upside_vol_40,0.005939540481060872,Bull,0.17878989333737275
upside_vol_40,0.005939540481060872,Sideway,0.3306291260778789
upside_vol_40,0.005939540481060872,Bear,0.2859082935909068
upside_vol_40,0.005939540481060872,Stress,0.2046726869938415
upside_vol_40,0.006204161483816306,Bull,0.1783274392378416
upside_vol_40,0.006204161483816306,Sideway,0.3329797062038708
upside_vol_40,0.006204161483816306,Bear,0.2865213096811309
upside_vol_40,0.006204161483816306,Stress,0.20217154487715677
upside_vol_40,0.006633187630859652,Bull,0.17771578008568553
upside_vol_40,0.006633187630859652,Sideway,0.3346296879990604
upside_vol_40,0.006633187630859652,Bear,0.28705087018983616
upside_vol_40,0.006633187630859652,Stress,0.200603661725418
upside_vol_40,0.007088619919595577,Bull,0.1776414077878093
upside_vol_40,0.007088619919595577,Sideway,0.33495539235650373
upside_vol_40,0.007088619919595577,Bear,0.2875508552924326
upside_vol_40,0.007088619919595577,Stress,0.19985234456325443
upside_vol_40,0.007386184908565972,Bull,0.17744026028585033
upside_vol_40,0.007386184908565972,Sideway,0.3351507990880368
upside_vol_40,0.007386184908565972,Bear,0.2885408348494662
upside_vol_40,0.007386184908565972,Stress,0.19886810577664668
upside_vol_40,0.007816141331089458,Bull,0.17683268278040978
upside_vol_40,0.007816141331089458,Sideway,0.3355634927439477
upside_vol_40,0.007816141331089458,Bear,0.2898014980136593
upside_vol_40,0.007816141331089458,Stress,0.19780232646198326
upside_vol_40,0.008189863713710655,Bull,0.17585577128118005
upside_vol_40,0.008189863713710655,Sideway,0.33564525239494025
upside_vol_40,0.008189863713710655,Bear,0.2921674499332837
upside_vol_40,0.008189863713710655,Stress,0.19633152639059592
upside_vol_40,0.008954207178048061,Bull,0.1741445216284172
upside_vol_40,0.008954207178048061,Sideway,0.3351782897521738
upside_vol_40,0.008954207178048061,Bear,0.29478555745813656
upside_vol_40,0.008954207178048061,Stress,0.19589163116127234
upside_vol_40,0.009767657211955745,Bull,0.173257785758872
upside_vol_40,0.009767657211955745,Sideway,0.33523850253960846
upside_vol_40,0.009767657211955745,Bear,0.2959923623903599
upside_vol_40,0.009767657211955745,Stress,0.19551134931115952
upside_vol_40,0.011019592276825724,Bull,0.1725158476855446
upside_vol_40,0.011019592276825724,Sideway,0.33597778621051894
upside_vol_40,0.011019592276825724,Bear,0.296815229239414
upside_vol_40,0.011019592276825724,Stress,0.1946911368645224
upside_vol_40,0.012478375955775849,Bull,0.17101437211519313
upside_vol_40,0.012478375955775849,Sideway,0.33968892317756477
upside_vol_40,0.012478375955775849,Bear,0.2954201919239093
upside_vol_40,0.012478375955775849,Stress,0.19387651278333284
upside_vol_40,0.014184955666182202,Bull,0.16854650704880714
upside_vol_40,0.014184955666182202,Sideway,0.3401118557225116
upside_vol_40,0.014184955666182202,Bear,0.298539128617707
upside_vol_40,0.014184955666182202,Stress,0.19280250861097425
log_volume,11.432311085821977,Bull,0.17074492189732762
log_volume,11.432311085821977,Sideway,0.31907440039314067
log_volume,11.432311085821977,Bear,0.3054597664399791
log_volume,11.432311085821977,Stress,0.20472091126955272
log_volume,12.10543218742494,Bull,0.17171670339304043
log_volume,12.10543218742494,Sideway,0.3223114670190418
log_volume,12.10543218742494,Bear,0.30283118347407134
log_volume,12.10543218742494,Stress,0.2031406461138465
log_volume,13.201986584138947,Bull,0.17312443055736992
log_volume,13.201986584138947,Sideway,0.32539382684250123
log_volume,13.201986584138947,Bear,0.2994092538198908
log_volume,13.201986584138947,Stress,0.20207248878023812
log_volume,14.293371034685231,Bull,0.17428338285526088
log_volume,14.293371034685231,Sideway,0.32646653657677477
log_volume,14.293371034685231,Bear,0.29698145943578574
log_volume,14.293371034685231,Stress,0.2022686211321787
log_volume,15.40172957927947,Bull,0.17509709117100236
log_volume,15.40172957927947,Sideway,0.32720878584563223
log_volume,15.40172957927947,Bear,0.2945050121923022
log_volume,15.40172957927947,Stress,0.20318911079106314
log_volume,16.016267025457125,Bull,0.17523465459163837
log_volume,16.016267025457125,Sideway,0.32698649754912396
log_volume,16.016267025457125,Bear,0.29445835430290346
log_volume,16.016267025457125,Stress,0.20332049355633414
log_volume,16.885610172341977,Bull,0.1758175707410374
log_volume,16.885610172341977,Sideway,0.32850791974963667
log_volume,16.885610172341977,Bear,0.29289782815677984
log_volume,16.885610172341977,Stress,0.20277668135254606
log_volume,17.28776709105969,Bull,0.1763956457134261
log_volume,17.28776709105969,Sideway,0.3296876720741296
log_volume,17.28776709105969,Bear,0.29137718516800243
