horizon,signal,target,probability
20,Bull,Bull,0.4494949494949495
20,Sideway,Bull,0.459915611814346
20,Bear,Bull,0.41237113402061853
20,Stress,Bull,0.43243243243243246
20,Bull,Sideway,0.2904040404040404
20,Sideway,Sideway,0.24050632911392406
20,Bear,Sideway,0.4175257731958763
20,Stress,Sideway,0.10810810810810811
20,Bull,Bear,0.06060606060606061
20,Sideway,Bear,0.16033755274261605
20,Bear,Bear,0.08762886597938144
20,Stress,Bear,0.14414414414414414
20,Bull,Stress,0.1994949494949495
20,Sideway,Stress,0.13924050632911392
20,Bear,Stress,0.08247422680412371
20,Stress,Stress,0.3153153153153153
40,Bull,Bull,0.4742268041237113
40,Sideway,Bull,0.36936936936936937
40,Bear,Bull,0.41237113402061853
40,Stress,Bull,0.4774774774774775
40,Bull,Sideway,0.30412371134020616
40,Sideway,Sideway,0.24324324324324326
40,Bear,Sideway,0.3247422680412371
40,Stress,Sideway,0.2072072072072072
40,Bull,Bear,0.06958762886597938
40,Sideway,Bear,0.2072072072072072
40,Bear,Bear,0.18041237113402062
40,Stress,Bear,0.08108108108108109
40,Bull,Stress,0.15206185567010308
40,Sideway,Stress,0.18018018018018017
40,Bear,Stress,0.08247422680412371
40,Stress,Stress,0.23423423423423423
60,Bull,Bull,0.4905149051490515
60,Sideway,Bull,0.38839285714285715
60,Bear,Bull,0.44554455445544555
60,Stress,Bull,0.41237113402061853
60,Bull,Sideway,0.2791327913279133
60,Sideway,Sideway,0.27232142857142855
60,Bear,Sideway,0.32673267326732675
60,Stress,Sideway,0.17525773195876287
60,Bull,Bear,0.10298102981029811
60,Sideway,Bear,0.16964285714285715
60,Bear,Bear,0.08415841584158416
60,Stress,Bear,0.14432989690721648
60,Bull,Stress,0.12737127371273713
60,Sideway,Stress,0.16964285714285715
60,Bear,Stress,0.14356435643564355
60,Stress,Stress,0.26804123711340205
