horizon,state,raw_probability,weighted_probability
20,0,0.4891666666666667,0.24739263902644923
20,1,0.18,0.2771565299339787
20,2,0.20166666666666666,0.24585347557890833
20,3,0.12916666666666668,0.22959735546066232
40,0,0.32416666666666666,0.2508004767163819
40,1,0.2575,0.2870275621321955
40,2,0.23666666666666666,0.25600177886248476
40,3,0.18166666666666667,0.20617018228893522
60,0,0.3333333333333333,0.26834515616179444
60,1,0.28,0.3171450951105686
60,2,0.2025,0.18830926572144488
60,3,0.18416666666666667,0.2262004830061957
