feature,train_mean,test_mean,mean_shift,ks_stat,outside_train_range_rate
up_ratio_60,0.5050343906079017,0.5647035256410257,0.05966913503312399,0.3260267003068706,0.0
up_ratio_40,0.5058122425853637,0.5631009615384616,0.05728871895309784,0.25001404350114914,0.0
drawdown_from_high_60,-0.09802207537148878,-0.050985678621920674,0.04703639674956811,0.22986763799545473,0.0
up_ratio_20,0.5068909797201635,0.5616586538461539,0.05476767412599037,0.20208116662172745,0.0
sma_slope_50,0.0025247779705335053,0.0017588530134401532,-0.0007659249570933521,0.18435586071414814,0.0
drawdown_from_high_40,-0.07447271759301799,-0.042117476769176,0.03235524082384199,0.18213939498992077,0.0
rolling_return_60,0.028830993916855563,0.020788342716620674,-0.008042651200234889,0.17939970853716472,0.0
log_return_60,0.02514121053459393,0.02078834271662063,-0.0043528678179733,0.17939970853716472,0.0
sma_distance_100,0.029103845333499537,0.018411549186379574,-0.010692296147119962,0.17679082726654083,0.0
sma_slope_100,0.002375630168485631,0.0018835302849204523,-0.0004920998835651787,0.17088453192609426,0.0
ema_slope_100,0.00246896183840321,0.001829126774537978,-0.0006398350638652322,0.1707870299038301,0.0
ema_distance_100,0.02321909077220739,0.01767646116337241,-0.005542629608834979,0.16678021840452986,0.0
ema_slope_50,0.0025771012691086807,0.0016864795695227626,-0.0008906216995859181,0.16462353787090891,0.0
distance_from_low_40,0.0965836679029048,0.06656727247012785,-0.030016395432776954,0.1634908291925067,0.0
sma_slope_200,0.0021425961814055287,0.0020979282520646766,-4.4667929340852074e-05,0.15960800174620907,0.0
distance_from_low_60,0.12938930648994162,0.08814071505447611,-0.04124859143546551,0.15933676155258528,0.0
rolling_return_40,0.019394240982629363,0.0130795785459949,-0.006314662436634463,0.15160160111962817,0.0
log_return_40,0.017993435722303604,0.013079578545994855,-0.0049138571763087495,0.15160160111962817,0.0
up_ratio_10,0.5072786759504336,0.5612980769230769,0.05401940097264324,0.14731231462578484,0.0
sma_distance_200,0.04963846327647247,0.04255960681246825,-0.007078856464004218,0.14658847245226814,0.0
ema_distance_50,0.011640133545101601,0.007931445187328481,-0.00370868835777312,0.1459942317322137,0.0
sma_distance_50,0.014596428743052899,0.008305911285415482,-0.0062905174576374165,0.14088681098570932,0.0
sma_slope_20,0.0027638077427447794,0.0015263166490957017,-0.0012374910936490777,0.13457606281216697,0.0
distance_from_low_20,0.05743215061513648,0.04152313472263876,-0.01590901589249772,0.1289390014508943,0.0
ema_slope_20,0.0027618555973179092,0.001553999421494171,-0.0012078561758237382,0.12483228047199003,0.0
ema_distance_20,0.004537975101873342,0.002718355008867614,-0.0018196200930057278,0.12217926248346879,0.0
log_return_20,0.009328430623227095,0.005616780582026211,-0.003711650041200884,0.12216000282474994,0.0
rolling_return_20,0.00981205307389163,0.00561678058202624,-0.00419527249186539,0.12216000282474994,0.0
drawdown_from_high_20,-0.045700820627730225,-0.029446051698886293,0.01625476892884393,0.11732301978608939,0.0
distance_from_low_10,0.03305679093578187,0.025030777954312362,-0.008026012981469509,0.11632071504692937,0.0
ema_distance_200,0.044779492274447115,0.037257923885683226,-0.0075215683887638884,0.11551341435229767,0.0
ema_slope_10,0.0029241672610738085,0.0015518323053302586,-0.0013723349557435499,0.11311879678492097,0.0
sma_slope_10,0.00296758981941824,0.0015274315370941412,-0.0014401582823240988,0.1111145885494909,0.0
sma_distance_20,0.005437453742007849,0.0028582278513605884,-0.002579225890647261,0.11081285389622895,0.0
up_ratio_5,0.5073401769320648,0.5612179487179488,0.05387777178588404,0.11027679339522103,0.0
rolling_return_10,0.004940656722679306,0.0027147334711608503,-0.0022259232515184557,0.10660822965217057,0.0
ema_slope_5,0.0030853742984430377,0.0016357120705244531,-0.0014496622279185846,0.10535675307833545,0.0
log_return_10,0.004768785981694611,0.002714733471160915,-0.0020540525105336963,0.10535635183544548,0.0
drawdown_from_high_10,-0.02722667630747986,-0.018935717427551565,0.008290958879928294,0.10526165851341114,0.0
ema_distance_10,0.002123046751084148,0.0012165279461505152,-0.0009065188049336328,0.10245095206912934,0.0
distance_from_low_5,0.017786292753629026,0.013730490868047415,-0.004055801885581611,0.10089493214180245,0.0
drawdown_from_high_5,-0.015376697478236423,-0.011273378510471277,0.004103318967765146,0.09931002272639729,0.0
sma_slope_5,0.003169526480398842,0.0016826649947501106,-0.0014868614856487314,0.09804249643696314,0.0
ema_distance_5,0.000915091177246947,0.0005191996334951831,-0.0003958915437517639,0.09679342732046788,0.0
sma_distance_10,0.00249513264735878,0.0013511928954737086,-0.0011439397518850714,0.09513990537087683,0.0
up_ratio_2,0.5073860791186781,0.5604967948717948,0.053110715753116766,0.09046582694554653,0.0
rolling_return_5,0.0024745109552720026,0.00140312993557188,-0.0010713810197001225,0.0883789626747814,0.0
log_return_5,0.0024367414203584708,0.001403129935571867,-0.0010336114847866037,0.08787821154809136,0.0
sma_distance_5,0.0010668160358785958,0.000583801408886388,-0.00048301462699220786,0.08472363994710014,0.0
log_return_2,0.0009886622042093716,0.0005432376060977263,-0.0004454245981116453,0.08266646765019324,0.0
rolling_return_2,0.0009886622042093187,0.0005432376060976671,-0.0004454245981116516,0.08266646765019324,0.0
ma_cross_100,0.5317976965448172,0.4511217948717949,-0.08067590167302235,0.08067590167302235,0.0
ret_1,0.0004970110612246485,0.00026085468870380035,-0.00023615637252084816,0.07780982370992386,0.0
distance_from_low_2,0.0056568162641341705,0.004397647365481708,-0.001259168898652463,0.07780982370992386,0.0
signed_streak,0.27416124186279417,0.5456730769230769,0.2715118350602827,0.07669517096157057,0.0
drawdown_from_high_2,-0.005159805202909522,-0.004136792676777908,0.0010230125261316133,0.0622058889616476,0.0
ma_cross_50,0.5082623935903856,0.5408653846153846,0.03260299102499897,0.032602991024999035,0.0
ma_cross_5,0.5020030045067602,0.47676282051282054,-0.025240183993939624,0.025240183993939628,0.0
ma_cross_10,0.5055082623935904,0.4831730769230769,-0.02233518547051344,0.022335185470513462,0.0
ma_cross_20,0.5072608913370055,0.5024038461538461,-0.004857045183159325,0.004857045183159355,0.0
