feature,importance
ma_cross_100,0.04252803390876074
upside_vol_40,0.025681306016822145
log_volume,0.023170296102998575
ma_cross_200,0.023086636751372652
egarch_volatility_percentile,0.022502400779005116
vol_of_vol_20,0.02156510586335403
month,0.019997300893744602
volatility_40,0.01975647389594231
ma_cross_10,0.01944975224940553
quarter,0.019372998376022563
vol_of_vol_40,0.01935166758347074
parkinson_volatility,0.019293557198431302
upside_vol_60,0.0186292043410544
downside_vol_60,0.01847866197512817
volatility_60,0.018198960655067924
distance_from_low_60,0.01720964044907028
ma_cross_50,0.016732134603861047
downside_vol_40,0.01661685654922433
up_ratio_5,0.016290789805461735
ma_cross_20,0.016208940952611196
ewma_volatility,0.01503876974018456
sma_distance_200,0.014683525840551635
sma_slope_200,0.014408667311974668
drawdown_from_high_60,0.01411392303284406
up_ratio_2,0.013809549223514558
downside_vol_10,0.013722958621748058
ma_cross_5,0.01368056456940786
vol_of_vol_60,0.013626995372619861
volatility_20,0.013179564418919229
ema_distance_200,0.013004265008835178
