horizon,scenario_mode,seed,pit_bin,count
40,point_estimate,42,"(0.9, 1.0]",77
40,point_estimate,73,"(-0.001, 0.1]",75
40,point_estimate,73,"(0.1, 0.2]",150
40,point_estimate,73,"(0.2, 0.3]",167
40,point_estimate,73,"(0.3, 0.4]",233
40,point_estimate,73,"(0.4, 0.5]",239
40,point_estimate,73,"(0.5, 0.6]",248
40,point_estimate,73,"(0.6, 0.7]",234
40,point_estimate,73,"(0.7, 0.8]",266
40,point_estimate,73,"(0.8, 0.9]",178
40,point_estimate,73,"(0.9, 1.0]",90
40,posterior_mean_mc,11,"(-0.001, 0.1]",314
40,posterior_mean_mc,11,"(0.1, 0.2]",128
40,posterior_mean_mc,11,"(0.2, 0.3]",162
40,posterior_mean_mc,11,"(0.3, 0.4]",169
40,posterior_mean_mc,11,"(0.4, 0.5]",161
40,posterior_mean_mc,11,"(0.5, 0.6]",145
40,posterior_mean_mc,11,"(0.6, 0.7]",139
40,posterior_mean_mc,11,"(0.7, 0.8]",204
40,posterior_mean_mc,11,"(0.8, 0.9]",218
40,posterior_mean_mc,11,"(0.9, 1.0]",240
40,posterior_mean_mc,42,"(-0.001, 0.1]",307
40,posterior_mean_mc,42,"(0.1, 0.2]",142
40,posterior_mean_mc,42,"(0.2, 0.3]",151
40,posterior_mean_mc,42,"(0.3, 0.4]",172
40,posterior_mean_mc,42,"(0.4, 0.5]",151
40,posterior_mean_mc,42,"(0.5, 0.6]",156
40,posterior_mean_mc,42,"(0.6, 0.7]",140
40,posterior_mean_mc,42,"(0.7, 0.8]",200
40,posterior_mean_mc,42,"(0.8, 0.9]",219
40,posterior_mean_mc,42,"(0.9, 1.0]",242
40,posterior_mean_mc,73,"(-0.001, 0.1]",313
40,posterior_mean_mc,73,"(0.1, 0.2]",125
40,posterior_mean_mc,73,"(0.2, 0.3]",178
40,posterior_mean_mc,73,"(0.3, 0.4]",163
40,posterior_mean_mc,73,"(0.4, 0.5]",151
40,posterior_mean_mc,73,"(0.5, 0.6]",138
40,posterior_mean_mc,73,"(0.6, 0.7]",151
40,posterior_mean_mc,73,"(0.7, 0.8]",198
40,posterior_mean_mc,73,"(0.8, 0.9]",227
40,posterior_mean_mc,73,"(0.9, 1.0]",235
40,variational_posterior,11,"(-0.001, 0.1]",297
40,variational_posterior,11,"(0.1, 0.2]",136
40,variational_posterior,11,"(0.2, 0.3]",161
40,variational_posterior,11,"(0.3, 0.4]",171
40,variational_posterior,11,"(0.4, 0.5]",173
40,variational_posterior,11,"(0.5, 0.6]",146
40,variational_posterior,11,"(0.6, 0.7]",139
40,variational_posterior,11,"(0.7, 0.8]",203
40,variational_posterior,11,"(0.8, 0.9]",229
40,variational_posterior,11,"(0.9, 1.0]",223
40,variational_posterior,42,"(-0.001, 0.1]",308
40,variational_posterior,42,"(0.1, 0.2]",128
40,variational_posterior,42,"(0.2, 0.3]",157
40,variational_posterior,42,"(0.3, 0.4]",172
40,variational_posterior,42,"(0.4, 0.5]",169
40,variational_posterior,42,"(0.5, 0.6]",151
40,variational_posterior,42,"(0.6, 0.7]",141
40,variational_posterior,42,"(0.7, 0.8]",201
40,variational_posterior,42,"(0.8, 0.9]",222
40,variational_posterior,42,"(0.9, 1.0]",231
40,variational_posterior,73,"(-0.001, 0.1]",303
40,variational_posterior,73,"(0.1, 0.2]",124
40,variational_posterior,73,"(0.2, 0.3]",170
40,variational_posterior,73,"(0.3, 0.4]",169
