horizon,benchmark,metric,mean_diff_vb_minus_benchmark,ci_low,ci_high,ci_excludes_zero,lower_is_better
20,point_estimate,crps,-0.0027156208202837786,-0.00393796753405358,-0.0012923079969725838,True,True
20,point_estimate,wis,-0.005848657993833388,-0.008115147217100207,-0.0032336017568642844,True,True
20,point_estimate,nlpd,0.23196729108408523,-0.1520749771411134,0.868655442178724,False,True
20,point_estimate,brier_negative,0.005632116966539844,0.00021482699095997341,0.012046044419644754,True,True
20,point_estimate,brier_drawdown_5,-0.005345060293221418,-0.04907535220766251,0.04132585887191929,False,True
20,point_estimate,brier_drawdown_10,-0.021909169817883434,-0.04259169086123863,0.0029161917573501117,False,True
20,point_estimate,brier_drawdown_15,-0.021230186663704523,-0.031332932189616955,-0.008360754275166426,True,True
20,point_estimate,interval_score_50,-0.004091006871714098,-0.008971201835189423,0.001174432847176196,False,True
20,point_estimate,interval_score_80,-0.06740123753404006,-0.0987556614478893,-0.03139030765515682,True,True
20,point_estimate,interval_score_90,-0.18617005902101,-0.25683191203609734,-0.0972667046020924,True,True
20,point_estimate,interval_score_95,-0.3724763015762888,-0.49100970588552295,-0.21148637926977268,True,True
20,point_estimate,coverage_50_error,0.04224107458465881,-0.04366383881230119,0.14551961823966064,False,True
20,point_estimate,coverage_80_error,0.054047366560622034,-0.02138123011664884,0.14670378225521394,False,True
20,point_estimate,coverage_90_error,0.045139625309296716,-0.00816984800282772,0.10594733121244254,False,True
20,point_estimate,coverage_95_error,0.04881583598444672,0.004436196535878283,0.09928861788617875,True,True
20,point_estimate,var95_rate_error,0.03467656415694592,-0.010361435136090485,0.09916489925768814,False,True
20,point_estimate,var99_rate_error,0.03920820077765994,0.01110639802050194,0.07722516790385293,True,True
20,point_estimate,drawdown90_coverage_error,0.0829621774478615,0.027876458112407288,0.14054612937433725,True,True
20,point_estimate,drawdown95_coverage_error,0.0590668080593848,0.019998232591021514,0.11090491339695988,True,True
20,posterior_mean_mc,crps,-7.146514239824702e-05,-0.00013834042168593425,-6.918210447491594e-06,True,True
20,posterior_mean_mc,wis,-7.51826511780235e-05,-0.0001574861199584408,-4.692640594940415e-06,True,True
20,posterior_mean_mc,nlpd,-0.06431108365507518,-0.1254633594572071,-0.01912349605914979,True,True
20,posterior_mean_mc,brier_negative,-0.0017010337383894741,-0.0030279868319323623,-0.0005310399943078486,True,True
20,posterior_mean_mc,brier_drawdown_5,-0.0014610110048759875,-0.0025671435727965632,-0.0006031628378464214,True,True
20,posterior_mean_mc,brier_drawdown_10,-0.00019326404099794423,-0.0006172171172924488,0.0002252233076397091,False,True
20,posterior_mean_mc,brier_drawdown_15,-5.628166684462655e-06,-7.681623798904539e-05,4.969703215986784e-05,False,True
20,posterior_mean_mc,interval_score_50,-0.00015329807248612434,-0.0005078016903330856,0.00015939880682155146,False,True
20,posterior_mean_mc,interval_score_80,-0.0010431208467558204,-0.0022417446756988766,6.796942120504804e-05,False,True
20,posterior_mean_mc,interval_score_90,-0.0017197516913167927,-0.004426534355702073,0.0002927420706480291,False,True
20,posterior_mean_mc,interval_score_95,-0.0033968602945776815,-0.009500791462854694,0.0014308125706713128,False,True
20,posterior_mean_mc,coverage_50_error,-0.006009190526687858,-0.012018381053375719,9.278897136796597e-05,False,True
20,posterior_mean_mc,coverage_80_error,-0.007423117709437932,-0.012818133616118834,-0.0012371862849063747,True,True
20,posterior_mean_mc,coverage_90_error,-0.003534817956875047,-0.009106574761399757,0.0015995051254860562,False,True
20,posterior_mean_mc,coverage_95_error,-0.0008837044892188173,-0.006101979498055912,0.004157829621774466,False,True
20,posterior_mean_mc,var95_rate_error,-0.001767408978437579,-0.005395015906680798,0.000883704489218804,False,True
20,posterior_mean_mc,var99_rate_error,-0.002474372569812658,-0.00636267232237539,0.0018601979498055895,False,True
20,posterior_mean_mc,drawdown90_coverage_error,-0.004948745139625288,-0.009813538352774815,0.0,False,True
20,posterior_mean_mc,drawdown95_coverage_error,-0.005302226935312904,-0.010873983739837386,0.0010604453870625725,False,True
40,point_estimate,crps,-0.012880039521813784,-0.017642419435036263,-0.007751822239789857,True,True
40,point_estimate,wis,-0.02215211899056085,-0.028433066266817474,-0.015485216165532148,True,True
40,point_estimate,nlpd,-0.19370857039120692,-0.5157866893415854,0.21189133635968702,False,True
40,point_estimate,brier_negative,0.0029021720632804557,-0.005849473636837254,0.010640731586064834,False,True
40,point_estimate,brier_drawdown_5,0.02880455636295329,-0.03787635697247767,0.09635044706047025,False,True
40,point_estimate,brier_drawdown_10,-0.0349722127225034,-0.09207399285593416,0.03446361946962365,False,True
40,point_estimate,brier_drawdown_15,-0.06254022014131826,-0.10555874424628398,-0.008378024217239755,True,True
40,point_estimate,interval_score_50,-0.03885528859925366,-0.06003615879848687,-0.017040258037420028,True,True
40,point_estimate,interval_score_80,-0.29927154021947977,-0.3961381599598417,-0.19075914996032625,True,True
