iteration,loss
0,6024.4287109375
1,6033.720703125
2,6026.64794921875
3,6031.95751953125
4,6044.44677734375
5,6022.16455078125
6,6047.205078125
7,6042.7138671875
8,5990.99609375
9,6077.8662109375
10,6058.482421875
11,6055.28759765625
12,6016.55712890625
13,6040.72119140625
14,6094.16845703125
15,6025.12060546875
16,6058.40087890625
17,5970.37255859375
18,6042.47021484375
19,6040.830078125
20,6071.12890625
21,5996.59716796875
22,6029.11962890625
23,5976.78564453125
24,6019.859375
25,6049.02392578125
26,6001.2783203125
27,5969.84228515625
28,6032.93701171875
29,6008.9853515625
30,6031.36376953125
31,5984.630859375
32,5993.06591796875
33,5990.08837890625
34,6054.5771484375
35,5987.57421875
36,5986.8857421875
37,5997.529296875
38,5949.26416015625
39,6032.2705078125
40,5982.17724609375
41,5955.0205078125
42,5955.57421875
43,5984.59130859375
44,5933.11376953125
45,5939.3056640625
46,5956.515625
47,5988.2724609375
48,5928.41748046875
49,5973.97265625
50,5959.43896484375
51,5949.91650390625
52,5914.84765625
53,5985.6455078125
54,5932.08740234375
55,5967.7236328125
56,5930.296875
57,5947.45263671875
58,5921.38525390625
59,5889.32470703125
60,5944.1572265625
61,5876.5
62,5907.94384765625
63,5873.7529296875
64,5927.263671875
65,5924.0341796875
66,5871.78173828125
67,5860.31787109375
68,5945.9521484375
69,5887.8583984375
70,5829.81201171875
71,5876.900390625
72,5917.08447265625
73,5865.14697265625
74,5855.423828125
75,5863.0498046875
76,5879.515625
77,5884.60791015625
78,5886.14453125
79,5911.73193359375
80,5870.26611328125
81,5862.740234375
82,5866.76318359375
83,5826.93798828125
84,5840.1328125
85,5862.86669921875
86,5900.68408203125
87,5800.59716796875
88,5834.79345703125
89,5849.0087890625
90,5836.43359375
91,5838.158203125
92,5835.00048828125
93,5794.01953125
94,5769.9677734375
95,5807.626953125
96,5805.97998046875
97,5782.91455078125
98,5777.2578125
99,5812.86328125
100,5781.14892578125
101,5818.65869140625
102,5795.6259765625
103,5749.505859375
104,5824.58740234375
105,5747.474609375
106,5771.8447265625
107,5778.537109375
108,5767.18115234375
109,5762.22021484375
110,5758.98193359375
111,5756.083984375
112,5768.76123046875
113,5777.62451171875
114,5815.07177734375
115,5794.95751953125
116,5765.5517578125
117,5771.88330078125
118,5756.4990234375
119,5728.5556640625
120,5741.50146484375
121,5712.0654296875
122,5727.4404296875
123,5741.078125
124,5726.29248046875
125,5739.70849609375
126,5739.6533203125
127,5716.3974609375
128,5724.8583984375
129,5739.48046875
130,5710.603515625
131,5726.69873046875
132,5743.57958984375
133,5704.99267578125
134,5747.779296875
135,5718.12548828125
136,5700.17919921875
137,5737.74951171875
138,5720.25048828125
139,5715.47216796875
140,5713.37353515625
141,5709.38916015625
142,5712.9052734375
143,5727.0205078125
144,5701.67236328125
145,5699.24658203125
146,5725.2900390625
147,5708.30859375
148,5704.38720703125
149,5695.44873046875
150,5683.080078125
151,5721.4130859375
152,5699.4228515625
153,5712.4423828125
154,5707.39501953125
155,5692.4130859375
156,5705.5419921875
157,5706.9833984375
158,5739.54541015625
159,5690.20703125
160,5699.080078125
161,5697.4423828125
162,5681.23876953125
163,5699.666015625
164,5684.02001953125
165,5686.0078125
166,5694.59814453125
167,5704.26123046875
168,5676.29638671875
169,5684.34130859375
170,5678.15576171875
171,5706.33056640625
172,5680.51513671875
173,5704.03369140625
174,5672.37646484375
175,5715.27392578125
176,5690.6748046875
177,5670.201171875
178,5685.17919921875
179,5703.3076171875
180,5687.55322265625
181,5686.26123046875
182,5683.71728515625
183,5657.64111328125
184,5664.517578125
185,5675.9375
186,5683.904296875
187,5704.97998046875
188,5668.0927734375
189,5672.98974609375
190,5681.2744140625
191,5690.23095703125
192,5706.05517578125
193,5659.119140625
194,5664.12548828125
195,5667.38134765625
196,5667.91552734375
197,5677.755859375
198,5665.17724609375
199,5662.5498046875
200,5655.20458984375
201,5683.09619140625
202,5674.6708984375
203,5662.38671875
204,5673.3828125
205,5673.0595703125
206,5664.55517578125
207,5652.154296875
208,5669.6494140625
209,5667.84716796875
210,5672.9892578125
211,5666.2998046875
212,5672.06396484375
213,5680.677734375
214,5654.93994140625
215,5660.99072265625
216,5670.17578125
217,5668.89013671875
218,5673.14892578125
219,5662.326171875
220,5664.5224609375
221,5654.3203125
222,5654.345703125
223,5668.806640625
224,5654.49072265625
225,5664.1015625
226,5670.39794921875
227,5648.71728515625
228,5658.392578125
229,5651.6416015625
230,5662.82177734375
231,5662.3349609375
232,5664.31884765625
233,5656.44140625
234,5647.32177734375
235,5661.19873046875
236,5649.60595703125
237,5651.173828125
238,5646.4677734375
239,5639.7080078125
240,5634.56494140625
241,5645.3017578125
242,5647.439453125
243,5648.388671875
244,5649.3662109375
245,5648.84033203125
246,5650.59130859375
247,5654.09912109375
248,5652.9052734375
249,5650.5302734375
250,5645.26123046875
251,5660.54443359375
252,5640.1201171875
253,5637.01904296875
254,5634.28125
255,5645.068359375
256,5637.978515625
257,5637.74951171875
258,5640.9638671875
259,5650.4853515625
260,5634.06884765625
261,5648.52734375
262,5649.55712890625
263,5628.59130859375
264,5648.54833984375
265,5632.259765625
266,5632.59619140625
267,5642.5634765625
268,5656.67822265625
269,5643.05517578125
270,5641.71826171875
271,5632.91015625
272,5635.095703125
273,5637.60107421875
274,5627.60595703125
275,5630.8212890625
276,5631.94384765625
277,5626.2802734375
278,5636.5791015625
279,5650.9072265625
280,5626.48193359375
281,5626.02099609375
282,5627.86328125
283,5629.67822265625
284,5630.84716796875
285,5633.9013671875
286,5631.9091796875
287,5638.8427734375
288,5629.74169921875
289,5633.2822265625
290,5629.873046875
291,5654.38232421875
292,5624.0703125
293,5633.60986328125
294,5620.26318359375
295,5636.4228515625
296,5637.53955078125
297,5638.5908203125
298,5630.31396484375
299,5627.8662109375
300,5627.43603515625
301,5633.40234375
302,5627.74951171875
303,5623.7890625
304,5623.6484375
305,5621.12890625
306,5619.4873046875
307,5625.8759765625
308,5622.0517578125
309,5623.67138671875
310,5635.8203125
311,5629.8515625
312,5629.103515625
313,5623.1083984375
314,5621.5546875
315,5623.94580078125
316,5626.4267578125
317,5618.51123046875
318,5616.36962890625
319,5625.63427734375
320,5626.07421875
321,5611.35791015625
322,5626.53955078125
323,5622.9560546875
324,5628.13330078125
325,5619.20751953125
326,5621.31591796875
327,5620.07666015625
328,5617.693359375
329,5620.68896484375
330,5621.0634765625
331,5617.83984375
332,5637.6884765625
333,5611.3671875
334,5623.53076171875
335,5611.77490234375
336,5618.14599609375
337,5623.22705078125
338,5627.5673828125
339,5619.6103515625
340,5615.54638671875
341,5611.529296875
342,5618.49267578125
343,5612.11181640625
344,5610.8037109375
345,5621.8740234375
346,5616.44189453125
347,5626.37548828125
348,5610.37939453125
349,5619.50390625
350,5616.5234375
351,5615.11572265625
352,5618.12744140625
353,5610.115234375
354,5609.36279296875
355,5614.46923828125
356,5616.271484375
357,5615.62255859375
358,5616.9501953125
359,5615.95703125
360,5611.82373046875
361,5611.9833984375
362,5616.95068359375
363,5613.6669921875
364,5617.58154296875
365,5618.02001953125
366,5614.341796875
367,5616.38916015625
368,5611.2080078125
369,5607.4873046875
370,5613.0576171875
371,5609.89111328125
372,5608.91015625
373,5613.3056640625
374,5612.00732421875
375,5616.1748046875
376,5608.4375
377,5614.18994140625
378,5611.671875
379,5622.271484375
380,5625.7890625
381,5613.53857421875
382,5611.7529296875
383,5608.07080078125
384,5611.62890625
385,5607.3037109375
386,5610.8173828125
387,5605.03173828125
388,5610.6904296875
389,5607.8740234375
390,5610.96630859375
391,5608.07958984375
392,5608.193359375
393,5615.22509765625
394,5608.32373046875
395,5607.60546875
396,5610.47021484375
397,5607.95166015625
398,5604.12451171875
399,5613.7509765625
400,5610.29541015625
401,5612.06201171875
402,5606.091796875
403,5615.5283203125
404,5611.53173828125
405,5610.7998046875
406,5606.4345703125
407,5606.50927734375
408,5607.5126953125
409,5610.60888671875
410,5612.03955078125
411,5610.97265625
412,5608.9140625
413,5606.2568359375
414,5609.19970703125
415,5610.28369140625
416,5602.435546875
417,5604.77734375
418,5608.12548828125
419,5609.92724609375
420,5606.0908203125
421,5616.85791015625
422,5604.685546875
423,5605.6591796875
424,5605.50146484375
425,5609.19189453125
426,5605.96142578125
