horizon,scenario_mode,seed,pit_bin,count
20,point_estimate,11,"(-0.001, 0.1]",115
20,point_estimate,11,"(0.1, 0.2]",196
20,point_estimate,11,"(0.2, 0.3]",167
20,point_estimate,11,"(0.3, 0.4]",200
20,point_estimate,11,"(0.4, 0.5]",186
20,point_estimate,11,"(0.5, 0.6]",181
20,point_estimate,11,"(0.6, 0.7]",225
20,point_estimate,11,"(0.7, 0.8]",246
20,point_estimate,11,"(0.8, 0.9]",225
20,point_estimate,11,"(0.9, 1.0]",143
20,point_estimate,42,"(-0.001, 0.1]",109
20,point_estimate,42,"(0.1, 0.2]",199
20,point_estimate,42,"(0.2, 0.3]",176
20,point_estimate,42,"(0.3, 0.4]",193
20,point_estimate,42,"(0.4, 0.5]",199
20,point_estimate,42,"(0.5, 0.6]",169
20,point_estimate,42,"(0.6, 0.7]",226
20,point_estimate,42,"(0.7, 0.8]",248
20,point_estimate,42,"(0.8, 0.9]",244
20,point_estimate,42,"(0.9, 1.0]",121
20,point_estimate,73,"(-0.001, 0.1]",100
20,point_estimate,73,"(0.1, 0.2]",206
20,point_estimate,73,"(0.2, 0.3]",176
20,point_estimate,73,"(0.3, 0.4]",196
20,point_estimate,73,"(0.4, 0.5]",190
20,point_estimate,73,"(0.5, 0.6]",183
20,point_estimate,73,"(0.6, 0.7]",222
20,point_estimate,73,"(0.7, 0.8]",252
20,point_estimate,73,"(0.8, 0.9]",223
20,point_estimate,73,"(0.9, 1.0]",136
20,posterior_mean_mc,11,"(-0.001, 0.1]",302
20,posterior_mean_mc,11,"(0.1, 0.2]",151
20,posterior_mean_mc,11,"(0.2, 0.3]",157
20,posterior_mean_mc,11,"(0.3, 0.4]",146
20,posterior_mean_mc,11,"(0.4, 0.5]",155
20,posterior_mean_mc,11,"(0.5, 0.6]",142
20,posterior_mean_mc,11,"(0.6, 0.7]",147
20,posterior_mean_mc,11,"(0.7, 0.8]",213
20,posterior_mean_mc,11,"(0.8, 0.9]",245
20,posterior_mean_mc,11,"(0.9, 1.0]",226
20,posterior_mean_mc,42,"(-0.001, 0.1]",310
20,posterior_mean_mc,42,"(0.1, 0.2]",142
20,posterior_mean_mc,42,"(0.2, 0.3]",148
20,posterior_mean_mc,42,"(0.3, 0.4]",169
20,posterior_mean_mc,42,"(0.4, 0.5]",132
20,posterior_mean_mc,42,"(0.5, 0.6]",152
20,posterior_mean_mc,42,"(0.6, 0.7]",147
20,posterior_mean_mc,42,"(0.7, 0.8]",218
20,posterior_mean_mc,42,"(0.8, 0.9]",245
20,posterior_mean_mc,42,"(0.9, 1.0]",220
20,posterior_mean_mc,42,nan,1
20,posterior_mean_mc,73,"(-0.001, 0.1]",304
20,posterior_mean_mc,73,"(0.1, 0.2]",151
20,posterior_mean_mc,73,"(0.2, 0.3]",154
20,posterior_mean_mc,73,"(0.3, 0.4]",163
20,posterior_mean_mc,73,"(0.4, 0.5]",128
20,posterior_mean_mc,73,"(0.5, 0.6]",144
20,posterior_mean_mc,73,"(0.6, 0.7]",169
20,posterior_mean_mc,73,"(0.7, 0.8]",207
20,posterior_mean_mc,73,"(0.8, 0.9]",235
20,posterior_mean_mc,73,"(0.9, 1.0]",229
20,variational_posterior,11,"(-0.001, 0.1]",212
20,variational_posterior,11,"(0.1, 0.2]",153
20,variational_posterior,11,"(0.2, 0.3]",154
20,variational_posterior,11,"(0.3, 0.4]",188
20,variational_posterior,11,"(0.4, 0.5]",198
20,variational_posterior,11,"(0.5, 0.6]",195
20,variational_posterior,11,"(0.6, 0.7]",211
20,variational_posterior,11,"(0.7, 0.8]",233
20,variational_posterior,11,"(0.8, 0.9]",208
20,variational_posterior,11,"(0.9, 1.0]",132
20,variational_posterior,42,"(-0.001, 0.1]",216
20,variational_posterior,42,"(0.1, 0.2]",133
20,variational_posterior,42,"(0.2, 0.3]",168
20,variational_posterior,42,"(0.3, 0.4]",204
20,variational_posterior,42,"(0.4, 0.5]",187
20,variational_posterior,42,"(0.5, 0.6]",196
20,variational_posterior,42,"(0.6, 0.7]",209
20,variational_posterior,42,"(0.7, 0.8]",228
20,variational_posterior,42,"(0.8, 0.9]",212
20,variational_posterior,42,"(0.9, 1.0]",131
20,variational_posterior,73,"(-0.001, 0.1]",220
20,variational_posterior,73,"(0.1, 0.2]",139
20,variational_posterior,73,"(0.2, 0.3]",161
20,variational_posterior,73,"(0.3, 0.4]",197
20,variational_posterior,73,"(0.4, 0.5]",201
20,variational_posterior,73,"(0.5, 0.6]",184
20,variational_posterior,73,"(0.6, 0.7]",229
20,variational_posterior,73,"(0.7, 0.8]",228
20,variational_posterior,73,"(0.8, 0.9]",191
20,variational_posterior,73,"(0.9, 1.0]",134
40,point_estimate,11,"(-0.001, 0.1]",28
40,point_estimate,11,"(0.1, 0.2]",186
40,point_estimate,11,"(0.2, 0.3]",153
40,point_estimate,11,"(0.3, 0.4]",246
40,point_estimate,11,"(0.4, 0.5]",316
40,point_estimate,11,"(0.5, 0.6]",291
40,point_estimate,11,"(0.6, 0.7]",257
40,point_estimate,11,"(0.7, 0.8]",222
40,point_estimate,11,"(0.8, 0.9]",144
40,point_estimate,11,"(0.9, 1.0]",35
40,point_estimate,42,"(-0.001, 0.1]",26
40,point_estimate,42,"(0.1, 0.2]",180
40,point_estimate,42,"(0.2, 0.3]",173
40,point_estimate,42,"(0.3, 0.4]",243
40,point_estimate,42,"(0.4, 0.5]",312
40,point_estimate,42,"(0.5, 0.6]",276
40,point_estimate,42,"(0.6, 0.7]",273
40,point_estimate,42,"(0.7, 0.8]",211
40,point_estimate,42,"(0.8, 0.9]",146
40,point_estimate,42,"(0.9, 1.0]",38
40,point_estimate,73,"(-0.001, 0.1]",24
40,point_estimate,73,"(0.1, 0.2]",180
40,point_estimate,73,"(0.2, 0.3]",167
40,point_estimate,73,"(0.3, 0.4]",255
40,point_estimate,73,"(0.4, 0.5]",322
40,point_estimate,73,"(0.5, 0.6]",270
40,point_estimate,73,"(0.6, 0.7]",256
40,point_estimate,73,"(0.7, 0.8]",227
40,point_estimate,73,"(0.8, 0.9]",142
40,point_estimate,73,"(0.9, 1.0]",35
40,posterior_mean_mc,11,"(-0.001, 0.1]",208
40,posterior_mean_mc,11,"(0.1, 0.2]",145
