horizon,scenario_mode,fold,seed,n_origins,mae,rmse,directional_accuracy,nlpd,crps,pit_mean,pit_variance,realized_es95,forecast_es95,realized_es99,forecast_es99,drawdown_90_coverage,drawdown_95_coverage,time_under_water_mae,coverage_50,width_50,interval_score_50,coverage_80,width_80,interval_score_80,coverage_90,width_90,interval_score_90,coverage_95,width_95,interval_score_95,kupiec_95_observations,kupiec_95_exceedances,kupiec_95_expected_rate,kupiec_95_observed_rate,kupiec_95_lr_uc,kupiec_95_p_value_uc,christoffersen_95_observations,christoffersen_95_exceedances,christoffersen_95_expected_rate,christoffersen_95_observed_rate,christoffersen_95_lr_uc,christoffersen_95_p_value_uc,christoffersen_95_n00,christoffersen_95_n01,christoffersen_95_n10,christoffersen_95_n11,christoffersen_95_lr_independence,christoffersen_95_p_value_independence,christoffersen_95_lr_conditional_coverage,christoffersen_95_p_value_conditional_coverage,kupiec_99_observations,kupiec_99_exceedances,kupiec_99_expected_rate,kupiec_99_observed_rate,kupiec_99_lr_uc,kupiec_99_p_value_uc,christoffersen_99_observations,christoffersen_99_exceedances,christoffersen_99_expected_rate,christoffersen_99_observed_rate,christoffersen_99_lr_uc,christoffersen_99_p_value_uc,christoffersen_99_n00,christoffersen_99_n01,christoffersen_99_n10,christoffersen_99_n11,christoffersen_99_lr_independence,christoffersen_99_p_value_independence,christoffersen_99_lr_conditional_coverage,christoffersen_99_p_value_conditional_coverage
20,point_estimate,0,11,628.0,0.04837908041638344,0.06803864147400265,0.5780254777070064,-1.148485330689099,0.036651114122803904,0.5537729561074988,0.07094485787564324,0.23458594562251595,0.4671302977290645,0.1123682733902063,0.7204687730181457,0.9490445859872612,0.9745222929936306,3.744993297782586,0.5159235668789809,0.07476816889126887,0.1567918784301274,0.8662420382165605,0.24640329624251237,0.31198329542477443,0.9506369426751592,0.4906790652596494,0.5382185135846514,0.982484076433121,0.8186736330321334,0.8452774567334711,628.0,13.0,0.05,0.020700636942675158,14.43341482105032,0.00014520290653002591,628.0,13.0,0.05,0.020700636942675158,14.43341482105032,0.00014520290653002591,609.0,5.0,5.0,8.0,51.11652482251476,8.704244984162685e-13,65.54993964356508,5.834605026986995e-15,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,625.0,1.0,1.0,0.0,0.0031948895378164366,0.9549248915286987,6.933169291429762,0.031223488036413578
20,point_estimate,0,42,628.0,0.04806498608392676,0.0664196320826872,0.6003184713375797,-1.134995483599163,0.036599280380216384,0.5514452288603329,0.07147348297545647,0.23524549327045452,0.47044716795816677,0.1123682733902063,0.729963666955163,0.945859872611465,0.982484076433121,3.749960180063835,0.5127388535031847,0.0750610634789861,0.15654612147801908,0.8821656050955414,0.24871646322080734,0.30990391181486754,0.9633757961783439,0.49625275772872895,0.531120018523587,0.9856687898089171,0.820316352577879,0.8415913899033449,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,612.0,6.0,6.0,3.0,15.24162512273611,9.459528673184382e-05,38.37982539001989,4.633688216091552e-09,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,625.0,1.0,1.0,0.0,0.0031948895378164366,0.9549248915286987,6.933169291429762,0.031223488036413578
20,point_estimate,0,73,628.0,0.047541621337530544,0.06691287460208822,0.6098726114649682,-1.137682006577201,0.0364936252943321,0.5501877541259073,0.07050221769909816,0.2341177580512561,0.46009233692098567,0.1123682733902063,0.7080574228982661,0.9426751592356688,0.9777070063694268,3.740980610076566,0.5222929936305732,0.07504513459256551,0.15552722414570827,0.8726114649681529,0.24955685290360055,0.310393538040964,0.9585987261146497,0.49411575618540166,0.5355270942591595,0.9872611464968153,0.8040541774750736,0.8200551974656412,628.0,12.0,0.05,0.01910828025477707,16.33848283490893,5.297713433540556e-05,628.0,12.0,0.05,0.01910828025477707,16.33848283490893,5.297713433540556e-05,611.0,4.0,4.0,8.0,55.18092251230971,1.0993054501806137e-13,71.51940534721864,2.9495682812269716e-16,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,625.0,1.0,1.0,0.0,0.0031948895378164366,0.9549248915286987,6.933169291429762,0.031223488036413578
20,point_estimate,1,11,628.0,0.05108734581881016,0.06623599648232133,0.4872611464968153,-1.1092212346473125,0.038006169339402665,0.4729386518514189,0.06842245671779115,0.10934105885077004,0.47114604898115303,,0.7965746021873051,0.9331210191082803,0.9697452229299363,3.317013651709957,0.5652866242038217,0.08625585383124469,0.16170243956123415,0.8964968152866242,0.2699154004020736,0.30365041970312623,0.9729299363057324,0.5083843584958656,0.5217443728088124,0.9936305732484076,0.7951435456778061,0.7997632131922687,628.0,11.0,0.05,0.01751592356687898,18.41365770918034,1.7777916786843116e-05,628.0,11.0,0.05,0.01751592356687898,18.41365770918034,1.7777916786843116e-05,609.0,7.0,7.0,4.0,19.72954093712407,8.921162105478565e-06,38.14319864630441,5.2156645654961096e-09,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,1,42,628.0,0.050174152380482,0.06543343968731227,0.49203821656050956,-1.1070170841509281,0.03783839225261594,0.47421724801021675,0.06661411370934187,0.111486895782343,0.47438057566137704,0.1290076889055781,0.7938100825153944,0.9363057324840764,0.9761146496815286,3.292228364254206,0.5605095541401274,0.08677577600483531,0.15934817449011865,0.9044585987261147,0.2704735087636314,0.303739642609749,0.9792993630573248,0.5094879597277363,0.5165769010137802,0.9952229299363057,0.8043714871427466,0.8056691155189456,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,612.0,6.0,6.0,3.0,15.24162512273611,9.459528673184382e-05,38.37982539001989,4.633688216091552e-09,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,628.0,1.0,0.01,0.0015923566878980893,6.929974401891945,0.008476290199236585,625.0,1.0,1.0,0.0,0.0031948895378164366,0.9549248915286987,6.933169291429762,0.031223488036413578
20,point_estimate,1,73,628.0,0.050371636155580025,0.065484207195536,0.4872611464968153,-1.1185951035190562,0.037751801051626475,0.4756097152558055,0.06707817263483831,0.09486151202883104,0.48002967050068623,,0.8002152594087203,0.9331210191082803,0.9713375796178344,3.2890309884723816,0.5652866242038217,0.08669126818484567,0.1601538603678972,0.9203821656050956,0.27406465572938904,0.30133334632687414,0.982484076433121,0.5162264009806758,0.5225236064670578,0.9984076433121019,0.8132167665054332,0.8133040535229349,628.0,7.0,0.05,0.011146496815286623,28.77202022319109,8.141890253387467e-08,628.0,7.0,0.05,0.011146496815286623,28.77202022319109,8.141890253387467e-08,615.0,5.0,5.0,2.0,10.313908616012185,0.001320313523651873,39.08592883920328,3.2553552755695366e-09,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,2,11,628.0,0.042180812747644084,0.054106868119421204,0.6146496815286624,-1.3617481253052985,0.03032607040515801,0.5434811251760543,0.07536447915723328,0.14025672260635355,0.3517280045939809,,0.645178151401871,0.9363057324840764,0.9729299363057324,3.70858433969579,0.5143312101910829,0.06175690470491265,0.13132699797502714,0.8312101910828026,0.17723858350815605,0.2177291332995685,0.9633757961783439,0.3432606719069237,0.35734598989165994,0.9952229299363057,0.604564575428961,0.6065515562405162,628.0,4.0,0.05,0.006369426751592357,39.55545511404237,3.1887443667664585e-10,628.0,4.0,0.05,0.006369426751592357,39.55545511404237,3.1887443667664585e-10,619.0,4.0,4.0,0.0,0.05136471887929872,0.8207053514004596,39.606819832921666,2.508928878639186e-09,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,2,42,628.0,0.04159182958920228,0.05368740813700256,0.6226114649681529,-1.3630230408640298,0.030183189541651462,0.5431528839910963,0.07491118594710716,0.11392323350675906,0.3599898478216591,,0.647260083762157,0.9251592356687898,0.964968152866242,3.682574291215334,0.5366242038216561,0.06249112397994506,0.13120677620564222,0.8471337579617835,0.17885315490533044,0.2181187690926781,0.9585987261146497,0.34543789851776857,0.36103460984116265,0.9952229299363057,0.6061233195577086,0.6098943180844568,628.0,8.0,0.05,0.012738853503184714,25.82816976877659,3.7320176628188577e-07,628.0,8.0,0.05,0.012738853503184714,25.82816976877659,3.7320176628188577e-07,613.0,6.0,6.0,2.0,9.106404894376112,0.002547160044546727,34.9345746631527,2.5944989428721185e-08,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,2,73,628.0,0.041610381135849216,0.054292047710951696,0.6178343949044586,-1.3735553171854602,0.030187105711745297,0.5445676254770048,0.07444875128075963,0.10605917824090334,0.3564647312749682,,0.6468054605156076,0.9267515923566879,0.9617834394904459,3.7043107862415896,0.5270700636942676,0.06202133045483687,0.13145715585106085,0.8359872611464968,0.17883852001997874,0.2174599715040614,0.9665605095541401,0.348556900852013,0.359643435029965,0.9968152866242038,0.6066591292988214,0.6075777614498002,628.0,4.0,0.05,0.006369426751592357,39.55545511404237,3.1887443667664585e-10,628.0,4.0,0.05,0.006369426751592357,39.55545511404237,3.1887443667664585e-10,619.0,4.0,4.0,0.0,0.05136471887929872,0.8207053514004596,39.606819832921666,2.508928878639186e-09,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,posterior_mean_mc,0,11,628.0,0.043047915383867305,0.06336387158228325,0.606687898089172,-0.38112357547928916,0.03229691888836043,0.5312044311196519,0.10709299166415194,0.114315951644349,0.09070714800578467,0.1937729606311997,0.14202025904876098,0.8073248407643312,0.8869426751592356,3.6680412769445927,0.3821656050955414,0.04893895455315776,0.14344836101513722,0.6831210191082803,0.10301414783102493,0.2271163617825441,0.8009554140127388,0.14287760462018081,0.3110364305375631,0.8901273885350318,0.18405691546790126,0.4161677395430333,628.0,63.0,0.05,0.10031847133757962,26.2412917624888,3.013104574053603e-07,628.0,63.0,0.05,0.10031847133757962,26.2412917624888,3.013104574053603e-07,550.0,14.0,14.0,49.0,211.0903252458596,7.943110541550694e-48,237.3316170083484,2.9113483707608606e-52,628.0,26.0,0.01,0.041401273885350316,35.06998908387652,3.1806512735987446e-09,628.0,26.0,0.01,0.041401273885350316,35.06998908387652,3.1806512735987446e-09,595.0,6.0,6.0,20.0,121.10229017974177,3.629281884141793e-28,156.1722792636183,1.2235464034483978e-34
