horizon,benchmark,metric,mean_diff_vb_minus_benchmark,ci_low,ci_high,ci_excludes_zero,lower_is_better
20,point_estimate,crps,-0.002863112697948127,-0.003892749523630801,-0.0017956880436032492,True,True
20,point_estimate,nlpd,-0.16930748706128354,-0.30154713354790047,0.006770389762178065,False,True
20,point_estimate,interval_score_50,-0.006616304286615262,-0.010613707549373737,-0.0030570638338515317,True,True
20,point_estimate,interval_score_80,-0.05982904550703886,-0.08539649960637127,-0.033839883364680225,True,True
20,point_estimate,interval_score_90,-0.1923025302850902,-0.24769081377677069,-0.12754605001038996,True,True
20,point_estimate,interval_score_95,-0.39597888462707936,-0.48511972763159744,-0.2746350770256615,True,True
20,point_estimate,coverage_50_error,-0.010615711252654036,-0.0386721514508139,0.02047505307855625,False,True
20,point_estimate,coverage_80_error,-0.057678697806086254,-0.08628361641896669,0.0013809271054491842,False,True
20,point_estimate,coverage_90_error,-0.06518046709129499,-0.0752742392073601,-0.015016808209483342,True,True
20,point_estimate,coverage_95_error,-0.035774946921443784,-0.04469568294409058,-0.0012650389242746,True,True
20,point_estimate,var95_rate_error,-0.015958952583156417,-0.04002034677990091,0.03183828733191786,False,True
20,point_estimate,var99_rate_error,0.0026468506723283745,-0.009030431705590944,0.023086518046709113,False,True
20,point_estimate,drawdown90_coverage_error,-0.021656050955413897,-0.049703644727529944,0.03214791224345365,False,True
20,point_estimate,drawdown95_coverage_error,-0.006404812455767961,-0.026406581740976712,0.03378450106157104,False,True
20,posterior_mean_mc,crps,-0.00029057334547213915,-0.0007427120424829425,0.00012754319255012063,False,True
20,posterior_mean_mc,nlpd,-0.3982134517483583,-0.9535795718309509,-0.03241062041704259,True,True
20,posterior_mean_mc,interval_score_50,-0.0012260743900738363,-0.0033049945655345965,0.0009256047423772765,False,True
20,posterior_mean_mc,interval_score_80,-0.006375375408374854,-0.015647402823892494,0.0013133987317871384,False,True
20,posterior_mean_mc,interval_score_90,-0.015824632095066942,-0.03458961431695142,-0.0002312667964899367,True,True
20,posterior_mean_mc,interval_score_95,-0.025106497145307508,-0.060499812927039154,0.0045853267382176795,False,True
20,posterior_mean_mc,coverage_50_error,-0.06263269639065822,-0.12306705590941266,0.05233987968860574,False,True
20,posterior_mean_mc,coverage_80_error,-0.06691436659589534,-0.11103591648973823,0.03283351026185406,False,True
20,posterior_mean_mc,coverage_90_error,-0.07731776362349607,-0.09962845010615719,-0.004188782731776479,True,True
20,posterior_mean_mc,coverage_95_error,-0.05555555555555547,-0.07811836518046697,-0.008001592356687933,True,True
20,posterior_mean_mc,var95_rate_error,-0.04140127388535032,-0.05866507430997877,-0.011902866242038202,True,True
