as_of_date,target_date,horizon,model,latest_close,pred_return,pred_direction,predicted_close,pred_return_q10,pred_return_q90,predicted_close_q10,predicted_close_q90,test_forecast_score,test_mae,test_rmse,test_balanced_accuracy,current_regime
2026-07-01,2026-07-29,20,HMM Regime,1865.37,0.005696975073293462,1,1875.9969663924692,,,,,0.06349094962030974,0.04175135682510095,0.05393326533656074,0.4778640211268313,1.0
2026-07-01,2026-07-29,20,SVR,1865.37,-0.002568411255726575,0,1860.5789626959051,,,,,-0.04019457018071729,0.04684783356910039,0.05963410779745234,0.4507601241100925,
2026-07-01,2026-07-29,20,Random Forest,1865.37,0.006136434298500414,1,1876.8167204473937,,,,,0.038104969804130945,0.042610709142617484,0.055439107192992276,0.43023827932803826,
2026-07-01,2026-07-29,20,HMM-EGARCH-LightGBM Quantile,1865.37,-2.828821988388988e-05,0,1865.3172320032752,-0.08331791760298099,0.059697378848432084,1709.951256040927,1976.7276995824996,0.02893053637385839,0.04332021666428588,0.056003208708049666,0.4788229623753627,
2026-07-01,2026-07-29,20,OOF HMM-RF Ensemble,1865.37,0.005776077733830713,1,1876.1445221223557,,,,,0.061045456750868,0.041838250427684645,0.054082110240423274,0.47356635773027145,
