horizon,model,candidate_id,params_json,cv_score,cv_score_std,cv_mae,cv_rmse,cv_price_mae,cv_price_rmse,cv_balanced_accuracy,fit_seconds,error,selected
20,MACD,0,"{""fast"": 12, ""signal"": 9, ""slow"": 26}",0.03699869075315359,0.012157330365456631,0.06009281906591681,0.07707155946656155,40.98112183005414,53.95335212431852,0.5062683259406393,0.04198464500041155,,False
20,MACD,1,"{""fast"": 5, ""signal"": 5, ""slow"": 20}",0.039108358197876954,0.009146922886766355,0.059846500731454366,0.07681359625143495,41.039042563140676,54.236169864333306,0.5151048595938271,0.024473563999890757,,False
20,MACD,2,"{""fast"": 8, ""signal"": 5, ""slow"": 21}",0.038350270193127894,0.011083875104290944,0.05984466808230942,0.07689784588348168,40.96253770711278,54.14582390472463,0.5027144689175739,0.02668610399996396,,False
20,MACD,3,"{""fast"": 8, ""signal"": 9, ""slow"": 24}",0.03916935823766912,0.015176989798159035,0.059948807407832684,0.07698864722784905,40.925461148058055,53.97167928353667,0.5000421583759792,0.02474333200007095,,True
20,MACD,4,"{""fast"": 10, ""signal"": 9, ""slow"": 30}",0.03527049073396052,0.011141784252999694,0.06014951583099679,0.0771456165320014,41.069480552119906,54.10061626456451,0.504908270432279,0.03439552999952866,,False
20,MACD,5,"{""fast"": 12, ""signal"": 9, ""slow"": 30}",0.03670224086249874,0.009744355584926213,0.06006913349001431,0.07711164167642653,40.99557237862439,53.986925709598665,0.5059529504406117,0.02609006800048519,,False
20,MACD,6,"{""fast"": 15, ""signal"": 9, ""slow"": 35}",0.03582157755631101,0.006461785956991024,0.06000241117113919,0.07710556676450807,40.95127241654597,53.94515637846041,0.5061654172587332,0.02304868700048246,,False
20,MACD,7,"{""fast"": 20, ""signal"": 9, ""slow"": 50}",0.03385059513822523,0.01041617947221711,0.0599152496400025,0.07721034157899831,41.06259251208828,54.30816522660109,0.5228413260128817,0.022976454999479756,,False
20,HMM Regime,0,"{""covariance_type"": ""diag"", ""n_components"": 4, ""n_iter"": 400}",-0.011340007637539508,0.04089582223026794,0.06398664153971903,0.08245602742875824,43.546649626180276,57.45619647039434,0.5069259761766971,0.6943913129998691,,False
20,HMM Regime,1,"{""covariance_type"": ""diag"", ""n_components"": 3, ""n_iter"": 350}",-0.020339500504930927,0.038495140592849496,0.0636425616009624,0.08193454955632996,43.209928214008784,57.49119208930159,0.5222768817312052,0.40812499200001184,,False
20,HMM Regime,2,"{""covariance_type"": ""diag"", ""n_components"": 5, ""n_iter"": 450}",-0.018999601342625967,0.029461657862342255,0.06351070637683394,0.08193010522028203,44.17059705253374,59.26493286637253,0.49724776856398284,1.200797262999913,,False
20,HMM Regime,3,"{""covariance_type"": ""tied"", ""n_components"": 4, ""n_iter"": 400}",0.04900366911101245,0.016588428854964934,0.059294625899881916,0.07692774336791322,40.36145842819852,53.87017683956643,0.5362582880445758,1.834454537000056,,True
20,HMM Regime,4,"{""covariance_type"": ""diag"", ""n_components"": 2, ""n_iter"": 350}",-0.019135681709509175,0.07071055105914234,0.06286298719404095,0.08029265480862079,42.848335770763924,56.745696464501776,0.5043172374922994,0.3137614899997061,,False
20,HMM Regime,5,"{""covariance_type"": ""diag"", ""n_components"": 6, ""n_iter"": 500}",-0.006660418028943053,0.014449253752722576,0.06239402031567912,0.08059392913133033,43.38540667905706,57.465810825420725,0.5200093438296984,1.0081888119993891,,False
