model,metric,estimate,ci_lower_95,ci_upper_95,n_bootstrap,block_size
HMM Regime,forecast_score,0.06349094962030974,0.042739662117305295,0.08885196757557527,1000,20
HMM Regime,mae,0.04175135682510095,0.03484846818488981,0.04803468322328694,1000,20
HMM Regime,rmse,0.05393326533656074,0.0456691894532838,0.0600171631116067,1000,20
HMM Regime,price_mae,55.85457672069127,45.7232035075304,65.52925642025806,1000,20
HMM Regime,price_rmse,74.83370386741275,61.35540264168977,85.6993941852528,1000,20
HMM Regime,balanced_accuracy,0.4778640211268313,0.4270945746333358,0.5317077488274302,1000,20
SVR,forecast_score,-0.04019457018071729,-0.09460290935900156,0.007930627727863966,1000,20
SVR,mae,0.04684783356910039,0.03923886207173598,0.05478466475580194,1000,20
SVR,rmse,0.05963410779745234,0.050237315663879296,0.06780167915978783,1000,20
SVR,price_mae,62.57576477006012,51.0212295922755,74.89892743146535,1000,20
SVR,price_rmse,82.55309410994025,66.36950521471172,97.16819725047162,1000,20
SVR,balanced_accuracy,0.4507601241100925,0.3786644951140065,0.5145097041973719,1000,20
Random Forest,forecast_score,0.038104969804130945,-0.004733096019962563,0.07464287632171816,1000,20
Random Forest,mae,0.042610709142617484,0.036259321365896095,0.04835886510334118,1000,20
Random Forest,rmse,0.055439107192992276,0.0473825252311896,0.06163592426851999,1000,20
Random Forest,price_mae,56.92469095091138,47.34391555995213,66.42496118967107,1000,20
Random Forest,price_rmse,76.7228827463257,64.14193841400781,88.47571860207857,1000,20
Random Forest,balanced_accuracy,0.43023827932803826,0.34811448254853444,0.49017973403513354,1000,20
HMM-EGARCH-LightGBM Quantile,forecast_score,0.02893053637385839,-0.021606399024517522,0.07026010791581631,1000,20
HMM-EGARCH-LightGBM Quantile,mae,0.04332021666428588,0.03649092992506688,0.050572605373195974,1000,20
HMM-EGARCH-LightGBM Quantile,rmse,0.056003208708049666,0.04766276661824617,0.06437823694323788,1000,20
HMM-EGARCH-LightGBM Quantile,price_mae,58.10396803785698,47.290397293436826,69.26694672629851,1000,20
HMM-EGARCH-LightGBM Quantile,price_rmse,78.24501190272356,63.237268016342206,92.95079396456809,1000,20
HMM-EGARCH-LightGBM Quantile,balanced_accuracy,0.4788229623753627,0.3974974030263343,0.5338550667315728,1000,20
OOF HMM-RF Ensemble,forecast_score,0.061045456750868,0.04035974595893426,0.08516128892216891,1000,20
OOF HMM-RF Ensemble,mae,0.041838250427684645,0.034608699751688544,0.04846614855243007,1000,20
OOF HMM-RF Ensemble,rmse,0.054082110240423274,0.045296693588217224,0.06045171966863628,1000,20
OOF HMM-RF Ensemble,price_mae,55.95060387856827,45.87865949646027,65.5486536061769,1000,20
OOF HMM-RF Ensemble,price_rmse,75.01054520898332,60.99714064052593,86.85146007554076,1000,20
OOF HMM-RF Ensemble,balanced_accuracy,0.47356635773027145,0.44133696719509147,0.4969430625619822,1000,20
