horizon,model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,mae,rmse,mae_skill_vs_zero,rmse_skill_vs_zero,r2,spearman_ic,pred_return_mean,pred_return_std,price_mae,price_rmse,price_mape,price_mae_skill_vs_no_change,price_rmse_skill_vs_no_change,strategy_total_return,strategy_cagr,strategy_ann_vol,strategy_sharpe,strategy_sortino,strategy_max_drawdown,strategy_calmar,strategy_win_rate_daily,strategy_profit_factor,strategy_exposure,strategy_turnover,strategy_beta_to_buy_hold,strategy_alpha_annualized,strategy_information_ratio,buy_hold_total_return,buy_hold_sharpe,forecast_score,composite_score,rank_score
20,MACD,0.5450597176981542,0.5370045888602155,0.655310621242485,0.5696864111498258,0.6095060577819198,0.5370045888602154,175,172,247,327,0.04113068214690408,0.05365779832481714,0.03652726057313327,0.01926239265927787,-0.015038166415372478,0.046342616960042396,0.008165529201964181,0.006561751171689751,54.97624234837559,74.4658837795945,0.040851871010520485,0.03406068039576993,0.014330695588195885,0.9095279191022803,0.1911044145538321,0.11867504629120589,1.5513658701420134,0.08567296040444229,-0.15645028970973895,1.2215024651497077,0.3246471226927253,1.4644662809258235,0.5418023887079262,0.0738327904451683,0.3732607527925901,0.13471304690832275,0.33649313358279753,0.5129899632398498,0.6803581865233012,0.07880588950258663,0.07880588950258663,1.0
20,HMM Regime,0.48751357220412594,0.46975318559278634,0.5980769230769231,0.5418118466898955,0.5685557586837294,0.48033417345289137,138,209,263,311,0.04324742044246911,0.054854350742025895,-0.013056639761748645,-0.002607754669676554,-0.060812999352727104,0.01570988656156169,0.0071272415025074864,0.01246438109825802,58.02730190214691,76.56734957297436,0.04290286143843251,-0.019546810104695833,-0.013485402491520082,0.37973329254725074,0.09092365026694993,0.11786168128993023,0.8067727211096654,0.04292077917007906,-0.1598742163958201,0.5687199119202508,0.3246471226927253,1.212189900416573,0.5646036916395223,0.038002171552660155,0.36680274339520896,0.046546838862279276,-0.24058021086775935,0.5129899632398498,0.6803581865233012,0.037342606476907264,0.037342606476907264,0.875
20,Random Forest,0.496199782844734,0.4499392503188103,0.5884244372990354,0.6376306620209059,0.6120401337792643,0.45453313116910504,91,256,208,366,0.042953771946447575,0.05588052018322715,-0.006178020052015842,-0.02136370429693546,-0.10087384900372398,-0.12246702964344493,0.006406340472892685,0.009422331302304614,57.31177777416665,77.17643706184255,0.042578215636987805,-0.006974963433875159,-0.02154760240115361,0.6135529557951922,0.13808655845596163,0.15037240443726624,0.946246677485037,0.056858333575246965,-0.14267717127653612,0.9678251763789388,0.3919652551574376,1.237946434743952,0.6753528773072747,0.09554831704668838,0.597821809721557,0.06317678652469001,0.08071608811704738,0.5129899632398498,0.6803581865233012,0.033221501969398215,0.033221501969398215,0.75
20,XGBoost,0.5526601520086862,0.49523541756619704,0.6201780415430267,0.7282229965156795,0.6698717948717948,0.5096948458163051,91,256,156,418,0.0434204671386841,0.056356618720741575,-0.017110201865473185,-0.030065659187327398,-0.11971251340607636,-0.11333123658373669,0.005001478362828493,0.011136824265122414,58.0977138120363,78.39424613282955,0.042984988390396876,-0.020783955995817394,-0.03766715888770511,0.4861204014503815,0.11305265123719432,0.16491798576766695,0.7402613121786868,0.046174078454733945,-0.18107254576205256,0.624350040263734,0.4191096634093377,1.1754367942123223,0.7318132464712269,0.11943539630836048,0.7187602452179888,0.02696544499063065,-0.09936816254274905,0.5129899632398498,0.6803581865233012,0.027630964059362755,0.027630964059362755,0.625
20,LightGBM,0.5526601520086862,0.5203084678026689,0.6382252559726962,0.6515679442508711,0.6448275862068965,0.5421557601743164,135,212,200,374,0.04369046624440167,0.05699362290399249,-0.0234348423637607,-0.041708588603955876,-0.14516800036451727,-0.055935307966361085,0.003414980687561066,0.013724191701396734,58.50121653817648,79.24358487393971,0.04317696866849743,-0.027873548374220736,-0.04890944976869305,0.05103951605308432,0.013549171811851446,0.1511286354496436,0.16618525386698368,0.009371924153242459,-0.18107254576205234,0.07482731164367916,0.3583061889250814,1.0400884812464848,0.6362649294245385,0.1259500542888165,0.603416901704675,-0.054737676026637185,-0.8750144375473614,0.5129899632398498,0.6803581865233012,0.022244098138761475,0.022244098138761475,0.5
20,CatBoost,0.5179153094462541,0.48388627258030503,0.6113013698630136,0.6219512195121951,0.616580310880829,0.49205233509724966,120,227,217,357,0.043565843305068845,0.0567865603404335,-0.02051559088318533,-0.037923974820040174,-0.13686213493973742,-0.11162028999843633,0.005488136510130891,0.012640041681583536,58.24092108992045,78.8032315887556,0.04313969057173804,-0.023300125429246643,-0.04308070384811069,0.2535533600375173,0.06300041049145833,0.15272846245227495,0.48163184518356644,0.02751049664671814,-0.2163064068996986,0.2912554065986203,0.36264929424538545,1.121356380386897,0.6340933767643865,0.1237785016286645,0.6160946957964878,-0.007971848242872209,-0.4874095386479808,0.5129899632398498,0.6803581865233012,0.02202788880370552,0.02202788880370552,0.375
20,SVC,0.4831704668838219,0.448603761459599,0.5847750865051903,0.5888501742160279,0.5868055555555556,0.41718462882446855,107,240,236,338,0.046488018118964955,0.05886225125035627,-0.08896657749636505,-0.07586269389034928,-0.2214913928197224,-0.15737500437098467,0.009291614302237862,0.018682329875404365,61.99387114542599,81.71543470121213,0.04619540576262832,-0.08923991811554699,-0.08162814423916265,0.4475564936391616,0.105168921206934,0.13276886853037667,0.8292924093008555,0.04636645167505336,-0.15331287791331993,0.6859757812803855,0.3583061889250814,1.2096602610905791,0.6275787187839305,0.1758957654723127,0.46567217429389346,0.048479602674627476,-0.15631669429936315,0.5129899632398498,0.6803581865233012,-0.030585536286120957,-0.030585536286120957,0.25
20,SVR,0.4592833876221498,0.471608310154736,0.5931372549019608,0.42160278745644597,0.49287169042769857,0.48331643052947615,181,166,332,242,0.05498551669726844,0.0709445246625296,-0.28801769472006056,-0.29669806707804836,-0.774411899427224,-0.05123072229880242,-0.009233007056640919,0.04040351742463234,74.79688361444731,100.61519273405465,0.05401132542312645,-0.3141904171846477,-0.331795206096932,0.7300185971413895,0.15973372331662516,0.12570802683688573,1.2562401918732045,0.06654559609753045,-0.1159200898543461,1.3779641088730263,0.248642779587405,1.433245545945903,0.44299674267100975,0.22149837133550487,0.41811361677925696,0.10258851352877507,0.17249785408723756,0.5129899632398498,0.6803581865233012,-0.22296286544735247,-0.22296286544735247,0.125
