as_of_date,latest_close,horizon,target_date,models,bullish_models,bearish_or_flat_models,bullish_share,mean_pred_return,median_pred_return,weighted_pred_return,median_predicted_close,weighted_predicted_close,consensus_view,interpretation
2026-07-01,1865.37,5,2026-07-08,8,8,0,1.0,0.006773778388229846,0.00404168063371377,0.006375027800778984,1872.9092298037103,1877.261785608739,Bullish,Đa số mô hình ủng hộ xu hướng tăng.
2026-07-01,1865.37,20,2026-07-29,8,3,5,0.375,0.007111328413222911,0.0018698920458961336,0.00704268410225208,1868.858040525653,1878.507211643818,Mixed/Neutral,"Tín hiệu phân hóa, nên ưu tiên quan sát xác nhận."
2026-07-01,1865.37,60,2026-09-23,8,4,4,0.5,0.029954266358701583,0.02517291893767934,0.027673396885680143,1912.3268077987786,1916.991124348641,Mixed/Neutral,"Tín hiệu phân hóa, nên ưu tiên quan sát xác nhận."
