parameter,regime,regime_label,mean,sd,q025,q50,q975
mu,0,hmm_prob_state_0,0.00010364048949300004,0.000238595179172319,-0.0003676443179575362,0.0001047089134914432,0.0005983563738428514
mu,1,hmm_prob_state_1,0.0003634420727319243,0.0004075771191007298,-0.000439326090200625,0.000356717708994529,0.0011537186602194104
mu,2,hmm_prob_state_2,0.0001408813614100056,0.000332348048565282,-0.000533510106336274,0.00014881542297053187,0.0007716390659135437
mu,3,hmm_prob_state_3,0.001915473649039742,0.0007619747535113904,0.00039446429177134615,0.001918835619463544,0.0034272316078405593
c,0,hmm_prob_state_0,0.803434148132801,0.027041331274198076,0.7496575504541397,0.8027061522006989,0.8577706366777419
c,1,hmm_prob_state_1,0.8842425077656905,0.028782061586083024,0.828621432185173,0.8835104405879974,0.9397288799285889
c,2,hmm_prob_state_2,0.8995452634990215,0.02690875923174846,0.8480851590633393,0.8994856774806976,0.9524107843637466
c,3,hmm_prob_state_3,0.9811505070328712,0.034002674484273625,0.9169456854462623,0.9808278977870941,1.049107313156128
nu,0,hmm_prob_state_0,9.689771413405737,1.1849554883056983,7.6030437588691715,9.599010467529297,12.165109634399412
nu,1,hmm_prob_state_1,9.689771413405737,1.1849554883056983,7.6030437588691715,9.599010467529297,12.165109634399412
nu,2,hmm_prob_state_2,9.689771413405737,1.1849554883056983,7.6030437588691715,9.599010467529297,12.165109634399412
nu,3,hmm_prob_state_3,9.689771413405737,1.1849554883056983,7.6030437588691715,9.599010467529297,12.165109634399412
